elemento_e,descrip
1,Contar con preparatoria o bachillerato
2,Edad entre 19 y 40 años
3,Ser mexicano
4,Contar con licencia de manejo
5,Haber cumplido con el Servicio Militar Nacional (solo para hombres)
6,Presentar carta de no antecedentes penales
7,Certificación aprobada y vigente del centro de evaluación y control de confianza
8,"Perfiles de la personalidad acordes con la función policial (capacidad de comprensión, análisis, toma de decisiones, negociación, trabajo en equipo, etc.)"
9,"Actitudes acordes con la función policial (adaptabilidad, sentido de responsabilidad, amabilidad, tolerancia, disciplina, espíritu de servicio, etc.)"
10,Características físicas atléticas (pruebas físicas)
11,Certificado médico de buena salud física
12,Otro elemento
13,No contaba con algún perfil de ingreso para el aspirante a policía preventivo
99,No identificado
