ARCHIVO,CONTENIDO
m3s1p138,"Existencia de alguna academia o instituto de formación policial establecida en el municipio, al cierre del año 2022."
m3s1p139a,"Sedes o planteles de la academia o instituto de formación policial establecida en el municipio, según ubicación geográfica, al cierre del año 2022."
m3s1p139b,"Sedes o planteles de la academia o instituto de formación policial establecida en el municipio, al cierre del año 2022."
m3s1p140,"Áreas o espacios físicos de infraestructura de la academia o instituto de formación policial establecida en el municipio, al cierre del año 2022."
m3s1p141,"Capacidad de pernocta (camas útiles) de la academia o instituto de formación policial establecida en el municipio, según tipo, al cierre del año 2022."
m3s1p142,"Instructores de la academia o instituto de formación policial establecida en el municipio, según rango de edad y sexo, al cierre del año 2022."
m3s1p143,"Presupuesto ejercido por la academia o instituto de formación policial establecida en el municipio, durante el año 2022."
m3s1p144,"Elementos considerados en el perfil de ingreso para el aspirante a policía preventivo de la academia o instituto de formación policial establecida en el municipio, al cierre del año 2022."
m3s1p145,"Cadetes que ingresaron, egresaron o desertaron del programa de formación inicial para policía preventivo ofertado por la academia o instituto de formación policial establecida en el municipio, según sexo, durante los años 2021 y 2022."
m3s1p146,"Cadetes egresados del programa de formación inicial para policía preventivo ofertado por la academia o instituto de formación policial establecida en el municipio, según lugar de procedencia y sexo, durante el año 2022."
m3s1p147,"Cadetes egresados del programa de formación inicial para policía preventivo ofertado por la academia o instituto de formación policial establecida en el municipio, según rango de edad y sexo, durante el año 2022."
m3s1p148,"Cadetes que se encontraban cursando el programa de formación inicial para policía preventivo ofertado por la academia o instituto de formación policial establecida en el municipio, según rango de edad y sexo, al cierre del año 2022."
m3s1p149,"Horas de aprendizaje que integraban el programa de formación inicial para policía preventivo ofertado por la academia o instituto de formación policial establecida en el municipio, según núcleo de formación, al cierre del año 2022."
