COLUMNA,DESCRIPCION,ORIGEN,TIPO_DATO,LONGITUD,CODIGO_VALIDO
ubicageo_f,Municipio,SECC I. 145,Numérico,5,0 al 99999
aniorefe_b,Año de referencia,SECC I. 145,Numérico,1,1 al 2
cadetes1,Cadetes que ingresaron - Subtotal,SECC I. 145,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
cadete3,Cadetes que ingresaron - Hombres,SECC I. 145,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
cadete4,Cadetes que ingresaron - Mujeres,SECC I. 145,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
cadete5,Cadetes que ingresaron - No especificado,SECC I. 145,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
cadetes2,Cadetes que egresaron - Subtotal,SECC I. 145,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
cadete6,Cadetes que egresaron - Hombres,SECC I. 145,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
cadete7,Cadetes que egresaron - Mujeres,SECC I. 145,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
cadetes3,Cadetes que desertaron - Subtotal,SECC I. 145,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
cadete9,Cadetes que desertaron - Hombres,SECC I. 145,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
cadete10,Cadetes que desertaron - Mujeres,SECC I. 145,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
