tipoinfo_i,descrip
1,Sobre las puestas a disposición de objetos
2,Sobre las puestas a disposición de personas
3,Sobre las presuntas faltas cívicas
4,Sobre las probables personas infractoras de presuntas faltas cívicas
5,Sobre los presuntos delitos
6,Sobre las probables víctimas de presuntos delitos
7,Sobre las probables personas responsables de presuntos delitos
8,Sobre los aseguramientos de armas
9,"Sobre los operativos policiales, patrullajes y/o remisiones de vehículos"
10,Sobre la atención especializada a víctimas
11,Sobre la localización de personas desaparecidas y no localizadas
12,Sobre las infracciones de tránsito y vialidad
13,Sobre los enfrentamientos con grupos de personas civiles armadas
14,Sobre los bienes robados y recuperados que fueron hechos del conocimiento de la institución encargada de la función de seguridad pública del municipio
15,Sobre las actuaciones de las y los policías dentro del Sistema de Justicia Penal
16,Sobre el monitoreo cibernético de actividades ilegales
17,Otro tipo de información
99,No identificado
