ARCHIVO,CONTENIDO
m3s1p130,"Existencia de alguna unidad administrativa o área encargada del desarrollo de actividades para la generación y tratamiento de información estadística y geográfica en la institución encargada de la función de seguridad pública, al cierre del año 2022."
m3s1p131,"Personal adscrito a la unidad administrativa o área encargada del desarrollo de actividades para la generación y tratamiento de información estadística y geográfica de la institución encargada de la función de seguridad pública, según rango de edad y sexo, al cierre del año 2022."
m3s1p132,"Tipo de información generada por la unidad administrativa o área encargada del desarrollo de actividades para la generación y tratamiento de información estadística y geográfica de la institución encargada de la función de seguridad pública, al cierre del año 2022."
m3s1p133a,"Existencia de registros administrativos sobre el personal destinado a funciones de seguridad pública en la institución encargada de la función de seguridad pública, año de creación, periodicidad de actualización, situación, tipo de información recopilada y autoridades con las que se compartió la información, al cierre del año 2022."
m3s1p133f,"Existencia de registros administrativos sobre probables víctimas en la institución encargada de la función de seguridad pública, año de creación, periodicidad de actualización, situación, tipo de información recopilada y autoridades con las que se compartió la información, al cierre del año 2022."
m3s1p133d,"Existencia de registros administrativos sobre presuntas faltas cívicas en la institución encargada de la función de seguridad pública, año de creación, periodicidad de actualización, situación, tipo de información recopilada y autoridades con las que se compartió la información, al cierre del año 2022."
m3s1p133e,"Existencia de registros administrativos sobre presuntos delitos en la institución encargada de la función de seguridad pública, año de creación, periodicidad de actualización, situación, tipo de información recopilada y autoridades con las que se compartió la información, al cierre del año 2022."
m3s1p133b,"Existencia de registros administrativos sobre el personal de seguridad pública dado de baja en la institución encargada de la función de seguridad pública, año de creación, periodicidad de actualización, situación, tipo de información recopilada y autoridades con las que se compartió la información, al cierre del año 2022."
m3s1p133c,"Existencia de registros administrativos sobre la capacitación y/o evaluación del personal destinado a funciones de seguridad pública en la institución encargada de la función de seguridad pública, año de creación, periodicidad de actualización, situación, tipo de información recopilada y autoridades con las que se compartió la información, al cierre del año 2022."
m3s1p133g,"Existencia de registros administrativos sobre llamadas de emergencia en la institución encargada de la función de seguridad pública, año de creación, periodicidad de actualización, situación, tipo de información recopilada y autoridades con las que se compartió la información, al cierre del año 2022."
m3s1p134,"Existencia de algún registro administrativo sobre las personas detenidas o arrestadas en la institución encargada de la función de seguridad pública, tipo de información recopilada, año de creación, periodicidad de actualización, situación y autoridades con las que se compartió la información, al cierre del año 2022."
m3s1p135,"Existencia de algún informe anual de actividades o labores en la institución encargada de la función de seguridad pública, al momento de la aplicación del cuestionario."
