ubicageo_f,regiadmi_g,rnspni1,anios_a,periactu_b,siregadm_b,tipers1,tipers2,tipers3,tipers4,tipers5,tipers6,tipers7,tipers8,raauto1,raauto2,raauto3,raauto4,raauto5,raauto6,raauto7,raauto8,raauto9,raauto10,raauto11,raauto12,raauto13
1001,1,1,NSS,2,4,1,1,1,1,1,1,,,1,,,,1,,,,,,,,
1002,1,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1003,1,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1004,1,1,NSS,5,1,,,,,1,,,,,,1,,,,,,,,,,
1005,1,1,2014,2,5,1,1,1,1,1,1,,,,,,,,,,,,,,1,
1006,1,1,NSS,2,4,1,1,1,1,1,1,,,,,,,1,,,,,,1,,
1007,1,1,2017,5,1,1,1,1,1,1,1,1,,,,,,,,,,,,,1,
1008,1,1,2014,1,9,1,1,1,1,1,1,,,,,,,1,,,,,,,,
1009,1,1,2020,1,3,1,1,1,1,1,1,,,,,,,,,,,,,,1,
1010,1,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1011,1,1,2000,3,1,1,1,1,1,1,1,,,,,,,1,,,,,,,,
2001,1,1,2015,5,3,1,1,1,,,,,,,,,,,,,,,,,1,
2002,1,1,1999,1,5,1,1,,,,1,1,,,,,,,,,,,,1,,
2003,1,1,2008,5,3,,,,,1,,,,,,,,1,,,,,,,,
2004,1,1,2006,2,5,,,,,1,,,,,,,,,,1,,,,,,
2005,1,1,2010,1,1,,1,,,,,,,,,,,,,,,,,,,1
2006,1,1,2022,3,3,1,1,1,1,1,,,,,,1,1,1,1,,,,,,,
2007,1,9,NSS,997,97,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS
3001,1,1,2005,3,4,1,1,1,,1,1,,,,,,,,,,,,,1,,
3002,1,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3003,1,1,NSS,1,1,1,1,1,1,,,,,,,,,,,,,,,,1,
