ubicageo_f,regiadmi_g,rnspni1,anios_a,periactu_b,siregadm_b,ticapa1,ticapa2,ticapa3,ticapa4,ticapa5,raauto1,raauto2,raauto3,raauto4,raauto5,raauto6,raauto7,raauto8,raauto9,raauto10,raauto11,raauto12,raauto13
1001,3,1,NSS,5,4,1,1,1,,,1,,,,1,,,,,,,,
1002,3,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1003,3,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1004,3,1,NSS,10,1,1,,,,,,,1,,,,,,,,,,
1005,3,1,2014,2,4,1,1,1,,,,,,,,,,,,,,1,
1006,3,1,2015,10,5,1,1,1,,,,,,,1,,,,,,1,,
1007,3,1,2017,11,1,,1,1,,,,,,,1,,,,,,,,
1008,3,1,2014,1,9,1,1,1,,,,,,,1,,,,,,,,
1009,3,1,2020,1,1,1,1,1,,,,,,,,,,,,,,1,
1010,3,1,2022,5,3,1,1,1,1,,,,,,,,,,,,,1,
1011,3,1,2000,5,3,1,1,1,,,,,,,1,,,,,,,,
2001,3,1,2015,5,3,1,1,1,,,,,,,,,,,,,,1,
2002,3,1,2000,1,4,1,1,1,1,,,,,,,,,,,,1,,
2003,3,1,2008,5,3,,1,,,,,,,,,,,,,,,1,
2004,3,1,2019,5,3,1,1,1,,,,,,,,,,,,,,1,
2005,3,1,2010,5,5,,,1,,,,,,,,,,,,,,,1
2006,3,1,2022,5,3,1,1,1,1,,,,1,1,1,,,,,,,,
2007,3,9,NSS,997,97,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS
3001,3,1,2018,11,4,1,1,1,1,,,,,,,,,,,,1,,
3002,3,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
