ubicageo_f,regiadmi_g,rnspni1,anios_a,periactu_b,siregadm_b,tifalt1,tifalt2,tifalt3,tifalt4,tifalt5,tifalt6,raauto1,raauto2,raauto3,raauto4,raauto5,raauto6,raauto7,raauto8,raauto9,raauto10,raauto11,raauto12,raauto13
1001,4,1,NSS,2,4,1,1,1,1,,,1,,,,1,,,,,,,,
1002,4,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1003,4,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1004,4,1,NSS,2,4,1,1,1,1,1,,1,,1,,1,,,,,,,,
1005,4,1,2009,2,4,1,1,1,1,,,1,,,,,,,,,,,,
1006,4,1,NSS,2,4,1,1,1,,1,,,,,,1,,,,,,1,,
1007,4,1,2017,5,1,1,1,1,1,1,,,,,,,,,,,,,1,
1008,4,1,2014,1,9,1,1,1,1,,,1,,,,1,,,,,,,,
1009,4,1,2018,1,3,1,1,1,1,,,,,,,,,,,,,,1,
1010,4,1,2022,5,3,1,1,1,1,1,,,,,,1,,,,,,,,
1011,4,1,2014,2,4,1,1,,,,,,,,,1,,,,,,,,
2001,4,1,2016,1,5,1,1,1,1,,,,,,,,,,,,,,1,
2002,4,1,2000,1,5,1,1,1,1,,,,,,,,,1,,,1,,,
2003,4,1,2008,5,3,1,,,,,,,,,,,,,,,,,1,
2004,4,1,2006,3,5,,,,,1,,,,,,,,1,,,,,,
2005,4,1,2020,1,1,1,,,,,,,,,,,,,,,,,,1
2006,4,1,2022,2,3,1,1,1,1,1,,,,1,1,1,1,1,,,1,,,
2007,4,9,NSS,997,97,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS
3001,4,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3002,4,1,2022,1,3,1,1,1,1,,,1,1,,,,,,,,,,,
3003,4,1,NSS,1,5,1,1,1,1,1,,1,,,1,,,,,,,,,
3008,4,9,NSS,997,97,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS
3009,4,1,2018,1,5,1,1,1,1,,,,,,,1,,,,1,1,,,
4001,4,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4002,4,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4003,4,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4004,4,1,2022,1,5,1,1,1,,,,1,,,,1,,,,,,,,
4005,4,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4006,4,9,NSS,997,97,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS
4007,4,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4008,4,9,NSS,997,97,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS
4009,4,1,2018,3,5,1,,,,,,,,,,1,,,,,,,,
4010,4,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4011,4,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4012,4,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4013,4,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5001,4,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5002,4,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5003,4,1,2022,3,1,1,1,1,1,,,1,,,,,,,,,,,,
5004,4,1,2014,5,5,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,,
5005,4,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5006,4,1,NSS,2,3,1,,,,,,,,1,,,,,,,,,,
5007,4,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5008,4,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5009,4,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5010,4,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5011,4,1,2018,5,3,,1,1,1,,,,,,,1,,,,,,,,
5012,4,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5013,4,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5014,4,1,2019,2,4,1,1,1,1,1,,1,,,,1,,,1,,,,,
5015,4,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5016,4,1,2019,5,4,1,1,1,,,,,,,1,,,,,,,,,
5017,4,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5018,4,1,2010,5,4,1,1,1,1,1,,,,,,,,,,,,,1,
5019,4,1,2020,2,1,1,1,1,1,1,,1,,,,,,,,,,1,,
5020,4,1,2019,2,5,1,,1,,,,,,,,1,,,,,,,,
5021,4,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5022,4,1,2015,5,4,1,1,1,,,,1,,,,1,,,,,,,,
