ubicageo_f,regiadmi_g,rnspni1,anios_a,periactu_b,siregadm_b,tipres1,tipres2,tipres3,tipres4,tipres5,tipres6,raauto1,raauto2,raauto3,raauto4,raauto5,raauto6,raauto7,raauto8,raauto9,raauto10,raauto11,raauto12,raauto13
1001,5,1,NSS,2,4,1,1,1,1,,,1,,,,1,,,,,,,,
1002,5,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1003,5,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1004,5,1,NSS,2,4,,,,1,,,,,1,,,,,,,,,,
1005,5,1,2009,2,4,1,1,1,1,,,,,,,,,,1,,,,,
1006,5,1,NSS,2,4,1,1,1,1,1,,,,,,1,,,,,,1,,
1007,5,1,2017,5,1,1,1,1,1,1,,,,,,,,,,,,,1,
1008,5,1,2014,1,9,1,1,1,1,,,,,,,,,,1,,,,,
1009,5,1,2020,1,3,1,1,1,1,,,,,,,,,,,,,,1,
1010,5,1,2022,5,3,1,1,1,1,1,,,,,,1,,,1,,,,,
1011,5,1,2014,2,4,1,1,1,1,,,,,,,,,,1,,1,,,
2001,5,9,NSS,997,97,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS
2002,5,1,2000,1,3,1,1,1,1,1,,,,,,,,1,,,1,1,,
2003,5,1,2008,5,5,1,,,,,,,,,,,,,,,,,1,
2004,5,1,2001,5,4,1,1,1,1,,,,,,,,,,1,,1,,,
2005,5,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006,5,1,2022,2,3,1,1,1,1,1,,,,1,1,1,1,1,1,,,,,
2007,5,9,NSS,997,97,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS
3001,5,1,2005,2,4,,1,1,1,,,,,,,,,,,,,1,,
3002,5,1,2022,1,3,1,1,1,1,1,,1,1,,,,,,,,,,,
3003,5,1,NSS,1,5,1,1,1,1,1,,,,,1,,,,1,,,,,
