ubicageo_f,rnspni1,nombre1,tinfre1,tinfre2,tinfre3,tinfre4,tinfre5,tinfre6,tinfre7,tinfre8,tinfre9,tinfre10,tinfre11,tinfre12,tinfre13,tinfre14,tinfre15,tinfre16,anios_a,periactu_b,siregadm_b,raauto1,raauto2,raauto3,raauto4,raauto5,raauto6,raauto7,raauto8,raauto9,raauto10,raauto11,raauto12,raauto13
1001,1,SIDEC4,,,,,1,,,,,,,,,,,,NSS,1,5,1,1,1,1,1,1,1,1,1,1,,,
1002,3,NO APLICA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1003,1,FALTAS ADMINISTRATIVAS,1,1,1,1,1,1,1,1,1,1,1,1,,1,,,NSS,2,2,,,,,1,,,,,,,,
1004,1,INFORME POLICIAL HOMOLOGADO,1,1,1,1,1,1,1,1,1,1,1,1,,1,,,NSS,99,4,,,,,1,,,,,,,,
1005,1,BASE DE DATOS,1,1,,1,1,,1,1,1,1,,,,,,,2015,2,4,,,,,,,,,,,,1,
1006,1,FICHAS DE DETENIDOS,1,1,1,1,1,1,1,1,1,,1,,,,,,2014,2,2,,1,,,,,,,,,,,
1007,1,REGISTRO DE DETENIDOS,1,1,1,1,1,1,1,1,1,1,,1,,1,,,2022,5,1,,,,,,,,,,,,1,
1008,1,INFORME POLICIAL HOMOLOGADO,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,2019,1,3,,,,,1,,,,,,,,
1009,1,DETENIDOS MES Y AÑO,1,1,,,1,,1,1,,,,,,,,,2018,1,3,,,,,,,,,,,,1,
1010,1,REGISTRO DE DETENIDOS,1,1,1,1,1,1,1,1,1,1,1,,,,,,2015,2,3,,,,,1,,,,,,,,
1011,1,FICHAS DE DETENIDOS,1,1,1,1,1,,1,1,1,,,,,,,,2014,5,3,,,,,1,,,,,,,,
2001,1,SISTEMAS DE INFORMACION VINCULO Y ANALISIS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,2015,1,5,1,,,,,,,,,,,,
2002,1,SIVA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,2009,1,5,,,1,,,,,,1,1,,,
