ubicageo_f,rnspni1,dirurl1
1001,1,NO APLICA
1002,3,NO APLICA
1003,3,NO APLICA
1004,2,NO APLICA
1005,3,NO APLICA
1006,3,NO APLICA
1007,3,NO APLICA
1008,3,NO APLICA
1009,3,NO APLICA
1010,3,NO APLICA
1011,2,NO APLICA
2001,2,NO APLICA
2002,1,NO APLICA
2003,3,NO APLICA
2004,1,NO APLICA
2005,1,NO APLICA
2006,1,NO APLICA
2007,1,NO APLICA
3001,1,NO APLICA
3002,1,NO APLICA
3003,1,NO APLICA
3008,9,NO IDENTIFICADO
3009,3,NO APLICA
4001,2,NO APLICA
4002,3,NO APLICA
4003,2,NO APLICA
4004,3,NO APLICA
4005,2,NO APLICA
4006,9,NO IDENTIFICADO
4007,2,NO APLICA
4008,1,NO APLICA
4009,1,NO APLICA
4010,3,NO APLICA
4011,1,NO APLICA
4012,0,NO APLICA
4013,0,NO APLICA
5001,2,NO APLICA
5002,2,NO APLICA
5003,1,NO SE SABE
5004,1,NO APLICA
5005,1,NO APLICA
5006,1,NO APLICA
5007,1,NO APLICA
5008,0,NO APLICA
5009,1,NO APLICA
5010,2,NO APLICA
5011,3,NO APLICA
5012,0,NO APLICA
5013,0,NO APLICA
5014,1,NO APLICA
5015,0,NO APLICA
5016,3,NO APLICA
5017,1,NO APLICA
5018,1,http://www2.icai.org.mx/ipo/archives/48/13647460-PRIMERINFORMEANUALDEGOBIERNOADMINISTRACION20222024.pdf
5019,1,NO APLICA
5020,1,NO APLICA
5021,1,NO APLICA
5022,3,NO APLICA
5023,3,NO APLICA
5024,1,NO APLICA
5025,2,NO APLICA
5026,0,NO APLICA
5027,2,NO APLICA
5028,3,NO APLICA
5029,3,NO APLICA
5030,1,https://saltillo.gob.mx/web/transparencia-cs/
5031,2,NO APLICA
5032,1,NO APLICA
5033,1,NO APLICA
5034,1,NO APLICA
5035,1,NO APLICA
5036,2,NO APLICA
5037,3,NO APLICA
5038,3,NO APLICA
6001,2,NO APLICA
6002,1,NO APLICA
6003,2,NO APLICA
6004,1,NO APLICA
6005,1,NO APLICA
6006,3,NO APLICA
6007,3,NO APLICA
6008,1,NO APLICA
6009,1,NO APLICA
6010,1,NO APLICA
7001,1,NO APLICA
7002,1,NO APLICA
7003,1,NO APLICA
7004,3,NO APLICA
7005,3,NO APLICA
7006,1,NO APLICA
7007,2,NO APLICA
7008,1,NO APLICA
7009,1,NO APLICA
7010,1,NO APLICA
7011,3,NO APLICA
7012,1,NO APLICA
7013,1,NO APLICA
7014,2,NO APLICA
7015,2,NO APLICA
7016,3,NO APLICA
7017,3,NO APLICA
7018,3,NO APLICA
7019,2,NO APLICA
7020,1,NO APLICA
7021,2,NO APLICA
7022,2,NO APLICA
7023,1,NO APLICA
7024,9,NO IDENTIFICADO
7025,1,NO APLICA
7026,2,NO APLICA
7027,3,NO APLICA
7028,1,NO APLICA
7029,1,NO APLICA
7030,1,NO APLICA
7031,3,NO APLICA
7032,1,NO APLICA
7033,2,NO APLICA
7034,3,NO APLICA
7035,1,NO APLICA
7036,3,NO APLICA
