COLUMNA,DESCRIPCION,ORIGEN,TIPO_DATO,LONGITUD,CODIGO_VALIDO
ubicageo_f,Municipio,SECC I. 134,Numérico,5,0 al 99999
rnspni1,Existencia de algún registro administrativo sobre las personas detenidas o arrestadas,SECC I. 134,Numérico,2,0 al 98
nombre1,Nombre,SECC I. 134,Carácter,2500,
tinfre1,"Tipo de información recopilada - Nombre(s), apellidos y/o alias",SECC I. 134,Carácter,3,"1, NA, NSS, ND, NP, NULL"
tinfre2,Tipo de información recopilada - Edad,SECC I. 134,Carácter,3,"1, NA, NSS, ND, NP, NULL"
tinfre3,Tipo de información recopilada - Nacionalidad,SECC I. 134,Carácter,3,"1, NA, NSS, ND, NP, NULL"
tinfre4,Tipo de información recopilada - Fecha y entidad federativa de nacimiento,SECC I. 134,Carácter,3,"1, NA, NSS, ND, NP, NULL"
tinfre5,Tipo de información recopilada - Sexo,SECC I. 134,Carácter,3,"1, NA, NSS, ND, NP, NULL"
tinfre6,Tipo de información recopilada - Descripción de la persona,SECC I. 134,Carácter,3,"1, NA, NSS, ND, NP, NULL"
tinfre7,"Tipo de información recopilada - Lugar, fecha y hora local en que se haya practicado la detención",SECC I. 134,Carácter,3,"1, NA, NSS, ND, NP, NULL"
tinfre8,Tipo de información recopilada - Motivos de la detención,SECC I. 134,Carácter,3,"1, NA, NSS, ND, NP, NULL"
tinfre9,"Tipo de información recopilada - Nombre de quien o quienes hayan intervenido en la detención, así como la institución, cargo o grado y área de adscripción",SECC I. 134,Carácter,3,"1, NA, NSS, ND, NP, NULL"
tinfre10,"Tipo de información recopilada - Autoridad a la que será puesta a disposición (precisando el centro penitenciario, la agencia del Ministerio Público o la autoridad administrativa donde será trasladada la persona detenida)",SECC I. 134,Carácter,3,"1, NA, NSS, ND, NP, NULL"
tinfre11,Tipo de información recopilada - Nombre y/o teléfono de algún familiar o persona de confianza (en caso de que la persona detenida acceda a proporcionarlo),SECC I. 134,Carácter,3,"1, NA, NSS, ND, NP, NULL"
tinfre12,Tipo de información recopilada - Señalamiento de si la persona detenida presenta lesiones apreciables a simple vista,SECC I. 134,Carácter,3,"1, NA, NSS, ND, NP, NULL"
tinfre13,Tipo de información recopilada - Indicación de si se identifica a la persona como miembro de la delincuencia organizada o si se detuvo por un posible hecho de delincuencia organizada,SECC I. 134,Carácter,3,"1, NA, NSS, ND, NP, NULL"
tinfre14,Tipo de información recopilada - Domicilio del lugar donde se encuentra la persona detenida o arrestada,SECC I. 134,Carácter,3,"1, NA, NSS, ND, NP, NULL"
tinfre15,Tipo de información recopilada - Otro tipo de información,SECC I. 134,Carácter,3,"1, NA, NSS, ND, NP, NULL"
tinfre16,Tipo de información recopilada - No identificado,SECC I. 134,Carácter,3,"1, NA, NSS, ND, NP, NULL"
anios_a,Identificación y caracterización del registro administrativo - Año de creación (aaaa),SECC I. 134,Carácter,4,"1900-2090, NA, NSS, ND, NP, NULL"
periactu_b,Identificación y caracterización del registro administrativo - Periodicidad de actualización,SECC I. 134,Numérico,3,0 al 998
siregadm_b,Identificación y caracterización del registro administrativo - Situación del registro administrativo,SECC I. 134,Numérico,2,0 al 98
raauto1,Autoridades con las que se compartió la información registrada - Juzgados cívicos del municipio u otros municipios de la entidad federativa,SECC I. 134,Carácter,3,"1, NA, NSS, ND, NP, NULL"
raauto2,Autoridades con las que se compartió la información registrada - Juzgados cívicos de otra entidad federativa,SECC I. 134,Carácter,3,"1, NA, NSS, ND, NP, NULL"
raauto3,Autoridades con las que se compartió la información registrada - Secretaría de Seguridad Pública u homóloga de algún municipio de la entidad federativa,SECC I. 134,Carácter,3,"1, NA, NSS, ND, NP, NULL"
raauto4,Autoridades con las que se compartió la información registrada - Secretaría de Seguridad Pública u homóloga de algún municipio de otra entidad federativa,SECC I. 134,Carácter,3,"1, NA, NSS, ND, NP, NULL"
raauto5,Autoridades con las que se compartió la información registrada - Secretaría de Seguridad Pública u homóloga de la entidad federativa,SECC I. 134,Carácter,3,"1, NA, NSS, ND, NP, NULL"
raauto6,Autoridades con las que se compartió la información registrada - Secretaría de Seguridad Pública u homóloga de otra entidad federativa,SECC I. 134,Carácter,3,"1, NA, NSS, ND, NP, NULL"
raauto7,Autoridades con las que se compartió la información registrada - Secretaría de Seguridad y Protección Ciudadana (incluye Guardia Nacional),SECC I. 134,Carácter,3,"1, NA, NSS, ND, NP, NULL"
raauto8,Autoridades con las que se compartió la información registrada - Fiscalía General o Procuraduría General de Justicia de la entidad federativa,SECC I. 134,Carácter,3,"1, NA, NSS, ND, NP, NULL"
raauto9,Autoridades con las que se compartió la información registrada - Fiscalía General o Procuraduría General de Justicia de otra entidad federativa,SECC I. 134,Carácter,3,"1, NA, NSS, ND, NP, NULL"
raauto10,Autoridades con las que se compartió la información registrada - Fiscalía General de la República,SECC I. 134,Carácter,3,"1, NA, NSS, ND, NP, NULL"
raauto11,Autoridades con las que se compartió la información registrada - Otra autoridad,SECC I. 134,Carácter,3,"1, NA, NSS, ND, NP, NULL"
raauto12,Autoridades con las que se compartió la información registrada - No se compartía la información registrada,SECC I. 134,Carácter,3,"1, NA, NSS, ND, NP, NULL"
raauto13,Autoridades con las que se compartió la información registrada - No identificado,SECC I. 134,Carácter,3,"1, NA, NSS, ND, NP, NULL"
