ARCHIVO,CONTENIDO
m3s2p60,"Denuncias sobre hechos probablemente constitutivos de delitos recibidas por el personal adscrito a la institución encargada de la función de seguridad pública, durante los años 2021 y 2022."
m3s2p61,"Lugares de los hechos o del hallazgo preservados por el personal adscrito a la institución encargada de la función de seguridad pública en su rol de primer respondiente, durante el año 2022."
m3s2p62,"Entrevistas realizadas por el personal adscrito a la institución encargada de la función de seguridad pública en su rol de primer respondiente, según tipo de persona entrevistada, durante el año 2022."
m3s2p63,"Lecturas de derechos a las partes involucradas realizadas por el personal adscrito a la institución encargada de la función de seguridad pública en su rol de primer respondiente, según tipo, durante el año 2022."
m3s2p64,"Cadenas de custodia iniciadas por el personal adscrito a la institución encargada de la función de seguridad pública en su rol de primer respondiente a efecto de resguardar los indicios, evidencias, objetos, instrumentos o productos de un probable hecho delictivo, durante el año 2022."
m3s2p65,"Inspecciones realizadas por la institución encargada de la función de seguridad pública de su municipio, según tipo de inspección y tipo de resultado, durante el año 2022."
m3s2p66,"Órdenes recibidas y cumplimentadas por la institución encargada de la función de seguridad pública, según tipo, durante el año 2022."
m3s2p67,"Personas y/o bienes inmuebles custodiados y personal adscrito a la institución encargada de la función de seguridad pública destinado a la custodia de personas y/o de bienes inmuebles, según tipo de custodia, durante el año 2022."
m3s2p68,"Personal adscrito a la institución encargada de la función de seguridad pública que participó como testigo relevante e indispensable en audiencias, según tipo de audiencia, durante el año 2022."
m3s2p69,"Traslados de personas realizados por el personal adscrito a la institución encargada de la función de seguridad pública, según lugar de destino, durante el año 2022."
m3s2p70,"Audiencias en las que participó el personal adscrito a la institución encargada de la función de seguridad pública para la seguridad y custodia de las salas, durante el año 2022."
m3s2p71,"Acciones relacionadas con medidas cautelares y suspensión condicional del proceso realizadas por la institución encargada de la función de seguridad pública, según tipo, durante el año 2022."
