ubicageo_f,aniorefe_b,totalca1
1001,1,NA
1001,2,NA
1002,1,0
1002,2,0
1003,1,NSS
1003,2,NSS
1004,1,0
1004,2,0
1005,1,0
1005,2,0
1006,1,29
1006,2,13
1007,1,0
1007,2,0
1008,1,0
1008,2,0
1009,1,57
1009,2,29
1010,1,0
1010,2,0
1011,1,4
1011,2,9
2001,1,NSS
2001,2,NSS
2002,1,29283
2002,2,33611
2003,1,3482
2003,2,3585
2004,1,7984
2004,2,9970
2005,1,0
2005,2,815
2006,1,0
2006,2,241
2007,1,NSS
2007,2,0
3001,1,0
3001,2,0
3002,1,0
3002,2,30
3003,1,NSS
3003,2,NSS
3008,1,650
3008,2,921
3009,1,315
3009,2,335
4001,1,0
4001,2,0
4002,1,0
4002,2,0
4003,1,0
4003,2,0
4004,1,0
4004,2,0
4005,1,0
4005,2,0
4006,1,0
4006,2,0
4007,1,0
4007,2,0
4008,1,10
4008,2,25
4009,1,10
4009,2,31
4010,1,0
4010,2,0
4011,1,0
4011,2,0
4012,1,NA
4012,2,NA
4013,1,NA
4013,2,NA
5001,1,0
5001,2,0
5002,1,0
5002,2,0
5003,1,0
5003,2,0
5004,1,100
5004,2,150
5005,1,0
5005,2,1
5006,1,0
5006,2,0
5007,1,0
5007,2,0
5008,1,NA
5008,2,NA
5009,1,0
5009,2,0
5010,1,NSS
5010,2,NSS
5011,1,18
5011,2,26
5012,1,NA
5012,2,NA
5013,1,NA
5013,2,NA
5014,1,0
5014,2,0
5015,1,NA
5015,2,NA
5016,1,0
5016,2,0
5017,1,NSS
5017,2,0
5018,1,0
5018,2,0
5019,1,0
5019,2,0
5020,1,0
5020,2,0
5021,1,NSS
5021,2,NSS
5022,1,0
5022,2,0
5023,1,0
5023,2,0
5024,1,0
5024,2,0
5025,1,0
5025,2,0
5026,1,NA
5026,2,NA
5027,1,0
5027,2,0
5028,1,1644
5028,2,730
5029,1,0
5029,2,0
5030,1,0
5030,2,0
5031,1,0
5031,2,0
5032,1,0
5032,2,0
5033,1,0
5033,2,0
5034,1,0
5034,2,0
5035,1,NSS
5035,2,NSS
5036,1,0
5036,2,0
5037,1,0
5037,2,0
5038,1,NSS
5038,2,0
6001,1,759
6001,2,1747
6002,1,2459
6002,2,1902
6003,1,6
6003,2,6
6004,1,60
6004,2,70
6005,1,232
6005,2,211
6006,1,23
6006,2,24
6007,1,5015
6007,2,52042
6008,1,0
6008,2,29
6009,1,819
6009,2,598
6010,1,1642
6010,2,2086
7001,1,0
7001,2,10
7002,1,0
7002,2,0
7003,1,0
7003,2,0
7004,1,0
7004,2,0
7005,1,0
7005,2,0
7006,1,0
7006,2,0
7007,1,0
7007,2,0
7008,1,0
7008,2,0
7009,1,0
7009,2,0
7010,1,0
7010,2,0
7011,1,0
7011,2,0
7012,1,0
7012,2,0
7013,1,0
7013,2,0
7014,1,0
7014,2,0
7015,1,0
7015,2,0
7016,1,0
7016,2,0
7017,1,0
7017,2,26
7018,1,0
7018,2,0
7019,1,0
7019,2,0
7020,1,0
7020,2,0
7021,1,0
7021,2,0
7022,1,0
7022,2,0
7023,1,0
7023,2,0
7024,1,15
7024,2,10
7025,1,0
7025,2,100
7026,1,0
7026,2,0
7027,1,1500
7027,2,1000
7028,1,0
7028,2,0
7029,1,0
7029,2,0
7030,1,1
7030,2,1
7031,1,0
7031,2,0
7032,1,14
7032,2,6
7033,1,0
7033,2,0
7034,1,0
7034,2,0
7035,1,0
7035,2,7
7036,1,0
7036,2,0
7037,1,0
7037,2,80
7038,1,0
7038,2,0
7039,1,0
7039,2,0
7040,1,0
7040,2,0
7041,1,144
7041,2,96
7042,1,0
7042,2,10
7043,1,NA
7043,2,36
7044,1,12
7044,2,21
7045,1,0
7045,2,0
7046,1,60
7046,2,50
7047,1,180
7047,2,145
7048,1,0
7048,2,2
7049,1,0
7049,2,0
7050,1,0
7050,2,0
7051,1,1
7051,2,1
7052,1,15
7052,2,20
7053,1,0
7053,2,0
7054,1,0
7054,2,0
7055,1,0
7055,2,0
7056,1,0
7056,2,0
7057,1,1580
7057,2,1850
7058,1,0
7058,2,0
7059,1,0
7059,2,1999
7060,1,10
7060,2,50
7061,1,0
7061,2,0
7062,1,0
7062,2,0
7063,1,0
7063,2,0
7064,1,0
7064,2,0
7065,1,0
7065,2,0
7066,1,0
7066,2,0
7067,1,0
7067,2,0
7068,1,0
7068,2,0
7069,1,321
7069,2,456
7070,1,0
7070,2,0
7071,1,0
7071,2,6
7072,1,0
7072,2,0
7073,1,2
7073,2,0
7074,1,0
7074,2,0
7075,1,0
7075,2,0
7076,1,0
7076,2,0
7077,1,0
7077,2,0
7078,1,0
7078,2,650
7079,1,0
7079,2,20
7080,1,NSS
7080,2,0
7081,1,0
7081,2,0
7082,1,0
7082,2,0
7083,1,0
7083,2,0
7084,1,0
7084,2,0
7085,1,0
7085,2,0
7086,1,0
7086,2,0
7087,1,0
7087,2,0
7088,1,0
7088,2,0
7089,1,456
7089,2,279
7090,1,0
7090,2,3
7091,1,3
7091,2,15
7092,1,0
7092,2,0
7093,1,0
7093,2,0
7094,1,0
7094,2,0
7096,1,0
7096,2,0
7097,1,21
7097,2,12
7098,1,0
7098,2,0
7099,1,0
7099,2,0
7100,1,24
7100,2,10
7101,1,0
