ubicageo_f,entrevtt,entrev1,entrev2,entrev3,entrev4
1001,NSS,NSS,NSS,NSS,NSS
1002,0,0,0,0,0
1003,568,0,0,0,568
1004,NSS,NSS,NSS,NSS,NSS
1005,NSS,NSS,NSS,NSS,NSS
1006,259,103,26,130,0
1007,NSS,NSS,NSS,NSS,NSS
1008,77,45,20,12,0
1009,10,10,0,0,0
1010,NSS,NSS,NSS,NSS,NSS
1011,31,26,0,5,0
2001,NSS,NSS,NSS,NSS,NSS
2002,NSS,NSS,NSS,NSS,NSS
2003,1397,120,1100,177,0
2004,NSS,NSS,NSS,NSS,NSS
2005,815,815,0,0,0
2006,377,186,98,93,0
2007,300,NSS,NSS,NSS,300
3001,953,953,0,0,0
3002,100,100,0,0,0
3003,NSS,NSS,NSS,NSS,NSS
3008,921,0,921,0,0
3009,195,180,15,0,0
4001,NSS,NSS,NSS,NSS,NSS
4002,0,0,0,0,0
4003,50,15,25,10,0
4004,0,0,0,0,0
4005,0,0,0,0,0
4006,0,0,0,0,0
4007,2,1,1,0,0
4008,10,8,2,0,0
4009,9,5,3,1,0
4010,0,0,0,0,0
4011,0,0,0,0,0
4012,NA,NA,NA,NA,NA
4013,NA,NA,NA,NA,NA
5001,4,0,4,0,0
5002,1371,800,71,500,0
5003,NSS,NSS,NSS,NSS,NSS
5004,2326,2326,0,0,0
5005,1,0,1,0,0
5006,0,0,0,0,0
5007,8,7,0,1,0
5008,NA,NA,NA,NA,NA
5009,42,20,18,4,0
5010,NSS,NSS,NSS,NSS,NSS
5011,NSS,NSS,NSS,NSS,NSS
5012,NA,NA,NA,NA,NA
5013,NA,NA,NA,NA,NA
5014,8,3,3,2,0
5015,NA,NA,NA,NA,NA
5016,0,0,0,0,0
5017,0,0,0,0,0
5018,0,0,0,0,0
5019,0,0,0,0,0
5020,0,0,0,0,0
5021,NSS,NSS,NSS,NSS,NSS
5022,357,357,0,0,0
5023,0,0,0,0,0
5024,0,0,0,0,0
5025,290,200,0,90,0
5026,NA,NA,NA,NA,NA
5027,0,0,0,0,0
5028,75,0,0,0,75
5029,0,0,0,0,0
5030,NSS,NSS,NSS,NSS,NSS
5031,0,0,0,0,0
5032,0,0,0,0,0
5033,0,0,0,0,0
5034,0,0,0,0,0
5035,126322,126322,0,0,0
5036,290,290,0,0,0
5037,0,0,0,0,0
5038,75,75,0,0,0
6001,3494,1747,1747,0,0
6002,1902,0,0,0,1902
6003,6,6,0,0,0
6004,30,10,10,10,0
6005,250,100,100,50,0
