ubicageo_f,lecdertt,lecder1,lecder2,lecder3,lecderne
1001,NSS,NSS,NSS,NSS,
1002,1177,0,1177,0,
1003,113,0,113,0,
1004,NSS,NSS,NSS,NSS,
1005,6384,0,6384,0,
1006,6,0,6,0,
1007,78,0,78,0,
1008,379,0,379,0,
1009,29,0,29,0,
1010,1433,0,1433,0,
1011,5905,0,5905,0,
2001,NSS,NSS,NSS,NSS,
2002,NSS,NSS,NSS,NSS,
2003,410,0,410,0,
2004,11002,0,11002,0,
2005,1129,0,1129,0,
2006,525,284,241,0,
2007,300,NSS,NSS,300,
3001,953,953,0,0,
3002,174,0,174,0,
3003,NSS,NSS,NSS,NSS,
3008,921,791,130,0,
3009,335,335,0,0,
4001,NSS,NSS,NSS,NSS,
4002,0,0,0,0,
4003,3539,0,3539,0,
4004,0,0,0,0,
4005,0,0,0,0,
4006,0,0,0,0,
4007,33,1,32,0,
4008,148,0,148,0,
4009,685,15,670,0,
4010,0,0,0,0,
4011,0,0,0,0,
4012,NA,NA,NA,NA,
4013,NA,NA,NA,NA,
5001,10,0,10,0,
5002,1371,0,1371,0,
5003,NSS,NSS,NSS,NSS,
5004,2326,2029,297,0,
5005,1,1,0,0,
5006,0,0,0,0,
5007,8,0,8,0,
5008,NA,NA,NA,NA,
5009,1322,1211,111,0,
5010,NSS,NSS,NSS,NSS,
5011,NSS,NSS,NSS,NSS,
5012,NA,NA,NA,NA,
5013,NA,NA,NA,NA,
5014,433,0,433,0,
5015,NA,NA,NA,NA,
5016,2,0,2,0,
5017,0,0,0,0,
5018,0,0,0,0,
5019,75,0,75,0,
5020,3000,0,0,3000,
5021,NSS,NSS,NSS,NSS,
5022,1875,0,1875,0,
5023,0,0,0,0,
5024,1914,0,1914,0,
5025,1280,0,1280,0,
5026,NA,NA,NA,NA,
5027,0,0,0,0,
5028,1263,0,1263,0,
5029,0,0,0,0,
5030,NSS,NSS,NSS,NSS,
5031,0,0,0,0,
5032,198,0,198,0,
5033,0,0,0,0,
5034,0,0,0,0,
5035,11626,0,11626,0,
5036,374,0,374,0,
5037,0,0,0,0,
5038,252,0,252,0,
6001,2032,1016,1016,0,
6002,1902,0,0,1902,
6003,6,0,6,0,
6004,32,20,12,0,
6005,232,100,100,32,
6006,0,0,0,0,
6007,5536,4500,1036,0,
6008,5,0,5,0,
6009,659,452,207,0,
6010,2121,2086,35,0,
7001,30,0,30,0,
7002,0,0,0,0,
7003,0,0,0,0,
7004,0,0,0,0,
7005,0,0,0,0,
7006,0,0,0,0,
7007,0,0,0,0,
7008,0,0,0,0,
7009,0,0,0,0,
7010,0,0,0,0,
7011,0,0,0,0,
7012,200,0,200,0,
7013,0,0,0,0,
7014,0,0,0,0,
7015,20,0,20,0,
7016,0,0,0,0,
7017,98,35,63,0,
7018,30,0,30,0,
7019,62,0,62,0,
7020,0,0,0,0,
7021,407,0,407,0,
7022,0,0,0,0,
7023,0,0,0,0,
7024,5,0,5,0,
7025,300,100,200,0,
7026,0,0,0,0,
7027,750,450,300,0,
7028,0,0,0,0,
7029,0,0,0,0,
7030,0,0,0,0,
7031,0,0,0,0,
7032,158,158,0,0,
7033,0,0,0,0,
7034,0,0,0,0,
7035,3,3,0,0,
7036,0,0,0,0,
7037,80,0,80,0,
7038,0,0,0,0,
7039,0,0,0,0,
7040,135,2,133,0,
7041,36,0,36,0,
7042,0,0,0,0,
7043,20,10,10,0,
7044,0,0,0,0,
7045,0,0,0,0,
7046,8,4,4,0,
7047,0,0,0,0,
7048,0,0,0,0,
7049,0,0,0,0,
7050,0,0,0,0,
7051,2,2,0,0,
7052,100,30,50,20,
7053,0,0,0,0,
7054,22,0,22,0,
7055,35,0,35,0,
7056,0,0,0,0,
7057,30,20,10,0,
7058,0,0,0,0,
7059,1999,0,1999,0,
7060,900,450,450,0,
7061,44,0,44,0,
7062,0,0,0,0,
7063,27,0,27,0,
7064,0,0,0,0,
7065,1500,0,1500,0,
7066,0,0,0,0,
7067,0,0,0,0,
7068,0,0,0,0,
7069,327,159,168,0,
7070,0,0,0,0,
7071,2,0,2,0,
7072,0,0,0,0,
7073,0,0,0,0,
7074,20,0,20,0,
7075,100,30,70,0,
7076,0,0,0,0,
7077,0,0,0,0,
7078,917,719,198,0,
7079,619,50,569,0,
7080,0,0,0,0,
7081,0,0,0,0,
7082,2,0,2,0,
7083,0,0,0,0,
7084,0,0,0,0,
7085,0,0,0,0,
7086,0,0,0,0,
7087,90,80,10,0,
7088,0,0,0,0,
7089,435,435,0,0,
7090,3,3,0,0,
7091,5,0,5,0,
7092,7,0,7,0,
7093,0,0,0,0,
7094,0,0,0,0,
7096,0,0,0,0,
7097,12,0,12,0,
7098,2,0,2,0,
7099,0,0,0,0,
7100,12,6,6,0,
7101,335,0,335,0,
7102,1825,1095,730,0,
7103,18,0,18,0,
7104,0,0,0,0,
7105,21,8,13,0,
7106,0,0,0,0,
7107,364,0,364,0,
7108,43,0,43,0,
7109,21,14,7,0,
7110,2,1,1,0,
7111,0,0,0,0,
7112,0,0,0,0,
