ubicageo_f,trapertt,traper1,traper2,traper3,traper4,traper5,traper6
1001,NA,NA,NA,NA,NA,NA,NA
1002,241,241,0,0,0,0,0
1003,113,113,0,0,0,0,0
1004,NSS,NSS,NSS,NSS,0,0,0
1005,500,500,0,0,0,0,0
1006,0,0,0,0,0,0,0
1007,NSS,NSS,NSS,NSS,NSS,NSS,NSS
1008,15,10,2,3,0,0,0
1009,30,30,0,0,0,0,0
1010,39,39,0,0,0,0,0
1011,414,280,0,0,134,0,0
2001,1969,1959,0,0,10,0,0
2002,2350,0,2345,0,0,5,0
2003,410,410,0,0,0,0,0
2004,11002,11002,0,0,0,0,0
2005,21,0,21,0,0,0,0
2006,241,241,0,0,0,0,0
2007,10,NSS,NSS,NSS,NSS,NSS,10
3001,0,0,0,0,0,0,0
3002,0,0,0,0,0,0,0
3003,0,0,0,0,0,0,0
3008,25,25,0,0,0,0,0
3009,9,9,0,0,0,0,0
4001,NSS,NSS,0,0,0,0,0
4002,0,0,0,0,0,0,0
4003,0,0,0,0,0,0,0
4004,0,0,0,0,0,0,0
4005,37,37,0,0,0,0,0
4006,0,0,0,0,0,0,0
4007,0,0,0,0,0,0,0
4008,0,0,0,0,0,0,0
4009,0,0,0,0,0,0,0
4010,0,0,0,0,0,0,0
4011,0,0,0,0,0,0,0
4012,NA,NA,NA,NA,NA,NA,NA
4013,NA,NA,NA,NA,NA,NA,NA
5001,0,0,0,0,0,0,0
5002,1371,1371,0,0,0,0,0
5003,0,0,0,0,0,0,0
5004,0,0,0,0,0,0,0
5005,0,0,0,0,0,0,0
5006,33,33,0,0,0,0,0
5007,54,54,0,0,0,0,0
5008,NA,NA,NA,NA,NA,NA,NA
5009,0,0,0,0,0,0,0
5010,NSS,NSS,NSS,NSS,NSS,NSS,NSS
5011,NSS,NSS,NSS,NSS,NSS,NSS,NSS
5012,NA,NA,NA,NA,NA,NA,NA
5013,NA,NA,NA,NA,NA,NA,NA
5014,141,141,0,0,0,0,0
5015,NA,NA,NA,NA,NA,NA,NA
5016,2,2,0,0,0,0,0
5017,913,913,0,0,0,0,0
5018,20,0,0,0,0,20,0
5019,75,75,0,0,0,0,0
5020,18,8,0,10,0,0,0
5021,NSS,NSS,0,NSS,NSS,0,0
5022,381,357,0,12,12,0,0
5023,0,0,0,0,0,0,0
5024,27,24,0,3,0,0,0
5025,0,0,0,0,0,0,0
5026,NA,NA,NA,NA,NA,NA,NA
5027,0,0,0,0,0,0,0
5028,0,0,0,0,0,0,0
5029,0,0,0,0,0,0,0
5030,24,0,0,0,0,0,24
5031,0,0,0,0,0,0,0
5032,0,0,0,0,0,0,0
5033,0,0,0,0,0,0,0
5034,0,0,0,0,0,0,0
5035,15,0,15,0,0,0,0
5036,55,55,0,0,0,0,0
5037,32,32,0,0,0,0,0
5038,62,62,0,0,0,0,0
6001,0,0,0,0,0,0,0
6002,0,0,0,0,0,0,0
6003,31,6,0,0,25,0,0
6004,50,0,0,0,0,50,0
6005,13,13,0,0,0,0,0
6006,0,0,0,0,0,0,0
6007,60,40,0,20,0,0,0
6008,5,4,0,0,0,1,0
6009,163,163,0,0,0,0,0
6010,176,176,0,0,0,0,0
7001,0,0,0,0,0,0,0
7002,0,0,0,0,0,0,0
7003,0,0,0,0,0,0,0
7004,0,0,0,0,0,0,0
7005,20,4,0,12,4,0,0
7006,0,0,0,0,0,0,0
7007,0,0,0,0,0,0,0
7008,0,0,0,0,0,0,0
7009,0,0,0,0,0,0,0
7010,0,0,0,0,0,0,0
7011,0,0,0,0,0,0,0
7012,80,60,0,20,0,0,0
7013,0,0,0,0,0,0,0
7014,0,0,0,0,0,0,0
7015,13,0,0,10,0,3,0
7016,0,0,0,0,0,0,0
7017,15,11,0,1,3,0,0
7018,4,4,0,0,0,0,0
7019,75,62,2,8,3,0,0
7020,0,0,0,0,0,0,0
7021,12,12,0,0,0,0,0
7022,29,4,9,16,0,0,0
7023,0,0,0,0,0,0,0
7024,7,5,0,2,0,0,0
7025,0,0,0,0,0,0,0
7026,0,0,0,0,0,0,0
7027,0,0,0,0,0,0,0
7028,0,0,0,0,0,0,0
7029,0,0,0,0,0,0,0
7030,0,0,0,0,0,0,0
7031,18,12,0,0,6,0,0
7032,32,7,0,15,0,0,10
7033,0,0,0,0,0,0,0
7034,0,0,0,0,0,0,0
7035,1,1,0,0,0,0,0
7036,3,0,0,3,0,0,0
7037,11,11,0,0,0,0,0
7038,0,0,0,0,0,0,0
7039,0,0,0,0,0,0,0
7040,135,114,0,21,0,0,0
7041,1,1,0,0,0,0,0
7042,5,0,0,5,0,0,0
7043,0,0,0,0,0,0,0
7044,0,0,0,0,0,0,0
7045,0,0,0,0,0,0,0
7046,4,4,0,0,0,0,0
7047,0,0,0,0,0,0,0
7048,1,1,0,0,0,0,0
7049,0,0,0,0,0,0,0
7050,0,0,0,0,0,0,0
7051,0,0,0,0,0,0,0
7052,6,6,0,0,0,0,0
7053,1,0,0,1,0,0,0
7054,83,22,0,61,0,0,0
7055,5,5,0,0,0,0,0
7056,0,0,0,0,0,0,0
7057,35,35,0,0,0,0,0
7058,1,0,0,0,1,0,0
7059,36,36,0,0,0,0,0
7060,0,0,0,0,0,0,0
7061,44,44,0,0,0,0,0
7062,0,0,0,0,0,0,0
7063,0,0,0,0,0,0,0
7064,6,6,0,0,0,0,0
7065,180,122,0,58,0,0,0
7066,0,0,0,0,0,0,0
7067,0,0,0,0,0,0,0
7068,0,0,0,0,0,0,0
7069,64,25,0,0,39,0,0
7070,2,0,0,2,0,0,0
7071,0,0,0,0,0,0,0
7072,5,0,0,0,0,5,0
7073,0,0,0,0,0,0,0
7074,20,20,0,0,0,0,0
7075,3,3,0,0,0,0,0
7076,0,0,0,0,0,0,0
7077,0,0,0,0,0,0,0
7078,0,0,0,0,0,0,0
7079,0,0,0,0,0,0,0
7080,0,0,0,0,0,0,0
7081,0,0,0,0,0,0,0
7082,6,2,0,0,4,0,0
7083,0,0,0,0,0,0,0
7084,0,0,0,0,0,0,0
7085,5,4,0,1,0,0,0
7086,0,0,0,0,0,0,0
7087,15,15,0,0,0,0,0
7088,0,0,0,0,0,0,0
7089,0,0,0,0,0,0,0
7090,0,0,0,0,0,0,0
7091,0,0,0,0,0,0,0
7092,7,7,0,0,0,0,0
7093,0,0,0,0,0,0,0
7094,0,0,0,0,0,0,0
7096,0,0,0,0,0,0,0
7097,50,47,0,0,3,0,0
7098,1,0,0,0,0,0,1
7099,0,0,0,0,0,0,0
7100,3,3,0,0,0,0,0
7101,3,0,0,3,0,0,0
7102,42,10,0,2,0,30,0
7103,7,5,0,2,0,0,0
7104,0,0,0,0,0,0,0
7105,21,0,0,0,0,0,21
7106,0,0,0,0,0,0,0
7107,28,28,0,0,0,0,0
7108,43,38,5,0,0,0,0
7109,21,7,0,0,0,0,14
7110,2,2,0,0,0,0,0
7111,0,0,0,0,0,0,0
7112,0,0,0,0,0,0,0
7113,NSS,NSS,NSS,NSS,NSS,NSS,NSS
7114,2,0,2,0,0,0,0
7115,0,0,0,0,0,0,0
7116,12,12,0,0,0,0,0
7117,4,1,0,3,0,0,0
7118,0,0,0,0,0,0,0
7119,0,0,0,0,0,0,0
7120,25,0,0,10,15,0,0
7121,0,0,0,0,0,0,0
7122,20,20,0,0,0,0,0
7123,0,0,0,0,0,0,0
7124,0,0,0,0,0,0,0
7125,0,0,0,0,0,0,0
8001,0,0,0,0,0,0,0
8002,0,0,0,0,0,0,0
8003,10,4,0,6,0,0,0
8004,6,6,0,0,0,0,0
8005,240,77,0,137,0,26,0
8006,0,0,0,0,0,0,0
8007,0,0,0,0,0,0,0
8008,0,0,0,0,0,0,0
8009,0,0,0,0,0,0,0
8010,4,1,1,0,0,2,0
8011,0,0,0,0,0,0,0
8012,0,0,0,0,0,0,0
8013,0,0,0,0,0,0,0
8014,1,0,0,0,0,0,1
8015,1,1,0,0,0,0,0
8016,2,2,0,0,0,0,0
8017,5500,5500,0,0,0,0,0
8018,0,0,0,0,0,0,0
8019,2635,2087,0,7,0,541,0
8020,0,0,0,0,0,0,0
8021,0,0,0,0,0,0,0
8022,0,0,0,0,0,0,0
8023,0,0,0,0,0,0,0
8024,0,0,0,0,0,0,0
8025,0,0,0,0,0,0,0
8026,0,0,0,0,0,0,0
8027,15,0,0,0,5,10,0
8028,0,0,0,0,0,0,0
8029,0,0,0,0,0,0,0
8030,0,0,0,0,0,0,0
8031,50,30,0,15,0,0,5
8032,470,470,0,0,0,0,0
8033,0,0,0,0,0,0,0
8034,0,0,0,0,0,0,0
8035,0,0,0,0,0,0,0
8036,12,12,0,0,0,0,0
8037,12340,11499,14,0,0,827,0
8038,9,6,3,0,0,0,0
8039,0,0,0,0,0,0,0
8040,0,0,0,0,0,0,0
8041,0,0,0,0,0,0,0
8042,0,0,0,0,0,0,0
8043,0,0,0,0,0,0,0
8044,0,0,0,0,0,0,0
8045,0,0,0,0,0,0,0
8046,0,0,0,0,0,0,0
8047,0,0,0,0,0,0,0
8048,0,0,0,0,0,0,0
8049,0,0,0,0,0,0,0
8050,NSS,NSS,NSS,NSS,NSS,NSS,NSS
8051,4,4,0,0,0,0,0
8052,20,20,0,0,0,0,0
8053,0,0,0,0,0,0,0
8054,0,0,0,0,0,0,0
8055,1134,0,0,1134,0,0,0
8056,0,0,0,0,0,0,0
8057,0,0,0,0,0,0,0
8058,0,0,0,0,0,0,0
8059,2,2,0,0,0,0,0
8060,0,0,0,0,0,0,0
8061,0,0,0,0,0,0,0
8062,44,38,0,6,0,0,0
8063,3,3,0,0,0,0,0
8064,1,1,0,0,0,0,0
8065,0,0,0,0,0,0,0
8066,10,0,0,10,0,0,0
8067,0,0,0,0,0,0,0
9002,NA,NA,NA,NA,NA,NA,NA
9003,NA,NA,NA,NA,NA,NA,NA
9004,NA,NA,NA,NA,NA,NA,NA
9005,NA,NA,NA,NA,NA,NA,NA
9006,NA,NA,NA,NA,NA,NA,NA
9007,NA,NA,NA,NA,NA,NA,NA
9008,NA,NA,NA,NA,NA,NA,NA
9009,NA,NA,NA,NA,NA,NA,NA
9010,NA,NA,NA,NA,NA,NA,NA
9011,NA,NA,NA,NA,NA,NA,NA
9012,NA,NA,NA,NA,NA,NA,NA
9013,NA,NA,NA,NA,NA,NA,NA
9014,NA,NA,NA,NA,NA,NA,NA
9015,NA,NA,NA,NA,NA,NA,NA
9016,NA,NA,NA,NA,NA,NA,NA
9017,NA,NA,NA,NA,NA,NA,NA
10001,2,0,0,0,2,0,0
10002,0,0,0,0,0,0,0
10003,3,0,0,3,0,0,0
10004,0,0,0,0,0,0,0
10005,683,683,0,0,0,0,0
10006,0,0,0,0,0,0,0
10007,0,0,0,0,0,0,0
10008,4,0,0,0,4,0,0
10009,0,0,0,0,0,0,0
10010,0,0,0,0,0,0,0
10011,2,0,0,2,0,0,0
10012,10,0,0,0,0,0,10
10013,0,0,0,0,0,0,0
10014,0,0,0,0,0,0,0
10015,0,0,0,0,0,0,0
10016,0,0,0,0,0,0,0
10017,0,0,0,0,0,0,0
10018,0,0,0,0,0,0,0
10019,0,0,0,0,0,0,0
10020,0,0,0,0,0,0,0
10021,0,0,0,0,0,0,0
10022,4,0,0,2,0,2,0
10023,25,20,0,5,0,0,0
10024,0,0,0,0,0,0,0
10025,0,0,0,0,0,0,0
10026,0,0,0,0,0,0,0
10027,0,0,0,0,0,0,0
10028,0,0,0,0,0,0,0
10029,0,0,0,0,0,0,0
10030,0,0,0,0,0,0,0
10031,0,0,0,0,0,0,0
10032,5,5,0,0,0,0,0
10033,0,0,0,0,0,0,0
10034,59,2,0,51,1,5,0
10035,35,3,0,22,10,0,0
10036,0,0,0,0,0,0,0
10037,0,0,0,0,0,0,0
10038,1,1,0,0,0,0,0
10039,0,0,0,0,0,0,0
11001,5,5,0,0,0,0,0
11002,NSS,NSS,0,NSS,0,0,0
11003,128,128,0,0,0,0,0
11004,0,0,0,0,0,0,0
11005,200,100,0,0,100,0,0
11006,0,0,0,0,0,0,0
11007,505,505,0,0,0,0,0
11008,NA,NA,NA,NA,NA,NA,NA
11009,NSS,NSS,NSS,NSS,NSS,NSS,NSS
11010,NSS,NSS,NSS,NSS,NSS,NSS,NSS
11011,9,9,0,0,0,0,0
11012,0,0,0,0,0,0,0
11013,0,0,0,0,0,0,0
11014,182,177,0,0,0,5,0
11015,0,0,0,0,0,0,0
11016,0,0,0,0,0,0,0
11017,0,0,0,0,0,0,0
11018,22,12,0,8,0,2,0
11019,0,0,0,0,0,0,0
11020,0,0,0,0,0,0,0
11021,20,16,0,4,0,0,0
11022,0,0,0,0,0,0,0
11023,0,0,0,0,0,0,0
11024,NSS,NSS,NSS,NSS,NSS,NSS,NSS
11025,0,0,0,0,0,0,0
11026,NSS,NSS,NSS,NSS,NSS,NSS,NSS
11027,180,62,0,118,0,0,0
11028,49,49,0,0,0,0,0
11029,15,15,0,0,0,0,0
