ubicageo_f,totalca1
1001,NSS
1002,0
1003,NSS
1004,0
1005,0
1006,0
1007,0
1008,0
1009,0
1010,0
1011,0
2001,0
2002,NSS
2003,0
2004,0
2005,NSS
2006,0
2007,0
3001,0
3002,0
3003,0
3008,16
3009,0
4001,0
4002,0
4003,0
4004,0
4005,0
4006,22
4007,0
4008,0
4009,0
4010,0
4011,0
4012,NA
4013,NA
5001,0
5002,0
5003,0
5004,0
5005,0
5006,0
5007,0
5008,NA
5009,0
5010,NSS
5011,0
5012,NA
5013,NA
5014,0
5015,NA
5016,0
5017,0
5018,8
5019,0
5020,0
5021,0
5022,0
5023,0
5024,0
5025,0
5026,NA
5027,0
5028,0
5029,0
5030,0
5031,0
5032,0
5033,0
5034,0
5035,0
5036,127
5037,0
5038,0
6001,0
6002,0
6003,0
6004,0
6005,0
6006,0
6007,1086
6008,1
6009,875
6010,0
7001,2
7002,0
7003,0
7004,0
7005,0
7006,0
7007,0
7008,0
7009,0
7010,0
7011,0
7012,15
7013,0
7014,0
7015,0
7016,0
7017,0
7018,0
7019,32
7020,0
7021,0
7022,0
7023,0
7024,10
7025,0
7026,0
7027,0
7028,0
7029,0
7030,0
7031,0
7032,0
7033,0
7034,0
7035,0
7036,0
7037,0
7038,0
7039,0
7040,6
7041,0
7042,0
7043,0
7044,0
7045,0
7046,1
7047,0
7048,0
7049,0
7050,0
7051,0
7052,3
7053,0
7054,0
7055,0
7056,0
7057,0
7058,0
7059,0
7060,0
7061,0
7062,0
7063,0
7064,0
7065,0
7066,0
7067,0
7068,0
7069,0
7070,0
7071,0
7072,0
7073,0
7074,0
7075,0
7076,0
7077,0
7078,0
7079,1
7080,0
7081,0
7082,0
7083,0
7084,0
7085,0
7086,0
7087,0
7088,0
7089,83
7090,0
7091,0
7092,0
7093,0
7094,0
7096,0
7097,47
7098,0
7099,0
7100,0
7101,0
7102,0
7103,0
7104,0
7105,0
7106,0
7107,2
7108,5
7109,7
7110,0
7111,0
7112,0
7113,0
7114,0
7115,0
7116,0
7117,0
7118,0
7119,0
7120,0
7121,0
7122,0
7123,0
7124,0
7125,0
8001,0
8002,0
8003,0
8004,0
8005,0
