autornot_i,descrip
1,Fiscalía General de la República
2,Secretaría de la Defensa Nacional
3,Secretaría de Marina
4,Secretaría de Seguridad y Protección Ciudadana (incluye la Guardia Nacional)
5,Autoridades aduaneras
6,Fiscalía General o Procuraduría General de Justicia de la entidad federativa
7,Secretaría de Seguridad Pública u homóloga de algún municipio o demarcación territorial de la entidad federativa
8,Dependencias coordinadas
9,Otra autoridad
10,Autoridad no identificada
11,No se notificó su aseguramiento
12,No identificado
99,No especificado
