ubicageo_f,aniorefe_b,rnsnni1
1001,1,2
1001,2,2
1002,1,1
1002,2,1
1003,1,1
1003,2,1
1004,1,1
1004,2,1
1005,1,1
1005,2,1
1006,1,1
1006,2,1
1007,1,1
1007,2,1
1008,1,1
1008,2,1
1009,1,1
1009,2,1
1010,1,1
1010,2,1
1011,1,1
1011,2,1
2001,1,1
2001,2,1
2002,1,1
2002,2,1
2003,1,1
2003,2,1
2004,1,1
2004,2,1
2005,1,1
2005,2,1
2006,1,2
2006,2,1
2007,1,9
2007,2,1
3001,1,1
3001,2,1
3002,1,1
3002,2,1
3003,1,1
3003,2,1
3008,1,9
3008,2,1
3009,1,1
3009,2,1
4001,1,2
4001,2,2
4002,1,2
4002,2,2
4003,1,2
4003,2,2
4004,1,1
4004,2,1
4005,1,9
4005,2,9
4006,1,9
4006,2,1
4007,1,1
4007,2,1
4008,1,1
4008,2,1
4009,1,1
4009,2,1
4010,1,1
4010,2,1
4011,1,1
4011,2,1
4012,1,0
4012,2,0
4013,1,0
4013,2,0
5001,1,2
5001,2,2
5002,1,1
5002,2,1
5003,1,9
5003,2,1
5004,1,2
5004,2,2
5005,1,2
5005,2,2
5006,1,2
5006,2,2
5007,1,1
5007,2,1
5008,1,0
5008,2,0
5009,1,1
5009,2,1
5010,1,1
5010,2,1
5011,1,1
5011,2,1
5012,1,0
5012,2,0
5013,1,0
5013,2,0
5014,1,1
5014,2,1
5015,1,0
5015,2,0
5016,1,2
5016,2,2
5017,1,1
5017,2,1
5018,1,9
5018,2,1
5019,1,2
5019,2,2
5020,1,1
5020,2,1
5021,1,2
5021,2,2
5022,1,1
5022,2,1
5023,1,1
5023,2,1
5024,1,2
5024,2,2
5025,1,2
5025,2,2
5026,1,0
5026,2,0
5027,1,2
5027,2,2
5028,1,1
5028,2,1
5029,1,9
5029,2,2
5030,1,2
5030,2,2
5031,1,1
5031,2,1
5032,1,2
5032,2,1
5033,1,1
5033,2,1
5034,1,1
5034,2,1
5035,1,1
5035,2,1
5036,1,2
5036,2,2
5037,1,9
5037,2,9
