ubicageo_f,estatreg_c,armasatt,armasa1,armasa2,armasa3,armasa4,armasa5,armasa6,armasa7,armasa8,armasa9,armasa10,armasa11,armasa12,armasa13,armasa14,armasa15,armasa16,armasa17,armasa18,armasa19,armasa20
1001,101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1001,102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1001,103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1001,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1001,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1001,999,,,,,,,,,,,,,,,,,,,,,
1002,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1002,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1002,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1002,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1002,300,155,4,4,0,0,0,0,0,0,147,0,0,0,0,0,0,0,0,0,0,0
1002,999,,,,,,,,,,,,,,,,,,,,,
1003,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1003,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1003,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1003,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1003,300,127,3,5,0,0,0,0,0,0,119,0,0,0,0,0,0,0,0,0,0,0
1003,999,,,,,,,,,,,,,,,,,,,,,
1004,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1004,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1004,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1004,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1004,300,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1004,999,,,,,,,,,,,,,,,,,,,,,
1005,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1005,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1005,103,72,0,8,0,0,0,0,0,0,40,0,0,0,0,0,23,1,0,0,0,0
1005,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1005,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1005,999,,,,,,,,,,,,,,,,,,,,,
1006,101,27,0,3,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0
1006,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1006,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1006,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1006,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1006,999,,,,,,,,,,,,,,,,,,,,,
1007,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1007,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1007,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1007,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1007,300,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1007,999,,,,,,,,,,,,,,,,,,,,,
1008,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1008,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1008,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1008,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1008,300,7,0,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
1008,999,,,,,,,,,,,,,,,,,,,,,
1009,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1009,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1009,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1009,200,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1009,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1009,999,,,,,,,,,,,,,,,,,,,,,
1010,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1010,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1010,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1010,200,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1010,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1010,999,,,,,,,,,,,,,,,,,,,,,
1011,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1011,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1011,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1011,200,12,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1011,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1011,999,,,,,,,,,,,,,,,,,,,,,
2001,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,200,727,9,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,662,0,0,0
2001,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,999,,,,,,,,,,,,,,,,,,,,,
2002,101,NSS,NSS,NSS,0,0,0,0,0,0,NSS,0,0,0,0,0,0,0,0,0,0,0
2002,102,NSS,NSS,NSS,0,0,0,0,0,0,NSS,0,0,0,0,0,0,0,0,0,0,0
2002,103,NSS,NSS,NSS,0,0,0,0,0,0,NSS,0,0,0,0,0,0,0,0,0,0,0
2002,200,NSS,NSS,NSS,0,0,0,0,0,0,NSS,0,0,0,0,0,0,0,0,0,0,0
2002,300,1983,44,128,0,0,0,0,0,0,1811,0,0,0,0,0,0,0,0,0,0,0
2002,999,,,,,,,,,,,,,,,,,,,,,
2003,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,200,1550,15,11,0,0,0,0,0,0,1524,0,0,0,0,0,0,0,0,0,0,0
2003,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,999,,,,,,,,,,,,,,,,,,,,,
2004,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,103,10264,190,751,0,0,0,1,0,0,8466,0,0,0,0,0,844,12,0,0,0,0
2004,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,999,,,,,,,,,,,,,,,,,,,,,
2005,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,103,76,17,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,999,,,,,,,,,,,,,,,,,,,,,
2006,101,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,999,,,,,,,,,,,,,,,,,,,,,
2007,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,300,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,999,,,,,,,,,,,,,,,,,,,,,
3001,101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3001,102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3001,103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3001,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3001,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3001,999,,,,,,,,,,,,,,,,,,,,,
