ubicageo_f,numeral,nombre1,instregu_c,anios_a,anios_b,indefini,fuatse1,fuatse2,fuatse3,fuatse4,fuatse5,fuatse6,fuatse7,fuatse8,fuatse9,fuatse10,fuatse11,fuatse12,insasi1,insasi2,insasi3,insasi4,insasi5,insasi6,insasi7,insasi8,insasi9,insasi10,insasi11,insasi12,insasi13,insasi14,insasi15,insasi16,insasi17,insasi18,insasi19
1001,1,NO APLICA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1002,1,NO APLICA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1003,1,NO APLICA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1004,1,NO APLICA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1005,1,NO APLICA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1006,1,NO APLICA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1007,1,NO APLICA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1008,1,NO APLICA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1009,1,POLICIA MUNICIPAL DE OTROS MUNICIPIOS,1,2011,2022,,,1,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,
1009,2,POLICIA ESTATAL,1,2011,2022,,,1,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,
1009,3,UNIDAD DE ESPECIALIDADES MEDICAS EN CENTROS DE ATENCION PRIMARIA EN ADICCIONES,3,2019,NA,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
1009,4,CENTRO ESTATAL DE PREVENCION SOCIAL DE LA VIOLENCIA Y LA DELINCUENCIA,3,2019,NA,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
1010,1,NO APLICA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1011,1,NO APLICA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001,1,NO APLICA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,1,COMITES Y REDES CIUDADANAS,1,2021,2024,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,
2002,2,UNIVERSIDAD AUTONOMA DE BAJA CALIFORNIA,4,2021,2024,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,
2003,1,NO APLICA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2004,1,SISTEMAS MEDICOS NACIONALES SIMNSA,3,2022,2024,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
2004,2,CONSEJO COORDINADOR EMPRESARIAL TIJUANA,3,2022,2024,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
2004,3,SECCION ESPECIALIZADA CENTROS COMERCIALES,3,2022,2024,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
2004,4,GRUPO BARISTTI,3,2022,2024,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
2004,5,GRUPO GRANO DE ORO,3,2022,2024,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
2004,6,UNIVERSIDAD AUTONOMA DE BAJA CALIFORNIA,3,2022,2024,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
2004,7,GRUPO TACNA,3,2022,2024,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
2004,8,ASOCIACIONES DE BANCOS DE MEXICO,3,2022,2024,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
2004,9,ABASTOS DE TIJUANA,3,2022,2024,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
2004,10,COMERCIANTES AVENIDA REVOLUCION,3,2022,2024,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
2004,11,CONSEJOS CIUDADANOS DE SEGURIDAD,3,2022,2024,,,1,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
2004,12,PLAZA RIO,3,2022,2024,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
2004,13,CAMARA NACIONAL DE COMERCIO TIJUANA,3,2022,2024,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
2004,14,OXXO TIJUANA,3,2022,2024,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
2004,15,CASA DEL POLICIA Y BOMBEROS,3,2022,2024,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
2004,16,DESARROLLADORES INDUSTRIALES,3,2022,2024,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
2004,17,EMPRESA STRYKER,3,2022,2024,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
2004,18,COMITE LAS PLAZAS,3,2022,2024,,,1,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
2004,19,AUTORIDADES ESCOLARES DIRECCION GENERAL DE EDUCACION TECNOLOGICA INDUSTRIAL,3,2022,2024,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
2004,20,COPPEL,3,2022,2024,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
2004,21,COMITE DE SEGURIDAD NATURA,3,2022,2024,,,1,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
2004,22,COLEGIO DE BACHILLERES DE BAJA CALIFORNIA,3,2022,2024,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
2004,23,PATRONATO DARE EDUCACION PREVENTIVA CONTRA EL CONSUMO DE DROGAS,3,2022,2024,,,1,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
2004,24,CAMARA NACIONAL DE LA INDUSTRIA DE RESTAURANTES Y ALIMENTOS CONDIMENTADOS TIJUANA,3,2022,2024,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
2004,25,ASOCIACION METROPOLITANA DE LA INDUSTRIA MANUFACTURERA Y MAQUILADORA DE EXPORTACION,3,2022,2024,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
2004,26,ASOCIACION MEXICANA DE MUJERES JEFAS DE EMPRESA,3,2022,2024,,,1,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
2004,27,HOSPITAL EXXEL,3,2022,2024,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
2004,28,GRUPO EL FLORIDO,3,2022,2024,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
2004,29,ASOCIACION DE INDUSTRIAS DE LA MESA DE OTAY TIJUANA,3,2022,2024,,,1,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
2004,30,FIRST CASH,3,2022,2024,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
2004,31,PARQUE INDUSTRIAL PACIFICO,3,2022,2024,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
2004,32,COLEGIOS Y ASOCIACIONES DE ABOGADOS,3,2022,2024,,,1,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
2004,33,CENTRO UNIVERSITARIO DEL PACIFICO,1,2022,2024,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
