COLUMNA,DESCRIPCION,ORIGEN,TIPO_DATO,LONGITUD,CODIGO_VALIDO
ubicageo_f,Municipio,SECC I. 137,Numérico,5,0 al 99999
numeral,Identificador o numeral del orden que guarda cada registro capturado dentro de la lista,SECC I. 137,Carácter,4,0-5000
nombre1,Nombre de las asociaciones interinstitucionales,SECC I. 137,Carácter,2500,
instregu_c,Tipo de instrumento regulatorio,SECC I. 137,Numérico,2,0 al 98
anios_a,Año de entrada en vigor (aaaa),SECC I. 137,Carácter,4,"1900-2090, NA, NSS, ND, NP, NULL"
anios_b,Año de vencimiento - Año (aaaa),SECC I. 137,Carácter,4,"1900-2090, NA, NSS, ND, NP, NULL"
indefini,Año de vencimiento - Indefinido,SECC I. 137,Carácter,3,"1, NA, NSS, ND, NP, NULL"
fuatse1,"Funciones, atribuciones o servicios objeto - Investigación",SECC I. 137,Carácter,3,"1, NA, NSS, ND, NP, NULL"
fuatse2,"Funciones, atribuciones o servicios objeto - Prevención",SECC I. 137,Carácter,3,"1, NA, NSS, ND, NP, NULL"
fuatse3,"Funciones, atribuciones o servicios objeto - Proximidad social",SECC I. 137,Carácter,3,"1, NA, NSS, ND, NP, NULL"
fuatse4,"Funciones, atribuciones o servicios objeto - Reacción",SECC I. 137,Carácter,3,"1, NA, NSS, ND, NP, NULL"
fuatse5,"Funciones, atribuciones o servicios objeto - Inteligencia y/o análisis",SECC I. 137,Carácter,3,"1, NA, NSS, ND, NP, NULL"
fuatse6,"Funciones, atribuciones o servicios objeto - Tránsito y vialidad",SECC I. 137,Carácter,3,"1, NA, NSS, ND, NP, NULL"
fuatse7,"Funciones, atribuciones o servicios objeto - Capacitación",SECC I. 137,Carácter,3,"1, NA, NSS, ND, NP, NULL"
fuatse8,"Funciones, atribuciones o servicios objeto - Equipamiento y tecnología",SECC I. 137,Carácter,3,"1, NA, NSS, ND, NP, NULL"
fuatse9,"Funciones, atribuciones o servicios objeto - Unificación de criterios, métodos y procedimientos",SECC I. 137,Carácter,3,"1, NA, NSS, ND, NP, NULL"
fuatse10,"Funciones, atribuciones o servicios objeto - Evaluación y certificación de policías en el marco del Programa Rector de Profesionalización",SECC I. 137,Carácter,3,"1, NA, NSS, ND, NP, NULL"
fuatse11,"Funciones, atribuciones o servicios objeto - Otra función, atribución o servicio",SECC I. 137,Carácter,3,"1, NA, NSS, ND, NP, NULL"
fuatse12,"Funciones, atribuciones o servicios objeto - No identificado",SECC I. 137,Carácter,3,"1, NA, NSS, ND, NP, NULL"
insasi1,Tipo de instituciones - Instituciones del Poder Ejecutivo Federal,SECC I. 137,Carácter,3,"1, NA, NSS, ND, NP, NULL"
insasi2,Tipo de instituciones - Instituciones del Poder Legislativo Federal,SECC I. 137,Carácter,3,"1, NA, NSS, ND, NP, NULL"
insasi3,Tipo de instituciones - Instituciones del Poder Judicial Federal,SECC I. 137,Carácter,3,"1, NA, NSS, ND, NP, NULL"
insasi4,Tipo de instituciones - Órganos constitucionales autónomos federales (sin incluir a la FGR),SECC I. 137,Carácter,3,"1, NA, NSS, ND, NP, NULL"
insasi5,Tipo de instituciones - Fiscalía General de la República,SECC I. 137,Carácter,3,"1, NA, NSS, ND, NP, NULL"
insasi6,Tipo de instituciones - Instituciones del Poder Ejecutivo de la entidad federativa u otras entidades federativas (sin incluir a las procuradurías generales de justicia que dependan del Poder Ejecutivo),SECC I. 137,Carácter,3,"1, NA, NSS, ND, NP, NULL"
insasi7,Tipo de instituciones - Instituciones del Poder Legislativo de la entidad federativa u otras entidades federativas,SECC I. 137,Carácter,3,"1, NA, NSS, ND, NP, NULL"
insasi8,Tipo de instituciones - Instituciones del Poder Judicial de la entidad federativa u otras entidades federativas,SECC I. 137,Carácter,3,"1, NA, NSS, ND, NP, NULL"
insasi9,Tipo de instituciones - Órganos constitucionales autónomos de la entidad federativa u otras entidades federativas (sin incluir a las fiscalías generales con autonomía constitucional),SECC I. 137,Carácter,3,"1, NA, NSS, ND, NP, NULL"
insasi10,Tipo de instituciones - Fiscalía General o Procuraduría General de Justicia de la entidad federativa u otras entidades federativas,SECC I. 137,Carácter,3,"1, NA, NSS, ND, NP, NULL"
insasi11,Tipo de instituciones - Instituciones del Poder Ejecutivo de los municipios o demarcaciones territoriales de la entidad federativa u otras entidades federativas,SECC I. 137,Carácter,3,"1, NA, NSS, ND, NP, NULL"
insasi12,Tipo de instituciones - Instituciones extranjeras o internacionales de seguridad,SECC I. 137,Carácter,3,"1, NA, NSS, ND, NP, NULL"
insasi13,Tipo de instituciones - Organismos internacionales,SECC I. 137,Carácter,3,"1, NA, NSS, ND, NP, NULL"
insasi14,Tipo de instituciones - Organizaciones de la sociedad civil,SECC I. 137,Carácter,3,"1, NA, NSS, ND, NP, NULL"
insasi15,Tipo de instituciones - Universidades o instituciones académicas,SECC I. 137,Carácter,3,"1, NA, NSS, ND, NP, NULL"
insasi16,"Tipo de instituciones - Asociaciones religiosas, culturales o humanitarias",SECC I. 137,Carácter,3,"1, NA, NSS, ND, NP, NULL"
insasi17,Tipo de instituciones - Organizaciones del sector privado,SECC I. 137,Carácter,3,"1, NA, NSS, ND, NP, NULL"
insasi18,Tipo de instituciones - Otro tipo de institución,SECC I. 137,Carácter,3,"1, NA, NSS, ND, NP, NULL"
insasi19,Tipo de instituciones - No identificado,SECC I. 137,Carácter,3,"1, NA, NSS, ND, NP, NULL"
