inscanal_d,descrip
1,Asociaciones humanitarias o de asistencia social
2,Centros de apoyo a personas extraviadas o ausentes u homólogos
3,Centros de apoyo sociojurídico a víctimas de delitos violentos u homólogos
4,Centros de atención a riesgos victímales y adicciones u homólogos
5,Centros de atención de violencia intrafamiliar u homólogos
6,Centros de atención victimológica y de apoyo operativo u homólogos
7,Centros de justicia para las mujeres u homólogos
8,Centros de refugio o albergues
9,"Centros de protección integral de niños, niñas y adolescentes u homólogos"
10,Centros de terapia de apoyo a víctimas de delitos sexuales u homólogos
11,Consejos para prevenir y eliminar la discriminación u homólogos
12,Estancias o guarderías
13,Hospitales
14,Institutos de la juventud u homólogos
15,Institutos de la mujer u homólogos
16,Institutos para las personas con discapacidad u homólogos
17,Institutos para las personas adultas mayores u homólogos
18,Institutos de los pueblos indígenas u homólogos
19,Organismos públicos de derechos humanos
20,Organismos internacionales
21,Organizaciones de la sociedad civil
22,Poderes judiciales
23,Procuradurías generales de justicia o fiscalías generales
24,Sistemas para el Desarrollo Integral de la Familia
25,Otra institución
26,Institución no identificada
27,Ninguna
28,No identificado
