ARCHIVO,CONTENIDO
m3s2p37,"Otorgamiento de atención y/o servicios orientados a la atención especializada de víctimas por parte de la institución encargada de la función de seguridad pública y víctimas atendidas, según sexo, durante el año 2022."
m3s2p38,"Víctimas atendidas por la institución encargada de la función de seguridad pública, según condición de edad y sexo, durante el año 2022."
m3s2p39,"Víctimas atendidas por la institución encargada de la función de seguridad pública, según nacionalidad, sexo y condición de edad, durante el año 2022."
m3s2p40,"Víctimas atendidas por la institución encargada de la función de seguridad pública, según tipo de atención o servicio, sexo y condición de edad, durante el año 2022."
m3s2p41,"Víctimas atendidas por la institución encargada de la función de seguridad pública, según grupo vulnerable y sexo, durante el año 2022."
m3s2p42,"Víctimas atendidas por la institución encargada de la función de seguridad pública, según institución de canalización y sexo, durante el año 2022."
m3s2p43,"Reportes de personas desaparecidas y/o no localizadas de los que tuvo conocimiento la institución encargada de la función de seguridad pública, según tipo, durante los años 2021 y 2022."
m3s2p44,"Reportes de personas desaparecidas y/o no localizadas de los que tuvo conocimiento la institución encargada de la función de seguridad pública, según condición de edad, tipo de reporte y sexo, durante el año 2022."
m3s2p45,"Alertas AMBER de las que tuvo conocimiento la institución encargada de la función de seguridad pública a efecto de participar en las labores de búsqueda y localización, durante los años 2021 y 2022."
m3s2p46,"Alertas AMBER de las que tuvo conocimiento la institución encargada de la función de seguridad pública, según edad y sexo de las niñas, niños y adolescentes, durante el año 2022."
m3s2p47,"Personas reportadas como desaparecidas y/o no localizadas que fueron localizadas por la institución encargada de la función de seguridad pública, según tipo, durante los años 2021 y 2022."
m3s2p48,"Personas reportadas como desaparecidas y/o no localizadas que fueron localizadas por la institución encargada de la función de seguridad pública, según condición de edad, tipo y sexo, durante el año 2022."
