ubicageo_f,rnsnni1,sexostt,sexos1,sexos2,sexos3
1001,2,NA,NA,NA,NA
1002,2,NA,NA,NA,NA
1003,9,NSS,NSS,NSS,NSS
1004,2,NA,NA,NA,NA
1005,2,NA,NA,NA,NA
1006,2,NA,NA,NA,NA
1007,2,NA,NA,NA,NA
1008,2,NA,NA,NA,NA
1009,2,NA,NA,NA,NA
1010,1,NSS,NSS,NSS,NSS
1011,1,43,33,10,0
2001,1,5215,2500,2715,0
2002,1,1284,216,1068,0
2003,1,120,29,91,0
2004,1,8601,1313,7246,42
2005,2,NA,NA,NA,NA
2006,1,19520,195,19325,0
2007,1,100,NSS,NSS,100
3001,2,NA,NA,NA,NA
3002,9,NSS,NSS,NSS,NSS
3003,1,143,37,106,0
3008,1,10365,0,0,10365
3009,2,NA,NA,NA,NA
4001,2,NA,NA,NA,NA
4002,2,NA,NA,NA,NA
4003,1,610,9,601,0
4004,2,NA,NA,NA,NA
4005,9,NSS,NSS,NSS,NSS
4006,9,NSS,NSS,NSS,NSS
4007,2,NA,NA,NA,NA
4008,2,NA,NA,NA,NA
4009,1,35,5,30,0
4010,2,NA,NA,NA,NA
4011,2,NA,NA,NA,NA
4012,0,NA,NA,NA,NA
4013,0,NA,NA,NA,NA
5001,2,NA,NA,NA,NA
5002,2,NA,NA,NA,NA
5003,9,NSS,NSS,NSS,NSS
5004,1,310,10,300,0
5005,2,NA,NA,NA,NA
5006,1,12,3,9,0
5007,2,NA,NA,NA,NA
5008,0,NA,NA,NA,NA
5009,1,45,4,41,0
5010,2,NA,NA,NA,NA
5011,2,NA,NA,NA,NA
5012,0,NA,NA,NA,NA
5013,0,NA,NA,NA,NA
5014,2,NA,NA,NA,NA
5015,0,NA,NA,NA,NA
5016,2,NA,NA,NA,NA
5017,1,104,0,104,0
5018,1,600,0,0,600
5019,9,NSS,NSS,NSS,NSS
5020,2,NA,NA,NA,NA
5021,2,NA,NA,NA,NA
5022,2,NA,NA,NA,NA
5023,2,NA,NA,NA,NA
5024,1,29,20,9,0
5025,2,NA,NA,NA,NA
5026,0,NA,NA,NA,NA
5027,2,NA,NA,NA,NA
5028,1,125,52,73,0
5029,2,NA,NA,NA,NA
5030,1,119,31,79,9
5031,1,330,312,18,0
5032,2,NA,NA,NA,NA
5033,2,NA,NA,NA,NA
5034,2,NA,NA,NA,NA
5035,1,1800,300,1500,0
5036,2,NA,NA,NA,NA
5037,1,4,0,4,0
5038,2,NA,NA,NA,NA
6001,1,436,198,238,0
6002,1,87,14,73,0
6003,2,NA,NA,NA,NA
6004,1,200,50,150,0
6005,2,NA,NA,NA,NA
6006,2,NA,NA,NA,NA
6007,1,117,53,64,0
6008,2,NA,NA,NA,NA
6009,2,NA,NA,NA,NA
6010,1,52,2,50,0
7001,1,40,10,30,0
7002,2,NA,NA,NA,NA
7003,2,NA,NA,NA,NA
7004,2,NA,NA,NA,NA
7005,1,4,2,2,0
7006,2,NA,NA,NA,NA
7007,2,NA,NA,NA,NA
7008,2,NA,NA,NA,NA
7009,2,NA,NA,NA,NA
7010,2,NA,NA,NA,NA
7011,2,NA,NA,NA,NA
7012,9,NSS,NSS,NSS,NSS
7013,2,NA,NA,NA,NA
7014,2,NA,NA,NA,NA
7015,1,90,30,60,0
7016,2,NA,NA,NA,NA
7017,2,NA,NA,NA,NA
7018,2,NA,NA,NA,NA
7019,2,NA,NA,NA,NA
7020,2,NA,NA,NA,NA
7021,2,NA,NA,NA,NA
7022,2,NA,NA,NA,NA
7023,2,NA,NA,NA,NA
7024,1,10,1,9,0
7025,2,NA,NA,NA,NA
7026,2,NA,NA,NA,NA
7027,2,NA,NA,NA,NA
7028,1,50,0,50,0
7029,2,NA,NA,NA,NA
7030,2,NA,NA,NA,NA
7031,2,NA,NA,NA,NA
7032,1,1,0,1,0
7033,2,NA,NA,NA,NA
7034,1,15,0,15,0
7035,2,NA,NA,NA,NA
7036,2,NA,NA,NA,NA
7037,1,20,2,18,0
7038,2,NA,NA,NA,NA
7039,2,NA,NA,NA,NA
7040,2,NA,NA,NA,NA
7041,1,36,0,36,0
7042,2,NA,NA,NA,NA
7043,2,NA,NA,NA,NA
7044,2,NA,NA,NA,NA
7045,1,80,50,30,0
7046,2,NA,NA,NA,NA
7047,2,NA,NA,NA,NA
7048,2,NA,NA,NA,NA
7049,2,NA,NA,NA,NA
7050,9,NSS,NSS,NSS,NSS
7051,1,173,15,158,0
7052,1,20,20,0,0
7053,2,NA,NA,NA,NA
7054,1,87,0,87,0
7055,1,12,5,7,0
7056,2,NA,NA,NA,NA
7057,1,20,10,10,0
7058,2,NA,NA,NA,NA
7059,2,NA,NA,NA,NA
7060,1,530,213,317,0
7061,1,72,33,39,0
7062,2,NA,NA,NA,NA
7063,2,NA,NA,NA,NA
7064,2,NA,NA,NA,NA
7065,1,500,200,300,0
7066,2,NA,NA,NA,NA
7067,2,NA,NA,NA,NA
7068,2,NA,NA,NA,NA
7069,1,564,198,366,0
7070,2,NA,NA,NA,NA
7071,2,NA,NA,NA,NA
7072,2,NA,NA,NA,NA
7073,2,NA,NA,NA,NA
7074,2,NA,NA,NA,NA
7075,2,NA,NA,NA,NA
7076,2,NA,NA,NA,NA
7077,2,NA,NA,NA,NA
7078,2,NA,NA,NA,NA
7079,1,800,150,650,0
7080,2,NA,NA,NA,NA
7081,2,NA,NA,NA,NA
7082,2,NA,NA,NA,NA
7083,2,NA,NA,NA,NA
7084,2,NA,NA,NA,NA
7085,2,NA,NA,NA,NA
7086,2,NA,NA,NA,NA
7087,2,NA,NA,NA,NA
7088,2,NA,NA,NA,NA
7089,1,2154,130,1925,99
7090,2,NA,NA,NA,NA
7091,2,NA,NA,NA,NA
7092,2,NA,NA,NA,NA
7093,2,NA,NA,NA,NA
7094,2,NA,NA,NA,NA
7096,2,NA,NA,NA,NA
7097,1,45,8,37,0
7098,2,NA,NA,NA,NA
7099,2,NA,NA,NA,NA
7100,1,6,0,6,0
7101,1,7723,1975,5748,0
7102,1,1825,10,1815,0
7103,2,NA,NA,NA,NA
7104,2,NA,NA,NA,NA
7105,1,36,8,28,0
7106,2,NA,NA,NA,NA
7107,2,NA,NA,NA,NA
7108,1,113,108,5,0
7109,9,NSS,NSS,NSS,NSS
7110,2,NA,NA,NA,NA
7111,2,NA,NA,NA,NA
7112,2,NA,NA,NA,NA
7113,2,NA,NA,NA,NA
7114,2,NA,NA,NA,NA
7115,2,NA,NA,NA,NA
7116,2,NA,NA,NA,NA
7117,2,NA,NA,NA,NA
7118,2,NA,NA,NA,NA
7119,2,NA,NA,NA,NA
7120,1,15,7,8,0
7121,2,NA,NA,NA,NA
7122,2,NA,NA,NA,NA
7123,1,8,0,8,0
7124,2,NA,NA,NA,NA
7125,2,NA,NA,NA,NA
8001,2,NA,NA,NA,NA
8002,2,NA,NA,NA,NA
8003,1,100,70,30,0
8004,1,23,2,21,0
8005,1,237,42,195,0
8006,2,NA,NA,NA,NA
8007,1,8,6,2,0
8008,1,3,3,0,0
8009,2,NA,NA,NA,NA
8010,1,1,0,1,0
8011,1,NSS,NSS,NSS,NSS
8012,2,NA,NA,NA,NA
8013,1,NSS,NSS,NSS,NSS
8014,2,NA,NA,NA,NA
8015,2,NA,NA,NA,NA
8016,2,NA,NA,NA,NA
8017,1,37511,17154,20357,0
8018,2,NA,NA,NA,NA
8019,1,4344,2261,2083,0
8020,2,NA,NA,NA,NA
8021,1,836,124,712,0
8022,2,NA,NA,NA,NA
8023,2,NA,NA,NA,NA
8024,2,NA,NA,NA,NA
8025,2,NA,NA,NA,NA
8026,2,NA,NA,NA,NA
8027,1,18,8,10,0
8028,2,NA,NA,NA,NA
8029,2,NA,NA,NA,NA
8030,2,NA,NA,NA,NA
8031,2,NA,NA,NA,NA
8032,1,236,0,236,0
8033,2,NA,NA,NA,NA
8034,2,NA,NA,NA,NA
8035,2,NA,NA,NA,NA
8036,2,NA,NA,NA,NA
8037,1,1049,453,596,0
8038,1,1477,812,665,0
8039,2,NA,NA,NA,NA
8040,2,NA,NA,NA,NA
8041,2,NA,NA,NA,NA
8042,2,NA,NA,NA,NA
8043,2,NA,NA,NA,NA
8044,2,NA,NA,NA,NA
8045,2,NA,NA,NA,NA
8046,2,NA,NA,NA,NA
8047,2,NA,NA,NA,NA
8048,1,25,15,10,0
8049,2,NA,NA,NA,NA
8050,2,NA,NA,NA,NA
8051,2,NA,NA,NA,NA
8052,2,NA,NA,NA,NA
8053,2,NA,NA,NA,NA
8054,2,NA,NA,NA,NA
8055,2,NA,NA,NA,NA
8056,2,NA,NA,NA,NA
8057,2,NA,NA,NA,NA
8058,2,NA,NA,NA,NA
8059,2,NA,NA,NA,NA
8060,2,NA,NA,NA,NA
8061,2,NA,NA,NA,NA
8062,2,NA,NA,NA,NA
8063,1,8,6,2,0
8064,2,NA,NA,NA,NA
8065,2,NA,NA,NA,NA
8066,1,20,15,5,0
8067,2,NA,NA,NA,NA
9002,0,NA,NA,NA,NA
9003,0,NA,NA,NA,NA
9004,0,NA,NA,NA,NA
9005,0,NA,NA,NA,NA
9006,0,NA,NA,NA,NA
9007,0,NA,NA,NA,NA
9008,0,NA,NA,NA,NA
9009,0,NA,NA,NA,NA
9010,0,NA,NA,NA,NA
9011,0,NA,NA,NA,NA
9012,0,NA,NA,NA,NA
9013,0,NA,NA,NA,NA
9014,0,NA,NA,NA,NA
9015,0,NA,NA,NA,NA
9016,0,NA,NA,NA,NA
9017,0,NA,NA,NA,NA
10001,2,NA,NA,NA,NA
10002,2,NA,NA,NA,NA
10003,2,NA,NA,NA,NA
10004,2,NA,NA,NA,NA
10005,1,4386,713,3338,335
10006,1,3,0,0,3
10007,2,NA,NA,NA,NA
10008,2,NA,NA,NA,NA
10009,2,NA,NA,NA,NA
10010,2,NA,NA,NA,NA
10011,2,NA,NA,NA,NA
10012,2,NA,NA,NA,NA
10013,2,NA,NA,NA,NA
10014,2,NA,NA,NA,NA
10015,2,NA,NA,NA,NA
10016,2,NA,NA,NA,NA
10017,2,NA,NA,NA,NA
10018,2,NA,NA,NA,NA
10019,2,NA,NA,NA,NA
10020,2,NA,NA,NA,NA
10021,2,NA,NA,NA,NA
10022,2,NA,NA,NA,NA
10023,1,21,13,8,0
10024,2,NA,NA,NA,NA
10025,2,NA,NA,NA,NA
10026,2,NA,NA,NA,NA
10027,2,NA,NA,NA,NA
10028,2,NA,NA,NA,NA
10029,2,NA,NA,NA,NA
10030,2,NA,NA,NA,NA
10031,2,NA,NA,NA,NA
10032,2,NA,NA,NA,NA
10033,2,NA,NA,NA,NA
10034,2,NA,NA,NA,NA
10035,2,NA,NA,NA,NA
10036,1,9,4,5,0
10037,2,NA,NA,NA,NA
10038,2,NA,NA,NA,NA
10039,2,NA,NA,NA,NA
11001,1,95,6,89,0
11002,2,NA,NA,NA,NA
11003,1,180,36,144,0
11004,1,60,2,58,0
11005,1,991,391,600,0
11006,2,NA,NA,NA,NA
11007,2,NA,NA,NA,NA
11008,9,NSS,NSS,NSS,NSS
11009,2,NA,NA,NA,NA
11010,9,NSS,NSS,NSS,NSS
11011,2,NA,NA,NA,NA
11012,1,174,1,173,0
11013,2,NA,NA,NA,NA
11014,2,NA,NA,NA,NA
11015,9,NSS,NSS,NSS,NSS
11016,2,NA,NA,NA,NA
11017,1,1807,552,1255,0
11018,1,439,0,439,0
11019,2,NA,NA,NA,NA
11020,1,7946,1759,4994,1193
11021,1,25,2,23,0
11022,2,NA,NA,NA,NA
11023,9,NSS,NSS,NSS,NSS
11024,9,NSS,NSS,NSS,NSS
11025,1,188,13,175,0
11026,2,NA,NA,NA,NA
11027,9,NSS,NSS,NSS,NSS
11028,1,NSS,NSS,NSS,NSS
11029,1,61,3,58,0
11030,2,NA,NA,NA,NA
11031,1,908,92,816,0
11032,1,224,19,163,42
11033,2,NA,NA,NA,NA
11034,1,3,1,2,0
11035,9,NSS,NSS,NSS,NSS
11036,2,NA,NA,NA,NA
11037,1,144,11,132,1
11038,2,NA,NA,NA,NA
11039,1,25,5,20,0
11040,1,225,2,223,0
11041,2,NA,NA,NA,NA
11042,1,88,20,68,0
11043,1,17,0,17,0
11044,1,34,0,34,0
11045,9,NSS,NSS,NSS,NSS
11046,1,917,0,500,417
12001,1,313,42,271,0
12002,2,NA,NA,NA,NA
12003,1,12,8,4,0
12004,2,NA,NA,NA,NA
12005,2,NA,NA,NA,NA
12006,2,NA,NA,NA,NA
12007,2,NA,NA,NA,NA
12008,2,NA,NA,NA,NA
12009,2,NA,NA,NA,NA
12010,2,NA,NA,NA,NA
12011,2,NA,NA,NA,NA
12012,1,13,0,13,0
12013,2,NA,NA,NA,NA
12014,2,NA,NA,NA,NA
12015,2,NA,NA,NA,NA
12016,2,NA,NA,NA,NA
12017,2,NA,NA,NA,NA
12018,1,3,0,3,0
12019,2,NA,NA,NA,NA
12020,1,144,65,79,0
12021,2,NA,NA,NA,NA
12022,1,10,3,7,0
12023,2,NA,NA,NA,NA
12024,2,NA,NA,NA,NA
12025,1,5,0,5,0
12026,2,NA,NA,NA,NA
