mercpira_d,descrip
1,Pares de calzado (excepto calzado deportivo)
2,Pares de calzado deportivo
3,Ropa
4,Juguetes
5,Bebidas alcohólicas
6,Cableado o instalación de cobre
7,Cilindros o tanques de gas LP
8,Mobiliario
9,Equipo electrónico
10,Equipo médico
11,Equipo y/o herramientas de trabajo para la construcción
12,Electrodomésticos
13,"Bolsas, maletas o portafolios"
14,Joyas (sin incluir relojes)
15,Relojes
16,Dinero en efectivo
17,Cheques o tarjetas de crédito o débito
18,Identificaciones oficiales o documentos
19,Teléfonos celulares
20,Bicicletas
21,Autopartes
22,Placas de vehículos
23,Otro tipo de bienes
24,No identificado
99,No especificado
