ubicageo_f,mercpira_d,rnsnni1,unidmedi_h,bienrr1,bienrr2
1001,1,2,0,NA,NA
1001,2,2,0,NA,NA
1001,3,2,0,NA,NA
1001,4,2,0,NA,NA
1001,5,2,0,NA,NA
1001,6,2,0,NA,NA
1001,7,2,0,NA,NA
1001,8,2,0,NA,NA
1001,9,1,1,1,0
1001,10,2,0,NA,NA
1001,11,2,0,NA,NA
1001,12,2,0,NA,NA
1001,13,2,0,NA,NA
1001,14,2,0,NA,NA
1001,15,2,0,NA,NA
1001,16,1,5,100,0
1001,17,2,0,NA,NA
1001,18,2,0,NA,NA
1001,19,1,1,1,0
1001,20,2,0,NA,NA
1001,21,2,0,NA,NA
1001,22,2,0,NA,NA
1001,23,2,0,NA,NA
1002,1,2,0,NA,NA
1002,2,2,0,NA,NA
1002,3,2,0,NA,NA
1002,4,2,0,NA,NA
1002,5,2,0,NA,NA
1002,6,1,2,27,27
1002,7,2,0,NA,NA
1002,8,2,0,NA,NA
1002,9,1,1,5,5
1002,10,2,0,NA,NA
1002,11,2,0,NA,NA
1002,12,2,0,NA,NA
1002,13,2,0,NA,NA
1002,14,2,0,NA,NA
1002,15,2,0,NA,NA
1002,16,2,0,NA,NA
1002,17,2,0,NA,NA
1002,18,2,0,NA,NA
1002,19,2,0,NA,NA
1002,20,2,0,NA,NA
1002,21,2,0,NA,NA
1002,22,2,0,NA,NA
1002,23,1,1,3,3
1003,1,9,97,NSS,NSS
1003,2,9,97,NSS,NSS
1003,3,9,97,NSS,NSS
1003,4,9,97,NSS,NSS
1003,5,9,97,NSS,NSS
1003,6,9,97,NSS,NSS
1003,7,9,97,NSS,NSS
1003,8,9,97,NSS,NSS
1003,9,9,97,NSS,NSS
1003,10,9,97,NSS,NSS
1003,11,9,97,NSS,NSS
1003,12,9,97,NSS,NSS
1003,13,9,97,NSS,NSS
1003,14,9,97,NSS,NSS
1003,15,9,97,NSS,NSS
1003,16,9,97,NSS,NSS
1003,17,9,97,NSS,NSS
1003,18,9,97,NSS,NSS
1003,19,9,97,NSS,NSS
1003,20,9,97,NSS,NSS
1003,21,9,97,NSS,NSS
1003,22,9,97,NSS,NSS
1003,23,9,97,NSS,NSS
1004,1,2,0,NA,NA
1004,2,2,0,NA,NA
1004,3,2,0,NA,NA
1004,4,2,0,NA,NA
1004,5,2,0,NA,NA
1004,6,1,4,NSS,NSS
1004,7,1,1,NSS,NSS
1004,8,2,0,NA,NA
1004,9,2,0,NA,NA
1004,10,2,0,NA,NA
1004,11,1,1,NSS,NSS
1004,12,1,1,NSS,NSS
1004,13,2,0,NA,NA
1004,14,2,0,NA,NA
1004,15,2,0,NA,NA
1004,16,1,5,NSS,NSS
1004,17,2,0,NA,NA
1004,18,2,0,NA,NA
1004,19,1,1,NSS,NSS
1004,20,1,1,NSS,NSS
1004,21,2,0,NA,NA
1004,22,2,0,NA,NA
1004,23,2,0,NA,NA
1005,1,1,1,NSS,NSS
1005,2,1,1,NSS,NSS
1005,3,1,1,NSS,NSS
1005,4,1,1,NSS,NSS
1005,5,1,1,NSS,NSS
1005,6,1,4,NSS,NSS
1005,7,1,1,NSS,NSS
1005,8,1,1,NSS,NSS
1005,9,1,1,NSS,NSS
1005,10,2,0,NA,NA
1005,11,1,1,NSS,NSS
1005,12,1,1,NSS,NSS
1005,13,1,1,NSS,NSS
1005,14,1,1,NSS,NSS
1005,15,1,1,NSS,NSS
1005,16,1,5,NSS,NSS
1005,17,2,0,NA,NA
1005,18,1,1,NSS,NSS
1005,19,1,1,NSS,NSS
1005,20,1,1,NSS,NSS
1005,21,1,1,NSS,NSS
1005,22,2,0,NA,NA
1005,23,2,0,NA,NA
1006,1,1,1,5,0
1006,2,1,1,11,4
1006,3,1,1,23,7
1006,4,1,1,13,0
1006,5,1,3,14,0
1006,6,1,4,90,15
1006,7,1,1,2,0
1006,8,2,0,NA,NA
1006,9,1,1,29,9
1006,10,1,1,1,0
1006,11,1,1,67,20
1006,12,1,1,12,0
1006,13,1,1,5,2
1006,14,1,1,19,0
1006,15,1,1,13,3
1006,16,1,5,10000,0
1006,17,1,1,17,3
1006,18,1,1,21,7
1006,19,1,1,49,11
1006,20,1,1,98,27
1006,21,1,1,26,6
1006,22,1,1,9,0
1006,23,2,0,NA,NA
1007,1,9,97,NSS,NSS
1007,2,9,97,NSS,NSS
1007,3,9,97,NSS,NSS
1007,4,9,97,NSS,NSS
1007,5,9,97,NSS,NSS
1007,6,9,97,NSS,NSS
1007,7,9,97,NSS,NSS
1007,8,9,97,NSS,NSS
1007,9,9,97,NSS,NSS
1007,10,9,97,NSS,NSS
1007,11,9,97,NSS,NSS
1007,12,9,97,NSS,NSS
1007,13,9,97,NSS,NSS
1007,14,9,97,NSS,NSS
1007,15,9,97,NSS,NSS
1007,16,9,97,NSS,NSS
1007,17,9,97,NSS,NSS
1007,18,9,97,NSS,NSS
1007,19,9,97,NSS,NSS
1007,20,9,97,NSS,NSS
1007,21,9,97,NSS,NSS
1007,22,9,97,NSS,NSS
1007,23,9,97,NSS,NSS
1008,1,2,0,NA,NA
1008,2,2,0,NA,NA
1008,3,2,0,NA,NA
1008,4,2,0,NA,NA
1008,5,2,0,NA,NA
1008,6,1,4,100,0
1008,7,1,1,3,1
1008,8,2,0,NA,NA
1008,9,1,1,2,0
1008,10,2,0,NA,NA
1008,11,1,1,6,2
1008,12,1,1,3,0
1008,13,2,0,NA,NA
1008,14,1,1,4,0
1008,15,2,0,NA,NA
1008,16,1,5,15000,0
1008,17,2,0,NA,NA
1008,18,2,0,NA,NA
1008,19,1,1,2,1
1008,20,1,1,3,1
1008,21,1,1,12,0
1008,22,2,0,NA,NA
1008,23,2,0,NA,NA
1009,1,1,1,1,0
1009,2,2,0,NA,NA
1009,3,1,1,1,0
1009,4,2,0,NA,NA
1009,5,1,1,1,0
1009,6,1,4,7,0
1009,7,1,1,2,0
1009,8,1,1,1,0
1009,9,1,1,26,1
1009,10,2,0,NA,NA
1009,11,1,1,57,4
1009,12,1,1,2,0
1009,13,2,0,NA,NA
1009,14,1,1,4,0
1009,15,1,1,3,0
1009,16,1,5,18,1
1009,17,2,0,NA,NA
1009,18,2,0,NA,NA
1009,19,1,1,12,0
1009,20,1,1,17,11
1009,21,1,1,6,1
1009,22,1,1,2,0
1009,23,1,7,2,0
1010,1,1,1,5,0
1010,2,2,0,NA,NA
1010,3,2,0,NA,NA
1010,4,2,0,NA,NA
1010,5,2,0,NA,NA
1010,6,1,4,45,0
1010,7,1,1,7,0
1010,8,1,1,4,0
1010,9,1,1,7,1
1010,10,2,0,NA,NA
1010,11,1,1,26,3
1010,12,1,1,5,1
1010,13,2,0,NA,NA
1010,14,1,1,5,0
1010,15,1,1,3,0
1010,16,1,5,35,0
1010,17,2,0,NA,NA
1010,18,2,0,NA,NA
1010,19,1,1,4,1
1010,20,1,1,25,10
1010,21,2,0,NA,NA
1010,22,2,0,NA,NA
1010,23,2,0,NA,NA
1011,1,2,0,NA,NA
1011,2,2,0,NA,NA
1011,3,2,0,NA,NA
1011,4,2,0,NA,NA
1011,5,2,0,NA,NA
1011,6,2,0,NA,NA
1011,7,2,0,NA,NA
1011,8,2,0,NA,NA
1011,9,2,0,NA,NA
1011,10,2,0,NA,NA
1011,11,2,0,NA,NA
1011,12,2,0,NA,NA
1011,13,2,0,NA,NA
1011,14,2,0,NA,NA
