ubicageo_f,animales_a,rnsnni1,anirep1,anirep2
1001,11,1,1,0
1001,12,1,18,0
1001,13,2,NA,NA
1001,14,2,NA,NA
1001,15,1,5,0
1001,16,1,32,0
1001,17,2,NA,NA
1001,18,2,NA,NA
1001,20,2,NA,NA
1002,11,2,NA,NA
1002,12,1,25,25
1002,13,2,NA,NA
1002,14,2,NA,NA
1002,15,2,NA,NA
1002,16,2,NA,NA
1002,17,2,NA,NA
1002,18,2,NA,NA
1002,20,2,NA,NA
1003,11,2,NA,NA
1003,12,1,17,0
1003,13,2,NA,NA
1003,14,2,NA,NA
1003,15,1,1,0
1003,16,2,NA,NA
1003,17,1,3,0
1003,18,2,NA,NA
1003,20,2,NA,NA
1004,11,2,NA,NA
1004,12,1,NSS,NSS
1004,13,2,NA,NA
1004,14,2,NA,NA
1004,15,2,NA,NA
1004,16,2,NA,NA
1004,17,2,NA,NA
1004,18,2,NA,NA
1004,20,2,NA,NA
1005,11,1,2,2
1005,12,1,3,0
1005,13,2,NA,NA
1005,14,2,NA,NA
1005,15,1,6,2
1005,16,2,NA,NA
1005,17,1,1,0
1005,18,2,NA,NA
1005,20,2,NA,NA
1006,11,1,10,2
1006,12,1,4,4
1006,13,2,NA,NA
1006,14,2,NA,NA
1006,15,1,3,0
1006,16,1,6,6
1006,17,1,13,5
1006,18,2,NA,NA
1006,20,1,5,1
1007,11,9,NSS,NSS
1007,12,9,NSS,NSS
1007,13,9,NSS,NSS
1007,14,9,NSS,NSS
1007,15,9,NSS,NSS
1007,16,9,NSS,NSS
1007,17,9,NSS,NSS
1007,18,9,NSS,NSS
1007,20,9,NSS,NSS
1008,11,2,NA,NA
1008,12,2,NA,NA
1008,13,2,NA,NA
1008,14,2,NA,NA
1008,15,2,NA,NA
1008,16,2,NA,NA
1008,17,2,NA,NA
1008,18,2,NA,NA
1008,20,2,NA,NA
1009,11,1,5,1
1009,12,1,4,0
1009,13,2,NA,NA
1009,14,2,NA,NA
1009,15,1,2,0
1009,16,1,2,0
1009,17,2,NA,NA
1009,18,2,NA,NA
1009,20,2,NA,NA
1010,11,2,NA,NA
1010,12,1,10,0
1010,13,2,NA,NA
1010,14,2,NA,NA
1010,15,2,NA,NA
1010,16,2,NA,NA
1010,17,2,NA,NA
1010,18,2,NA,NA
1010,20,2,NA,NA
1011,11,2,NA,NA
1011,12,2,NA,NA
1011,13,2,NA,NA
1011,14,2,NA,NA
1011,15,2,NA,NA
1011,16,2,NA,NA
1011,17,2,NA,NA
1011,18,2,NA,NA
1011,20,2,NA,NA
2001,11,1,NSS,NSS
2001,12,1,NSS,NSS
2001,13,2,NA,NA
2001,14,2,NA,NA
2001,15,2,NA,NA
2001,16,2,NA,NA
2001,17,2,NA,NA
2001,18,2,NA,NA
2001,20,2,NA,NA
2002,11,9,NSS,NSS
2002,12,9,NSS,NSS
2002,13,9,NSS,NSS
2002,14,9,NSS,NSS
2002,15,9,NSS,NSS
2002,16,9,NSS,NSS
2002,17,9,NSS,NSS
2002,18,9,NSS,NSS
2002,20,9,NSS,NSS
2003,11,2,NA,NA
2003,12,2,NA,NA
2003,13,2,NA,NA
2003,14,2,NA,NA
