COLUMNA,DESCRIPCION,ORIGEN,TIPO_DATO,LONGITUD,CODIGO_VALIDO
ubicageo_f,Municipio,SECC II. 57,Numérico,5,0 al 99999
estatus_n,Estatus,SECC II. 57,Numérico,1,1 al 9
vehremtt,Total,SECC II. 57,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
vehrem1,Automóviles,SECC II. 57,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
vehrem2,Camionetas,SECC II. 57,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
vehrem3,Camiones,SECC II. 57,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
vehrem4,Motocicletas,SECC II. 57,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
vehrem5,Cuatrimotos,SECC II. 57,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
vehrem6,Otro tipo de vehículo,SECC II. 57,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
vehremne,No especificado,SECC II. 57,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
