ARCHIVO,CONTENIDO
m3s1p122,"Centros de atención de llamadas de emergencia establecidos en el municipio, al cierre del año 2022."
m3s1p123,"Centros de atención de llamadas de emergencia establecidos en el municipio, según institución responsable de su operación, al cierre del año 2022."
m3s1p123cp3,"Centros de atención de llamadas de emergencia establecidos en el municipio, según ubicación geográfica, al cierre del año 2022."
m3s1p124,"Personal adscrito a los centros de atención de llamadas de emergencia establecidos en el municipio, según cargo y/o función y sexo, al cierre del año 2022."
m3s1p125,"Presupuesto ejercido por los centros de atención de llamadas de emergencia establecidos en el municipio, durante el año 2022."
m3s1p126,"Presupuesto ejercido por los centros de atención de llamadas de emergencia establecidos en el municipio, según centro, durante el año 2022."
m3s1p127a,"Llamadas recibidas por la institución encargada de la función de seguridad pública, según sistema telefónico de emergencias y tipo de llamada, durante el año 2021."
m3s1p127b,"Llamadas recibidas por la institución encargada de la función de seguridad pública, según sistema telefónico de emergencias y tipo de llamada, durante el año 2022."
m3s1p128,"Incidentes de emergencia registrados en las llamadas procedentes del sistema ""089"" recibidas por la institución encargada de la función de seguridad pública, según tipo, durante los años 2021 y 2022."
m3s1p129,"Emergencias y/o denuncias recibidas por la institución encargada de la función de seguridad pública, según mecanismos para la recepción de emergencias y/o denuncias, durante los años 2021 y 2022."
