ubicageo_f,numeral,nombre1,anios_a,rnsnni1,colonia1,latitud1,longitu1,correo1,telefo1
1001,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
1002,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
1003,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
1004,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
1005,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
1006,1,C2,2020,1,PLUTARCO ELIAS CALLES,22.144570,-102.285660,NO APLICA,4659588012
1007,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
1008,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
1009,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
1010,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
1011,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
2001,1,CENTRO DE COMANDO CONTROL COMUNICACION Y COMPUTO,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
2002,1,CENTRO DE CONTROL COMANDO COMUNICACION Y COMPUTO,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
2003,1,CENTRO DE CONTROL COMANDO COMUNICACION COMPUTO CALIDAD Y CONTACTO CIUDADANO,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
2004,1,CENTRO DE CONTROL COMANDO COMUNICACION Y COMPUTO,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
2005,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
2006,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
2007,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
3001,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
3002,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
3003,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
3008,1,CENTRO DE CONTROL Y MONITOREO,2022,1,SAN JOSE DEL CABO,23.076590,-109.707680,NO APLICA,6241457450
3009,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
4001,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
4002,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
4003,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
4004,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
4005,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
4006,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
4007,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
4008,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
4009,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
4010,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
4011,1,COMANDANCIA DE SEGURIDAD PUBLICA,2001,1,CUAUTHEMOC,18.183140,-091.046038,SEGURIDADPUBLICA@MUNICIPIODECANDELARIA.GOB.MX,911
4012,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
4013,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
5001,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
5002,1,TELEFONISTA,2021,1,PRIMERO DE MAYO,29.314050,-100.951820,SEGURIDADPUBLICA@ACUNA.GOB.MX,8778888110
5003,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
5004,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
5005,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
5006,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
5007,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
5008,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
5009,1,SALA DE EMERGENCIAS,2002,1,NUEVO JABONCILLO,25.762325,-103.253900,DSPM_MADERO@HOTMAIL.COM.AR,871 186 67 25
5010,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
5011,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
5012,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
5013,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
5014,1,SISTEMA DE EMERGENCIA C-4,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
5015,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
5016,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
5017,1,CENTRO DE CONTROL Y COMANDO,2013,1,VALLE HERMOSO,25.544400,-103.249933,CENTRODECONTROLMATAMOROSCOAH@OUTLOOK.COM,8717569132
5018,1,CENTRO DE ATENCION DE LLAMADAS DE EMERGENCIA RADIO,NSS,1,ZONA CENTRO,26.894160,-101.421350,NO SE SABE,NO SE SABE
5019,1,COMANDANCIA,2022,1,CENTRO,28.397093,-100.880773,SEGURIDADPUBLICADEMORELOS@LIVE.COM,844 464 97 97
5020,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
5021,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
5022,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
