ubicageo_f,numeral,nombre1,totalca1
1001,1,NO APLICA,NA
1002,1,NO APLICA,NA
1003,1,NO APLICA,NA
1004,1,NO APLICA,NA
1005,1,NO APLICA,NA
1006,1,C2,NSS
1006,99,NO ESPECIFICADO,
1007,1,NO APLICA,NA
1008,1,NO APLICA,NA
1009,1,NO APLICA,NA
1010,1,NO APLICA,NA
1011,1,NO APLICA,NA
2001,1,CENTRO DE COMANDO CONTROL COMUNICACION Y COMPUTO,NA
2001,99,NO ESPECIFICADO,
2002,1,CENTRO DE CONTROL COMANDO COMUNICACION Y COMPUTO,NA
2002,99,NO ESPECIFICADO,
2003,1,CENTRO DE CONTROL COMANDO COMUNICACION COMPUTO CALIDAD Y CONTACTO CIUDADANO,NA
2003,99,NO ESPECIFICADO,
2004,1,CENTRO DE CONTROL COMANDO COMUNICACION Y COMPUTO,NA
2004,99,NO ESPECIFICADO,
2005,1,NO APLICA,NA
2006,1,NO APLICA,NA
2007,1,NO APLICA,NA
3001,1,NO APLICA,NA
3002,1,NO APLICA,NA
3003,1,NO APLICA,NA
3008,1,CENTRO DE CONTROL Y MONITOREO,0
3008,99,NO ESPECIFICADO,
3009,1,NO APLICA,NA
4001,1,NO APLICA,NA
4002,1,NO APLICA,NA
4003,1,NO APLICA,NA
4004,1,NO APLICA,NA
4005,1,NO APLICA,NA
4006,1,NO APLICA,NA
4007,1,NO APLICA,NA
4008,1,NO APLICA,NA
4009,1,NO APLICA,NA
4010,1,NO APLICA,NA
4011,1,COMANDANCIA DE SEGURIDAD PUBLICA,1567789
4011,99,NO ESPECIFICADO,
4012,1,NO APLICA,NA
4012,99,NO ESPECIFICADO,
4013,1,NO APLICA,NA
4013,99,NO ESPECIFICADO,
5001,1,NO APLICA,NA
5002,1,TELEFONISTA,0
5002,99,NO ESPECIFICADO,
5003,1,NO APLICA,NA
5004,1,NO APLICA,NA
5005,1,NO APLICA,NA
5006,1,NO APLICA,NA
5007,1,NO APLICA,NA
5008,1,NO APLICA,NA
5008,99,NO ESPECIFICADO,
5009,1,SALA DE EMERGENCIAS,NSS
5009,99,NO ESPECIFICADO,
5010,1,NO APLICA,NA
5011,1,NO APLICA,NA
5012,1,NO APLICA,NA
5012,99,NO ESPECIFICADO,
