ubicageo_f,sistelef_d,rnspni1,llamadtt,llamad1,llamad2,llamad3,llamadne
1001,1,3,NA,NA,NA,NA,
1001,2,3,NA,NA,NA,NA,
1001,3,3,NA,NA,NA,NA,
1002,1,2,NA,NA,NA,NA,
1002,2,2,NA,NA,NA,NA,
1002,3,1,NSS,NSS,NSS,NSS,
1003,1,2,NA,NA,NA,NA,
1003,2,2,NA,NA,NA,NA,
1003,3,1,NSS,NSS,NSS,NSS,
1004,1,3,NA,NA,NA,NA,
1004,2,3,NA,NA,NA,NA,
1004,3,3,NA,NA,NA,NA,
1005,1,3,NA,NA,NA,NA,
1005,2,3,NA,NA,NA,NA,
1005,3,3,NA,NA,NA,NA,
1006,1,1,4750,4750,0,0,
1006,2,2,NA,NA,NA,NA,
1006,3,1,1756,1756,0,0,
1007,1,2,NA,NA,NA,NA,
1007,2,2,NA,NA,NA,NA,
1007,3,1,NSS,NSS,NSS,NSS,
1008,1,1,180,174,6,0,
1008,2,3,NA,NA,NA,NA,
1008,3,2,NA,NA,NA,NA,
1009,1,2,NA,NA,NA,NA,
1009,2,2,NA,NA,NA,NA,
1009,3,2,NA,NA,NA,NA,
1010,1,3,NA,NA,NA,NA,
1010,2,3,NA,NA,NA,NA,
1010,3,1,NSS,NSS,NSS,NSS,
1011,1,2,NA,NA,NA,NA,
1011,2,2,NA,NA,NA,NA,
1011,3,1,1569,1569,0,0,
2001,1,1,NSS,NSS,NSS,NSS,
2001,2,1,NSS,NSS,NSS,NSS,
2001,3,9,NSS,NSS,NSS,NSS,
2002,1,3,NA,NA,NA,NA,
2002,2,3,NA,NA,NA,NA,
2002,3,3,NA,NA,NA,NA,
2003,1,1,NSS,NSS,NSS,NSS,
2003,2,1,NSS,NSS,NSS,NSS,
2003,3,3,NA,NA,NA,NA,
2004,1,3,NA,NA,NA,NA,
2004,2,3,NA,NA,NA,NA,
2004,3,3,NA,NA,NA,NA,
2005,1,3,NA,NA,NA,NA,
2005,2,3,NA,NA,NA,NA,
2005,3,3,NA,NA,NA,NA,
2006,1,3,NA,NA,NA,NA,
2006,2,3,NA,NA,NA,NA,
2006,3,3,NA,NA,NA,NA,
2007,1,9,NSS,NSS,NSS,NSS,
2007,2,9,NSS,NSS,NSS,NSS,
2007,3,9,NSS,NSS,NSS,NSS,
3001,1,2,NA,NA,NA,NA,
3001,2,2,NA,NA,NA,NA,
3001,3,2,NA,NA,NA,NA,
3002,1,3,NA,NA,NA,NA,
3002,2,3,NA,NA,NA,NA,
3002,3,9,NSS,NSS,NSS,NSS,
3003,1,2,NA,NA,NA,NA,
