ubicageo_f,mecsegur_c,rnspni1,totalca1,rnspni2,totalca2
1001,1,3,NA,3,NA
1001,2,3,NA,3,NA
1001,3,3,NA,3,NA
1001,4,1,3757,1,12356
1001,5,3,NA,3,NA
1001,6,9,NSS,9,NSS
1002,1,2,NA,2,NA
1002,2,2,NA,2,NA
1002,3,2,NA,2,NA
1002,4,2,NA,2,NA
1002,5,2,NA,2,NA
1002,6,2,NA,2,NA
1003,1,2,NA,2,NA
1003,2,2,NA,2,NA
1003,3,2,NA,2,NA
1003,4,2,NA,1,NSS
1003,5,2,NA,2,NA
1003,6,2,NA,2,NA
1004,1,3,NA,3,NA
1004,2,3,NA,3,NA
1004,3,3,NA,3,NA
1004,4,3,NA,3,NA
1004,5,3,NA,3,NA
1004,6,3,NA,3,NA
1005,1,3,NA,3,NA
1005,2,3,NA,3,NA
1005,3,3,NA,3,NA
1005,4,3,NA,3,NA
1005,5,3,NA,3,NA
1005,6,3,NA,3,NA
1006,1,3,NA,3,NA
1006,2,3,NA,3,NA
1006,3,3,NA,3,NA
1006,4,1,1756,1,1347
1006,5,3,NA,3,NA
1006,6,3,NA,3,NA
1007,1,2,NA,2,NA
1007,2,2,NA,2,NA
1007,3,1,NSS,1,NSS
1007,4,1,NSS,1,NSS
1007,5,2,NA,2,NA
1007,6,2,NA,2,NA
1008,1,2,NA,2,NA
1008,2,2,NA,2,NA
1008,3,2,NA,2,NA
1008,4,2,NA,2,NA
1008,5,2,NA,2,NA
1008,6,2,NA,2,NA
1009,1,3,NA,3,NA
1009,2,3,NA,3,NA
1009,3,1,5,1,8
1009,4,1,34,1,52
1009,5,3,NA,3,NA
1009,6,3,NA,3,NA
1010,1,2,NA,2,NA
1010,2,2,NA,2,NA
1010,3,2,NA,2,NA
1010,4,2,NA,1,NSS
1010,5,2,NA,2,NA
1010,6,2,NA,2,NA
1011,1,2,NA,2,NA
1011,2,2,NA,2,NA
1011,3,2,NA,2,NA
1011,4,2,NA,2,NA
1011,5,2,NA,2,NA
1011,6,2,NA,2,NA
2001,1,3,NA,3,NA
2001,2,3,NA,3,NA
2001,3,3,NA,3,NA
2001,4,3,NA,3,NA
2001,5,3,NA,3,NA
2001,6,1,NSS,9,NSS
2002,1,3,NA,3,NA
2002,2,3,NA,3,NA
2002,3,3,NA,3,NA
2002,4,3,NA,3,NA
2002,5,3,NA,3,NA
2002,6,3,NA,3,NA
2003,1,3,NA,3,NA
2003,2,3,NA,3,NA
2003,3,3,NA,3,NA
2003,4,3,NA,3,NA
2003,5,3,NA,3,NA
2003,6,3,NA,3,NA
2004,1,3,NA,3,NA
2004,2,3,NA,3,NA
2004,3,3,NA,3,NA
2004,4,3,NA,3,NA
2004,5,3,NA,1,1672
2004,6,1,1156,1,193
2005,1,3,NA,3,NA
2005,2,3,NA,3,NA
2005,3,3,NA,3,NA
2005,4,3,NA,3,NA
2005,5,3,NA,1,200
2005,6,3,NA,3,NA
2006,1,3,NA,3,NA
2006,2,3,NA,3,NA
2006,3,3,NA,3,NA
2006,4,3,NA,3,NA
2006,5,3,NA,3,NA
2006,6,3,NA,3,NA
2007,1,2,NA,2,NA
2007,2,2,NA,2,NA
2007,3,2,NA,2,NA
2007,4,2,NA,2,NA
2007,5,2,NA,2,NA
2007,6,2,NA,2,NA
3001,1,2,NA,2,NA
3001,2,2,NA,2,NA
3001,3,2,NA,2,NA
3001,4,2,NA,2,NA
3001,5,2,NA,2,NA
3001,6,2,NA,2,NA
3002,1,3,NA,3,NA
3002,2,3,NA,3,NA
3002,3,3,NA,3,NA
3002,4,3,NA,3,NA
3002,5,3,NA,3,NA
3002,6,9,NSS,1,3052
3003,1,3,NA,3,NA
3003,2,3,NA,3,NA
3003,3,3,NA,3,NA
3003,4,1,NSS,1,NSS
3003,5,3,NA,3,NA
3003,6,3,NA,3,NA
3008,1,3,NA,3,NA
3008,2,3,NA,3,NA
3008,3,3,NA,3,NA
3008,4,9,NSS,9,NSS
3008,5,3,NA,3,NA
3008,6,3,NA,3,NA
3009,1,3,NA,3,NA
3009,2,3,NA,3,NA
3009,3,3,NA,3,NA
3009,4,3,NA,3,NA
3009,5,3,NA,3,NA
3009,6,1,540,1,554
4001,1,3,NA,3,NA
4001,2,3,NA,3,NA
4001,3,3,NA,3,NA
4001,4,1,NSS,1,NSS
4001,5,3,NA,3,NA
4001,6,2,NA,1,3737
4002,1,3,NA,3,NA
4002,2,3,NA,3,NA
4002,3,3,NA,3,NA
4002,4,3,NA,3,NA
4002,5,3,NA,3,NA
4002,6,3,NA,3,NA
4003,1,3,NA,3,NA
4003,2,3,NA,3,NA
4003,3,3,NA,3,NA
4003,4,3,NA,3,NA
4003,5,3,NA,3,NA
4003,6,3,NA,1,1715
4004,1,3,NA,3,NA
4004,2,3,NA,3,NA
4004,3,3,NA,3,NA
4004,4,3,NA,3,NA
4004,5,3,NA,3,NA
4004,6,3,NA,3,NA
4005,1,3,NA,3,NA
4005,2,3,NA,3,NA
4005,3,3,NA,3,NA
4005,4,3,NA,3,NA
4005,5,3,NA,3,NA
4005,6,3,NA,3,NA
4006,1,9,NSS,9,NSS
4006,2,9,NSS,9,NSS
4006,3,9,NSS,9,NSS
4006,4,9,NSS,9,NSS
4006,5,9,NSS,9,NSS
4006,6,9,NSS,9,NSS
4007,1,2,NA,2,NA
4007,2,2,NA,2,NA
4007,3,2,NA,2,NA
