ubicageo_f,rnsnni1,totalca1
1001,1,1
1002,2,NA
1003,2,NA
1004,2,NA
1005,2,NA
1006,2,NA
1007,2,NA
1008,2,NA
1009,2,NA
1010,9,NSS
1011,2,NA
2001,2,NA
2002,1,1
2003,2,NA
2004,1,1
2005,2,NA
2006,2,NA
2007,2,NA
3001,2,NA
3002,2,NA
3003,2,NA
3008,2,NA
3009,2,NA
4001,2,NA
4002,2,NA
4003,2,NA
4004,2,NA
4005,2,NA
4006,9,NSS
4007,2,NA
4008,2,NA
4009,2,NA
4010,2,NA
4011,2,NA
4012,0,NA
4013,0,NA
5001,2,NA
5002,2,NA
5003,2,NA
5004,1,1
5005,2,NA
5006,2,NA
5007,9,NSS
5008,0,NA
5009,2,NA
5010,2,NA
5011,2,NA
5012,0,NA
5013,0,NA
5014,1,1
5015,0,NA
5016,2,NA
5017,2,NA
5018,2,NA
5019,2,NA
5020,2,NA
5021,1,2
5022,2,NA
5023,2,NA
5024,1,5
5025,1,1
5026,0,NA
5027,1,1
5028,2,NA
5029,2,NA
5030,2,NA
5031,2,NA
5032,1,1
5033,2,NA
5034,2,NA
5035,1,10
5036,2,NA
5037,9,NSS
5038,2,NA
6001,2,NA
6002,2,NA
6003,2,NA
6004,2,NA
6005,2,NA
6006,2,NA
6007,2,NA
6008,2,NA
6009,2,NA
6010,2,NA
7001,2,NA
7002,2,NA
7003,2,NA
7004,2,NA
7005,2,NA
7006,2,NA
7007,2,NA
7008,2,NA
7009,2,NA
7010,2,NA
7011,2,NA
7012,2,NA
7013,2,NA
7014,1,1
7015,2,NA
7016,2,NA
7017,2,NA
7018,2,NA
7019,2,NA
7020,2,NA
7021,2,NA
7022,2,NA
7023,2,NA
7024,2,NA
7025,2,NA
7026,2,NA
7027,2,NA
7028,2,NA
7029,2,NA
7030,2,NA
7031,2,NA
7032,2,NA
7033,2,NA
7034,2,NA
7035,2,NA
7036,2,NA
7037,2,NA
7038,2,NA
7039,2,NA
7040,9,NSS
7041,2,NA
7042,2,NA
7043,2,NA
7044,2,NA
7045,2,NA
7046,2,NA
7047,2,NA
7048,2,NA
7049,2,NA
7050,1,1
7051,2,NA
7052,2,NA
7053,1,1
7054,2,NA
7055,2,NA
7056,2,NA
7057,2,NA
7058,2,NA
7059,2,NA
7060,2,NA
7061,9,NSS
7062,1,1
7063,2,NA
7064,2,NA
7065,2,NA
7066,2,NA
7067,2,NA
7068,2,NA
7069,2,NA
7070,2,NA
7071,2,NA
7072,2,NA
7073,2,NA
7074,2,NA
7075,2,NA
7076,2,NA
7077,2,NA
7078,2,NA
7079,2,NA
7080,2,NA
7081,2,NA
7082,2,NA
7083,2,NA
7084,2,NA
7085,1,1
7086,2,NA
7087,2,NA
7088,2,NA
7089,2,NA
7090,2,NA
7091,2,NA
7092,2,NA
7093,2,NA
7094,2,NA
7096,2,NA
7097,2,NA
7098,2,NA
7099,1,2
7100,2,NA
7101,2,NA
7102,2,NA
7103,2,NA
7104,2,NA
7105,2,NA
7106,2,NA
7107,2,NA
7108,2,NA
7109,2,NA
7110,2,NA
7111,2,NA
7112,2,NA
7113,2,NA
7114,2,NA
7115,2,NA
7116,2,NA
7117,2,NA
7118,2,NA
7119,2,NA
7120,2,NA
7121,2,NA
7122,2,NA
7123,2,NA
7124,2,NA
7125,2,NA
8001,2,NA
8002,2,NA
8003,2,NA
8004,1,1
8005,9,NSS
8006,2,NA
8007,2,NA
8008,2,NA
8009,2,NA
8010,1,1
8011,2,NA
8012,2,NA
8013,2,NA
8014,2,NA
8015,9,NSS
8016,2,NA
8017,1,1
8018,2,NA
8019,1,2
8020,2,NA
8021,2,NA
8022,2,NA
8023,2,NA
8024,2,NA
8025,2,NA
8026,2,NA
8027,2,NA
8028,2,NA
8029,2,NA
8030,2,NA
8031,2,NA
8032,2,NA
8033,2,NA
8034,2,NA
8035,2,NA
8036,2,NA
8037,2,NA
8038,2,NA
8039,2,NA
8040,2,NA
8041,2,NA
8042,2,NA
8043,2,NA
8044,2,NA
8045,2,NA
8046,2,NA
8047,2,NA
8048,2,NA
8049,2,NA
8050,9,NSS
8051,2,NA
8052,2,NA
8053,2,NA
8054,1,1
8055,2,NA
8056,2,NA
8057,1,1
8058,2,NA
8059,2,NA
8060,2,NA
8061,2,NA
8062,2,NA
8063,2,NA
8064,2,NA
8065,2,NA
8066,2,NA
8067,2,NA
9002,0,NA
9003,0,NA
9004,0,NA
9005,0,NA
9006,0,NA
9007,0,NA
9008,0,NA
9009,0,NA
9010,0,NA
9011,0,NA
9012,0,NA
9013,0,NA
9014,0,NA
9015,0,NA
9016,0,NA
9017,0,NA
10001,2,NA
10002,2,NA
10003,2,NA
10004,2,NA
10005,2,NA
10006,2,NA
10007,2,NA
10008,2,NA
10009,2,NA
10010,2,NA
10011,2,NA
10012,2,NA
10013,2,NA
10014,2,NA
10015,2,NA
10016,2,NA
10017,2,NA
10018,2,NA
10019,2,NA
10020,2,NA
10021,2,NA
10022,2,NA
10023,1,2
10024,2,NA
10025,2,NA
10026,2,NA
10027,2,NA
10028,2,NA
10029,2,NA
10030,2,NA
10031,2,NA
10032,2,NA
10033,2,NA
10034,2,NA
10035,2,NA
10036,2,NA
10037,2,NA
10038,2,NA
10039,2,NA
11001,2,NA
11002,2,NA
11003,2,NA
11004,2,NA
11005,2,NA
11006,2,NA
11007,2,NA
11008,9,NSS
11009,2,NA
11010,9,NSS
11011,1,1
11012,2,NA
11013,2,NA
11014,2,NA
11015,2,NA
11016,2,NA
11017,1,1
11018,2,NA
11019,2,NA
11020,1,4
11021,2,NA
11022,2,NA
11023,2,NA
11024,9,NSS
11025,2,NA
11026,2,NA
11027,2,NA
11028,2,NA
11029,2,NA
11030,2,NA
11031,2,NA
11032,2,NA
11033,2,NA
11034,2,NA
11035,2,NA
11036,2,NA
11037,2,NA
11038,9,NSS
11039,9,NSS
11040,2,NA
11041,2,NA
11042,2,NA
11043,2,NA
11044,2,NA
11045,2,NA
11046,2,NA
12001,1,1
12002,2,NA
12003,2,NA
12004,2,NA
12005,2,NA
12006,2,NA
12007,2,NA
12008,2,NA
12009,2,NA
12010,2,NA
12011,2,NA
12012,2,NA
12013,2,NA
12014,2,NA
12015,9,NSS
12016,2,NA
12017,2,NA
12018,2,NA
12019,2,NA
12020,2,NA
12021,2,NA
12022,2,NA
12023,2,NA
12024,2,NA
12025,2,NA
12026,2,NA
12027,2,NA
12028,2,NA
12029,2,NA
12030,2,NA
12031,2,NA
12032,2,NA
12033,2,NA
12034,2,NA
12035,2,NA
12036,2,NA
12037,2,NA
12038,2,NA
12039,2,NA
12040,2,NA
12041,2,NA
12042,2,NA
12043,2,NA
12044,2,NA
12045,2,NA
12046,2,NA
12047,2,NA
12048,2,NA
12049,2,NA
12050,2,NA
12051,2,NA
12052,2,NA
12053,2,NA
12054,1,1
12055,2,NA
12056,2,NA
12057,2,NA
12058,2,NA
12059,2,NA
12060,2,NA
12061,1,2
12062,2,NA
12063,2,NA
12064,2,NA
12065,2,NA
12066,2,NA
12067,2,NA
12068,2,NA
12069,2,NA
12070,2,NA
12071,2,NA
12072,2,NA
12073,2,NA
12074,2,NA
12075,2,NA
12076,2,NA
12077,2,NA
12078,2,NA
12079,2,NA
12080,2,NA
12081,2,NA
12082,0,NA
12083,0,NA
12084,0,NA
12085,0,NA
13001,2,NA
13002,2,NA
13003,2,NA
13004,2,NA
13005,2,NA
13006,2,NA
13007,2,NA
13008,2,NA
13009,2,NA
13010,2,NA
13011,2,NA
13012,2,NA
13013,2,NA
13014,2,NA
13015,2,NA
13016,2,NA
13017,2,NA
13018,2,NA
13019,2,NA
13020,2,NA
13021,2,NA
13022,2,NA
13023,2,NA
13024,2,NA
13025,2,NA
13026,2,NA
13027,2,NA
13028,2,NA
13029,9,NSS
13030,2,NA
13031,2,NA
13032,1,1
13033,2,NA
13034,2,NA
13035,2,NA
13036,2,NA
13037,2,NA
13038,2,NA
13039,2,NA
13040,2,NA
13041,2,NA
13042,2,NA
13043,2,NA
13044,2,NA
13045,2,NA
13046,2,NA
13047,2,NA
13048,1,1
13049,1,5
13050,2,NA
13051,1,1
13052,2,NA
13053,2,NA
13054,2,NA
13055,2,NA
13056,2,NA
13057,2,NA
13058,2,NA
13059,2,NA
13060,2,NA
13061,2,NA
13062,2,NA
13063,2,NA
13064,2,NA
13065,2,NA
13066,2,NA
13067,2,NA
13068,2,NA
13069,2,NA
13070,2,NA
13071,2,NA
13072,2,NA
13073,1,1
13074,2,NA
13075,2,NA
13076,2,NA
13077,2,NA
13078,2,NA
13079,2,NA
13080,2,NA
13081,2,NA
13082,2,NA
13083,2,NA
13084,2,NA
14001,1,1
14002,2,NA
14003,9,NSS
14004,2,NA
14005,2,NA
14006,2,NA
14007,2,NA
14008,2,NA
14009,2,NA
14010,2,NA
14011,2,NA
14012,2,NA
14013,2,NA
14014,2,NA
14015,2,NA
14016,2,NA
14017,9,NSS
14018,1,1
14019,2,NA
14020,2,NA
14021,2,NA
14022,9,NSS
14023,2,NA
14024,2,NA
14025,2,NA
14026,2,NA
14027,2,NA
14028,2,NA
14029,2,NA
14030,2,NA
14031,2,NA
14032,1,1
14033,1,1
14034,2,NA
14035,2,NA
14036,2,NA
14037,2,NA
14038,2,NA
14039,1,1
14040,2,NA
14041,2,NA
14042,2,NA
14043,2,NA
14044,2,NA
14045,2,NA
14046,2,NA
14047,1,2
14048,2,NA
14049,2,NA
14050,2,NA
14051,1,3
14052,2,NA
14053,2,NA
14054,2,NA
14055,2,NA
14056,2,NA
14057,2,NA
14058,2,NA
14059,2,NA
14060,2,NA
14061,2,NA
14062,2,NA
14063,2,NA
14064,1,1
14065,2,NA
14066,2,NA
14067,2,NA
14068,2,NA
14069,2,NA
14070,2,NA
14071,2,NA
14072,2,NA
14073,2,NA
14074,2,NA
14075,2,NA
14076,2,NA
14077,2,NA
14078,2,NA
14079,2,NA
14080,2,NA
14081,2,NA
14082,2,NA
14083,2,NA
14084,2,NA
14085,2,NA
14086,2,NA
14087,2,NA
14088,2,NA
14089,2,NA
14090,2,NA
14091,2,NA
14092,2,NA
14093,2,NA
14094,2,NA
14095,2,NA
14096,2,NA
14097,9,NSS
14098,2,NA
14099,2,NA
14100,2,NA
14101,2,NA
14102,2,NA
14103,2,NA
14104,2,NA
14105,2,NA
14106,2,NA
14107,2,NA
14108,2,NA
14109,1,1
14110,2,NA
14111,2,NA
14112,2,NA
14113,2,NA
14114,9,NSS
14115,2,NA
14116,1,1
14117,2,NA
14118,2,NA
14119,2,NA
14120,2,NA
14121,2,NA
14122,2,NA
14123,2,NA
14124,2,NA
14125,2,NA
15001,2,NA
15002,2,NA
15003,2,NA
15004,2,NA
15005,2,NA
15006,2,NA
15007,2,NA
15008,1,1
15009,2,NA
15010,1,2
15011,2,NA
15012,2,NA
15013,2,NA
15014,2,NA
15015,2,NA
15016,1,1
15017,2,NA
15018,2,NA
15019,2,NA
15020,2,NA
15021,2,NA
15022,2,NA
15023,2,NA
15024,2,NA
15025,1,5
15026,2,NA
15027,2,NA
15028,2,NA
15029,2,NA
15030,2,NA
15031,2,NA
15032,2,NA
15033,2,NA
15034,2,NA
15035,2,NA
15036,2,NA
15037,2,NA
15038,9,NSS
15039,2,NA
15040,2,NA
15041,2,NA
15042,2,NA
15043,1,1
15044,2,NA
15045,2,NA
15046,9,NSS
15047,2,NA
15048,1,2
15049,9,NSS
15050,2,NA
15051,2,NA
15052,2,NA
15053,2,NA
15054,1,3
15055,2,NA
15056,2,NA
15057,2,NA
15058,2,NA
15059,2,NA
15060,2,NA
15061,2,NA
15062,2,NA
15063,0,NA
15064,2,NA
15065,1,1
15066,2,NA
15067,1,1
15068,2,NA
15069,1,1
15070,1,1
15071,2,NA
15072,2,NA
15073,1,1
15074,2,NA
15075,2,NA
15076,2,NA
15077,2,NA
15078,1,1
15079,2,NA
15080,2,NA
15081,1,2
15082,2,NA
15083,2,NA
15084,2,NA
15085,2,NA
15086,2,NA
15087,1,1
15088,2,NA
15089,2,NA
15090,2,NA
15091,2,NA
15092,2,NA
15093,2,NA
15094,2,NA
15095,2,NA
15096,2,NA
15097,1,1
15098,2,NA
15099,2,NA
15100,2,NA
15101,2,NA
15102,2,NA
15103,2,NA
15104,2,NA
15105,2,NA
15106,2,NA
15107,9,NSS
15108,2,NA
15109,1,7
15110,2,NA
15111,2,NA
15112,9,NSS
15113,2,NA
15114,1,1
15115,2,NA
15116,2,NA
15117,2,NA
15118,2,NA
15119,2,NA
15120,2,NA
15121,2,NA
15122,2,NA
15123,2,NA
15124,2,NA
15125,2,NA
16001,2,NA
16002,2,NA
16003,9,NSS
16004,2,NA
16005,9,NSS
16006,2,NA
16007,2,NA
16008,0,NA
16009,2,NA
16010,0,NA
16011,2,NA
16012,2,NA
16013,9,NSS
16014,2,NA
16015,2,NA
16016,2,NA
16017,2,NA
16018,1,1
16019,9,NSS
16020,2,NA
16021,2,NA
16022,2,NA
16023,2,NA
16024,2,NA
16025,2,NA
16026,2,NA
16027,1,1
16028,2,NA
16029,2,NA
16030,2,NA
16031,2,NA
16032,2,NA
16033,2,NA
16034,2,NA
16035,2,NA
16036,2,NA
16037,2,NA
16038,1,1
16039,2,NA
16040,2,NA
16041,2,NA
16042,2,NA
16043,2,NA
16044,2,NA
16045,2,NA
16046,2,NA
16047,2,NA
16048,2,NA
16049,2,NA
16050,2,NA
16051,98,ND
16052,2,NA
16053,2,NA
16054,2,NA
16055,2,NA
16056,2,NA
16057,2,NA
16058,9,NSS
16059,2,NA
16060,2,NA
16061,2,NA
16062,2,NA
16063,2,NA
16064,2,NA
16065,2,NA
16066,2,NA
16067,2,NA
16068,1,1
16069,2,NA
16070,2,NA
16071,2,NA
16072,2,NA
16073,9,NSS
16074,2,NA
16075,2,NA
16076,2,NA
16077,2,NA
16078,2,NA
16079,2,NA
16080,2,NA
16081,2,NA
16082,2,NA
16083,2,NA
16084,2,NA
16085,2,NA
16086,2,NA
16087,1,2
16088,2,NA
16089,2,NA
16090,2,NA
16091,2,NA
16092,2,NA
16093,2,NA
16094,2,NA
16095,2,NA
16096,9,NSS
16097,2,NA
16098,2,NA
16099,2,NA
16100,2,NA
16101,2,NA
16102,9,NSS
16103,2,NA
16104,2,NA
16105,2,NA
16106,2,NA
16107,2,NA
16108,2,NA
16109,2,NA
16110,2,NA
16111,2,NA
16112,2,NA
16113,2,NA
17001,2,NA
17002,2,NA
17003,2,NA
17004,2,NA
17005,1,1
17006,2,NA
17007,2,NA
17008,2,NA
17009,1,1
17010,2,NA
17011,2,NA
17012,1,1
17013,2,NA
17014,2,NA
17015,2,NA
17016,2,NA
17017,2,NA
17018,2,NA
17019,2,NA
17020,2,NA
17021,2,NA
17022,2,NA
17023,2,NA
17024,2,NA
17025,2,NA
17026,2,NA
17027,9,NSS
17028,2,NA
17029,2,NA
17030,2,NA
17031,0,NA
17032,2,NA
17033,2,NA
17034,2,NA
17035,0,NA
17036,2,NA
18001,2,NA
18002,2,NA
18003,2,NA
18004,2,NA
18005,2,NA
18006,2,NA
18007,2,NA
18008,2,NA
18009,2,NA
18010,2,NA
18011,2,NA
18012,2,NA
18013,2,NA
18014,2,NA
18015,2,NA
18016,2,NA
18017,2,NA
18018,2,NA
18019,2,NA
18020,2,NA
19001,9,NSS
19002,0,NA
19003,2,NA
19004,1,1
19005,2,NA
19006,1,8
19007,2,NA
19008,2,NA
19009,2,NA
19010,2,NA
19011,2,NA
19012,2,NA
19013,2,NA
19014,2,NA
19015,0,NA
19016,2,NA
19017,2,NA
19018,2,NA
19019,1,3
19020,2,NA
19021,2,NA
19022,9,NSS
19023,0,NA
19024,1,2
19025,2,NA
19026,1,1
19027,2,NA
19028,1,1
19029,2,NA
19030,2,NA
19031,9,NSS
19032,2,NA
19033,2,NA
19034,1,8
19035,2,NA
19036,2,NA
19037,2,NA
19038,2,NA
19039,2,NA
19040,0,NA
19041,2,NA
19042,1,3
19043,2,NA
19044,2,NA
19045,2,NA
19046,2,NA
19047,2,NA
19048,2,NA
19049,2,NA
