ubicageo_f,numeral,nombre1,nombre2,anios_a,anios_b,indefini,ruasev1,ruasev2,ruasev3,ruasev4,ruasev5,ruasev6,ruasev7,ruasev8,ruasev9,ruasev10,ruasev11,ruasev12
1001,1,REGISTRO NACIONAL DE INSTANCIA CAPACITADORA EN SEGURIDAD PUBLICA,SECRETARIADO EJECUTIVO NACIONAL EN SEGURIDAD PUBLICA,2019,NA,1,1,1,,,1,1,,,,,,
1002,1,NO APLICA,NO APLICA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1003,1,NO APLICA,NO APLICA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1004,1,NO APLICA,NO APLICA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1005,1,NO APLICA,NO APLICA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1006,1,NO APLICA,NO APLICA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1007,1,NO APLICA,NO APLICA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1008,1,NO APLICA,NO APLICA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1009,1,NO APLICA,NO APLICA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1010,1,NO IDENTIFICADO,NO IDENTIFICADO,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS
1011,1,NO APLICA,NO APLICA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001,1,NO APLICA,NO APLICA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,1,ACREDITACION CALEA,COMISION DE ACREDITACION PARA AGENCIAS DE APLICACION DE LA LEY,2009,2025,,1,1,1,1,1,1,1,1,1,1,,
2003,1,NO APLICA,NO APLICA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2004,1,ACREDITACION DE ORGANISMOS DE ORDEN PUBLICO,COMISION DE ACREDITACION PARA AGENCIAS DE APLICACION DE LA LEY,2018,NA,1,1,1,1,1,1,1,1,1,1,1,,
2005,1,NO APLICA,NO APLICA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006,1,NO APLICA,NO APLICA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007,1,NO APLICA,NO APLICA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3001,1,NO APLICA,NO APLICA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3002,1,NO APLICA,NO APLICA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3003,1,NO APLICA,NO APLICA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3008,1,NO APLICA,NO APLICA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3009,1,NO APLICA,NO APLICA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4001,1,NO APLICA,NO APLICA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4002,1,NO APLICA,NO APLICA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4003,1,NO APLICA,NO APLICA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4004,1,NO APLICA,NO APLICA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4005,1,NO APLICA,NO APLICA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4006,1,NO IDENTIFICADO,NO IDENTIFICADO,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS
4007,1,NO APLICA,NO APLICA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4008,1,NO APLICA,NO APLICA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4009,1,NO APLICA,NO APLICA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4010,1,NO APLICA,NO APLICA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4011,1,NO APLICA,NO APLICA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4012,1,NO APLICA,NO APLICA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4013,1,NO APLICA,NO APLICA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5001,1,NO APLICA,NO APLICA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5002,1,NO APLICA,NO APLICA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5003,1,NO APLICA,NO APLICA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5004,1,JUSTICIA CIVICA BASICA Y JUSTICIA CIVICA ESPECIALIZADA,FISCALIA,2022,2024,,,1,1,1,,,1,1,1,1,,
5005,1,NO APLICA,NO APLICA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5006,1,NO APLICA,NO APLICA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5007,1,NO IDENTIFICADO,NO IDENTIFICADO,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS
5008,1,NO APLICA,NO APLICA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5009,1,NO APLICA,NO APLICA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5010,1,NO APLICA,NO APLICA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5011,1,NO APLICA,NO APLICA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5012,1,NO APLICA,NO APLICA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5013,1,NO APLICA,NO APLICA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5014,1,CURSO DE FORMACION INICIAL,UNIVERSIDAD DE CIENCIAS DE LA SEGURIDAD,2022,2022,,1,1,1,1,,1,1,1,1,1,,
5015,1,NO APLICA,NO APLICA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5016,1,NO APLICA,NO APLICA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5017,1,NO APLICA,NO APLICA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5018,1,NO APLICA,NO APLICA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5019,1,NO APLICA,NO APLICA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5020,1,NO APLICA,NO APLICA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5021,1,7 HABILIDADES,UNIVERSIDAD DE CIENCIAS DE LA SEGURIDAD,2022,2024,,1,1,1,1,1,1,1,1,1,1,1,
5021,2,COMPETENCIAS BASICAS,UNIVERSIDAD DE CIENCIAS DE LA SEGURIDAD,2022,2024,,,1,,1,,,,,,,,
5022,1,NO APLICA,NO APLICA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5023,1,NO APLICA,NO APLICA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
