ubicageo_f,rnspni1,anios_a,nombre1
1001,1,NSS,COMISION DE HONOR Y JUSTICIA
1002,1,2022,COMISION DE HONOR Y JUSTICIA
1003,1,2012,COMISION DEL SERVICIO PROFESIONAL DE CARRERA HONOR Y JUSTICIA
1004,1,NSS,COMISION DE HONOR Y JUSTICIA
1005,1,2014,CONSEJO DE HONOR Y JUSTICIA
1006,1,2019,CONSEJO DE HONOR Y JUSTICIA
1007,1,2021,CONSEJO DE HONOR Y JUSTICIA
1008,1,2022,COMISION DE HONOR Y JUSTICIA DEL MUNICIPIO DE SAN JOSE DE GRACIA
1009,1,2021,COMISION DE HONOR Y JUSTICIA
1010,2,NA,NO APLICA
1011,1,2014,COMISION DE HONOR Y JUSTICIA
2001,1,2010,COMISION DISCIPLINARIA DE CARRERA POLICIAL
2002,2,NA,NO APLICA
2003,2,NA,NO APLICA
2004,1,2011,COMISION DEL SERVICIO PROFESIONAL DE CARRERA DE LA SECRETARIA DE SEGURIDAD Y PROTECCION CIUDADANA
2005,1,2015,COMISION HONOR Y JUSTICIA
2006,2,NA,NO APLICA
2007,3,NA,NO APLICA
3001,1,2015,DEPARTAMENTO DE ASUNTOS INTERNOS DE LA DIRECCION GENERAL DE SEGURIDAD PUBLICA POLICIA PREVENTIVO Y TRANSITO MUNICIPAL DE COMONDU
3002,1,2021,COMISION DE HONOR Y JUSTICIA DE LA DIRECCION GENERAL DE SEGURIDAD PUBLICA POLICIA PREVENTIVA Y TRANSITO MUNICIPAL DE MULEGE
3003,1,2013,REGLAMENTO DE LA COMISION DE HONOR Y JUSTICIA DE LA DIRECCION GENERAL DE SEGURIDAD PUBLICA POLICIA PREVENTIVA Y TRANSITO MUNICIPAL
3008,1,2009,COMISION DE HONOR Y JUSTICIA DE LA DIRECCION GENERAL DE SEGURIDAD PUBLICA POLICIA PREVENTIVA Y TRANSITO MUNICIPAL
3009,2,NA,NO APLICA
4001,3,NA,NO APLICA
4002,3,NA,NO APLICA
4003,1,2016,COMISION DE HONOR Y JUSTICIA DE LA DIRECCION DE SEGURIDAD PUBLICA VIALIDAD Y TRANSITO DEL MUNICIPIO DE CARMEN CAMPECHE
4004,3,NA,NO APLICA
4005,3,NA,NO APLICA
4006,2,NA,NO APLICA
4007,2,NA,NO APLICA
4008,3,NA,NO APLICA
4009,3,NA,NO APLICA
4010,3,NA,NO APLICA
4011,3,NA,NO APLICA
4012,0,NA,NO APLICA
4013,0,NA,NO APLICA
5001,1,2022,COMISION DE HONOR Y JUSTICIA
5002,1,2022,COMISION DE HONOR Y JUSTICIA
5003,3,NA,NO APLICA
5004,1,2022,COMISION DE HONOR Y JUSTICIA
