ubicageo_f,rnspni1,dirurl1
1001,3,NO APLICA
1002,1,https://eservicios2.aguascalientes.gob.mx/NormatecaAdministrador/archivos/MUN-4-46.pdf
1003,1,https://eservicios2.aguascalientes.gob.mx/NormatecaAdministrador/archivos/MUN-26-81.pdf
1004,1,NO APLICA
1005,1,https://eservicios2.aguascalientes.gob.mx/NormatecaAdministrador/archivos/MUN-26-32.pdf
1006,1,NO APLICA
1007,1,https://eservicios2.aguascalientes.gob.mx/NormatecaAdministrador/archivos/MUN-26-125.pdf
1008,1,https://eservicios2.aguascalientes.gob.mx/NormatecaAdministrador/archivos/MUN-4-11.pdf
1009,1,https://tramites.aguascalientes.gob.mx/download/normateca/D20220816141533_CODIGOMPALTEPEZALA.pdf
1010,0,NO APLICA
1011,1,http://www.ordenjuridico.gob.mx/Documentos/Estatal/Aguascalientes/Todos%20los%20Municipios/wo100418.pdf
2001,1,http://transparencia.ensenada.gob.mx/doc/file13485s167d87.pdf
2002,0,NO APLICA
2003,0,NO APLICA
2004,1,https://www.tijuana.gob.mx/normatividad/documentos/Reglamentos/40_2021413154156720_wp.pdf
2005,1,http://congresomich.gob.mx/file/REG-de-la-CHJ-de-la-SSP_reforma22.pdf
2006,0,NO APLICA
2007,0,NO APLICA
3001,1,NO APLICA
3002,1,https://contraloria.bcs.gob.mx/wp-content/uploads/Boletin-Oficial-Mulege.pdf
3003,1,NO APLICA
3008,1,NO APLICA
3009,0,NO APLICA
4001,0,NO APLICA
4002,0,NO APLICA
4003,1,http://www.carmen.gob.mx/transparencia/web/leyes/leyes.aspx
4004,0,NO APLICA
4005,0,NO APLICA
4006,0,NO APLICA
4007,0,NO APLICA
4008,0,NO APLICA
4009,0,NO APLICA
4010,0,NO APLICA
4011,0,NO APLICA
4012,0,NO APLICA
4013,0,NO APLICA
5001,1,NO APLICA
5002,1,NO APLICA
5003,0,NO APLICA
5004,2,NO APLICA
5005,1,NO APLICA
5006,1,NO APLICA
5007,1,NO APLICA
5008,0,NO APLICA
5009,1,NO APLICA
5010,1,https://CONGRESOCOAHUILA.GOB.MX/PORTAL/LEYES-ESTATALES-VIGENTES/
5011,3,NO APLICA
5012,0,NO APLICA
5013,0,NO APLICA
5014,1,NO APLICA
5015,0,NO APLICA
5016,3,NO APLICA
5017,1,NO APLICA
5018,1,http://www.ordenjuridico.gob.mx/Documentos/Estatal/Coahuila%20de%20Zaragoza/Todos%20los%20Municipios/wo100905.pdf
5019,3,NO APLICA
5020,1,NO APLICA
5021,1,https://coahuila.gob.mx/archivos/filemanager/leyes/Reglamento_en_los_Municipios/Nadadores/Bando_dePolicia_yGobierno.pdf
5022,1,https://www.congresocoahuila.gob.mx/transparencia/03/Leyes_Coahuila/coa168.pdf
5023,3,NO APLICA
5024,2,NO APLICA
5025,1,http://www2.icai.org.mx/ipo/archives/84/98217773-SumaReglamentaria2021.pdf
5026,0,NO APLICA
5027,1,NO APLICA
5028,3,NO APLICA
5029,1,NO APLICA
5030,2,NO APLICA
5031,3,NO APLICA
5032,3,NO APLICA
5033,1,NO APLICA
5034,2,NO APLICA
5035,1,https://www.torreon.gob.mx/normatividad/pdf/reglamento_52.pdf
5036,2,NO APLICA
5037,9,NO IDENTIFICADO
5038,1,NO APLICA
6001,1,NO APLICA
6002,1,https://www.colima.gob.mx/portal/cat/normateca/274
6003,1,NO APLICA
6004,1,NO APLICA
6005,0,NO APLICA
6006,3,NO APLICA
6007,3,NO APLICA
6008,1,NO APLICA
6009,2,NO APLICA
6010,1,http://www.ordenjuridico.gob.mx/Documentos/Estatal/Colima/Todos%20los%20Municipios/wo44451.pdf
7001,1,NO APLICA
7002,0,NO APLICA
7003,0,NO APLICA
7004,9,NO IDENTIFICADO
7005,0,NO APLICA
7006,0,NO APLICA
7007,0,NO APLICA
7008,0,NO APLICA
7009,1,NO APLICA
7010,0,NO APLICA
7011,0,NO APLICA
7012,1,https://berriozabal.gob.mx/wp-content/uploads/2022/10/CODIGO-DE-CONDUCTA.pdf
7013,3,NO APLICA
7014,0,NO APLICA
7015,0,NO APLICA
7016,97,NO IDENTIFICADO
7017,1,https://sgg.chiapas.gob.mx/periodico/periodico1824
7018,0,NO APLICA
7019,0,NO APLICA
7020,0,NO APLICA
7021,0,NO APLICA
7022,0,NO APLICA
7023,0,NO APLICA
7024,0,NO APLICA
7025,1,NO APLICA
7026,1,NO APLICA
7027,2,NO APLICA
7028,0,NO APLICA
7029,0,NO APLICA
7030,2,NO APLICA
