elemunif_b,descrip
1,Chamarra
2,Camisola
3,Chaleco (táctico)
4,Playera
5,Pantalón
6,Gorra
7,Overol tipo comando
8,Impermeable
9,Botas
10,Zapatos tipo choclo
11,"Uniforme de gala (incluye saco, pantalón, camisa, corbata o corbatín, cinturón, etc.)"
12,"Uniforme táctico y/o tipo comando (incluye camisola, pantalón, gorra, etc.)"
13,"Uniforme deportivo (incluye chamarra o sudadera, pantalón, calcetas, etc.)"
14,Fornitura
15,"Placas, insignias y/o divisas"
16,Otro elemento de uniforme
