preslab_e,descrip
1,Aguinaldo
2,Ahorro solidario
3,"Apoyo educativo (becas para el personal, permisos, convenios, etc.)"
4,Apoyo para los familiares del personal fallecido en ejercicio de sus funciones
5,Apoyo para los familiares del personal desaparecido o no localizado
6,Apoyo funerario para los familiares del personal fallecido (no incluye al personal fallecido en ejercicio de sus funciones)
7,Apoyo para gastos funerarios de algún familiar
8,Apoyo para la vivienda (no incluye créditos para la vivienda)
9,Apoyos para la lactancia
10,Apoyo para útiles escolares de sus hijas y/o hijos
11,Áreas deportivas
12,Asesoría jurídica
13,Ayuda para transporte
14,Becas escolares para sus hijas y/o hijos
15,Comedor dentro de las instalaciones
16,Créditos automotrices
17,Créditos para la vivienda
18,Créditos personales (no incluye créditos automotrices ni créditos para la vivienda)
19,Días de permiso
20,Fondo de ahorro para el retiro
21,Guardería
22,Licencia de maternidad / paternidad
23,Seguro de gastos médicos mayores
24,Seguro de vida
25,Seguro de retiro
26,Servicios médicos dentro de las instalaciones
27,Servicios psicológicos o de contención emocional
28,Vacaciones
29,Prima quinquenal
30,Prima vacacional
31,Prima de antigüedad
32,"Vales, bonos o ayuda para despensa"
33,Otra prestación laboral
34,No identificado
99,No especificado
