ubicageo_f,formprot_a,rnsnni1,motivott,motivo1,motivo2,motivo3,motivo4,motivo5,motivo6,motivo7,motivo8,motivo9,motivo10,motivo11,motivo12
1001,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1001,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1001,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1002,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1002,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1002,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1003,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1003,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1003,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1004,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1004,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1004,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1005,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1005,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1005,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1006,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1006,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1006,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1007,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1007,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1007,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1008,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1008,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1008,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1009,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1009,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1009,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1010,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1010,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1010,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1011,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1011,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1011,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2004,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2004,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2004,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3001,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3001,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3001,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3002,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3002,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3002,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3003,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3003,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3003,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3008,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3008,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3008,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3009,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3009,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3009,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4001,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4001,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4001,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4002,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4002,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4002,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4003,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4003,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4003,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4004,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4004,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4004,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4005,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4005,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4005,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4006,1,9,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS
4006,2,9,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS
4006,3,9,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS
4007,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4007,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4007,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4008,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4008,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4008,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4009,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4009,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4009,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4010,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4010,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4010,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4011,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4011,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4011,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4012,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4012,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4012,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4013,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4013,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4013,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5001,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5001,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5001,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5002,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5002,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5002,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5003,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5003,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5003,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5004,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5004,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5004,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5005,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5005,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5005,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5006,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5006,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5006,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5007,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5007,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5007,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5008,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5008,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5008,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5009,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5009,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5009,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
