ubicageo_f,tipoequi_f,rnsnni1,rnsnni2,totalca1,sexostt,sexos1,sexos2,sexosne
1001,11,1,1,300,300,150,150,
1001,12,1,2,NA,NA,NA,NA,
1001,13,1,2,NA,NA,NA,NA,
1001,14,1,2,NA,NA,NA,NA,
1001,15,1,2,NA,NA,NA,NA,
1001,16,1,2,NA,NA,NA,NA,
1001,17,1,2,NA,NA,NA,NA,
1001,18,1,2,NA,NA,NA,NA,
1001,19,1,2,NA,NA,NA,NA,
1001,21,1,2,NA,NA,NA,NA,
1001,22,2,0,NA,NA,NA,NA,
1001,23,1,1,150,150,70,80,
1001,24,1,2,NA,NA,NA,NA,
1001,25,2,0,NA,NA,NA,NA,
1001,31,1,1,200,200,100,100,
1001,32,2,0,NA,NA,NA,NA,
1001,40,2,0,NA,NA,NA,NA,
1002,11,1,1,36,36,29,7,
1002,12,2,0,NA,NA,NA,NA,
1002,13,2,0,NA,NA,NA,NA,
1002,14,2,0,NA,NA,NA,NA,
1002,15,2,0,NA,NA,NA,NA,
1002,16,2,0,NA,NA,NA,NA,
1002,17,2,0,NA,NA,NA,NA,
1002,18,2,0,NA,NA,NA,NA,
1002,19,2,0,NA,NA,NA,NA,
1002,21,2,0,NA,NA,NA,NA,
1002,22,2,0,NA,NA,NA,NA,
1002,23,2,0,NA,NA,NA,NA,
1002,24,2,0,NA,NA,NA,NA,
1002,25,2,0,NA,NA,NA,NA,
1002,31,2,0,NA,NA,NA,NA,
1002,32,2,0,NA,NA,NA,NA,
1002,40,2,0,NA,NA,NA,NA,
1003,11,1,1,52,41,41,0,
1003,12,1,1,15,11,NA,11,
1003,13,1,1,8,8,7,1,
1003,14,1,2,NA,NA,NA,NA,
1003,15,1,2,NA,NA,NA,NA,
1003,16,1,2,NA,NA,NA,NA,
1003,17,1,2,NA,NA,NA,NA,
1003,18,1,1,24,24,24,0,
1003,19,1,2,NA,NA,NA,NA,
1003,21,1,2,NA,NA,NA,NA,
1003,22,1,2,NA,NA,NA,NA,
1003,23,1,1,80,52,41,11,
1003,24,1,2,NA,NA,NA,NA,
1003,25,1,2,NA,NA,NA,NA,
1003,31,1,2,NA,NA,NA,NA,
1003,32,1,2,NA,NA,NA,NA,
1003,40,2,0,NA,NA,NA,NA,
1004,11,2,0,NA,NA,NA,NA,
1004,12,2,0,NA,NA,NA,NA,
1004,13,1,1,28,28,17,11,
1004,14,2,0,NA,NA,NA,NA,
1004,15,2,0,NA,NA,NA,NA,
