autorida_k,descrip
1,Secretaría de la Defensa Nacional
2,Secretaría de Marina
3,Guardia Nacional
4,Fiscalía General de la República
5,Secretaría de Seguridad Pública u homóloga de la entidad federativa
6,Secretaría de Seguridad Pública u homóloga de otra entidad federativa
7,Fiscalía General o Procuraduría General de Justicia de la entidad federativa
8,Fiscalía General o Procuraduría General de Justicia de otra entidad federativa
9,Secretaría de Seguridad Pública u homóloga de otro municipio de la entidad federativa
10,Secretaría de Seguridad Pública u homóloga de algún municipio de otra entidad federativa
11,Autoridades de protección civil
12,Autoridades sanitarias
13,Autoridades aduaneras
14,Otra autoridad
15,No identificado
99,No especificado
