ubicageo_f,aniorefe_b,rnsnni1,totalca1
1001,1,2,NA
1001,2,2,NA
1002,1,1,3
1002,2,2,NA
1003,1,2,NA
1003,2,1,1
1004,1,2,NA
1004,2,2,NA
1005,1,2,NA
1005,2,2,NA
1006,1,2,NA
1006,2,2,NA
1007,1,2,NA
1007,2,2,NA
1008,1,2,NA
1008,2,2,NA
1009,1,2,NA
1009,2,2,NA
1010,1,2,NA
1010,2,2,NA
1011,1,2,NA
1011,2,2,NA
2001,1,2,NA
2001,2,2,NA
2002,1,1,7
2002,2,1,15
2003,1,1,1
2003,2,1,1
2004,1,1,17
2004,2,1,22
2005,1,1,2
2005,2,1,1
2006,1,2,NA
2006,2,2,NA
2007,1,2,NA
2007,2,1,1
3001,1,2,NA
3001,2,2,NA
3002,1,2,NA
3002,2,2,NA
3003,1,2,NA
3003,2,2,NA
3008,1,2,NA
3008,2,2,NA
3009,1,2,NA
3009,2,2,NA
4001,1,2,NA
4001,2,2,NA
4002,1,2,NA
4002,2,2,NA
4003,1,2,NA
4003,2,1,2
4004,1,2,NA
4004,2,2,NA
4005,1,2,NA
4005,2,2,NA
4006,1,9,NSS
4006,2,9,NSS
4007,1,2,NA
4007,2,2,NA
4008,1,2,NA
4008,2,2,NA
4009,1,2,NA
4009,2,2,NA
4010,1,2,NA
4010,2,2,NA
4011,1,2,NA
4011,2,2,NA
4012,1,0,NA
4012,2,0,NA
4013,1,0,NA
4013,2,0,NA
5001,1,2,NA
5001,2,2,NA
5002,1,2,NA
5002,2,2,NA
5003,1,2,NA
5003,2,2,NA
5004,1,2,NA
5004,2,2,NA
5005,1,2,NA
5005,2,2,NA
5006,1,2,NA
5006,2,2,NA
5007,1,2,NA
5007,2,2,NA
5008,1,0,NA
5008,2,0,NA
5009,1,2,NA
5009,2,2,NA
5010,1,2,NA
5010,2,2,NA
5011,1,2,NA
5011,2,2,NA
5012,1,0,NA
5012,2,0,NA
5013,1,0,NA
5013,2,0,NA
5014,1,2,NA
5014,2,2,NA
5015,1,0,NA
5015,2,0,NA
5016,1,2,NA
5016,2,2,NA
5017,1,2,NA
5017,2,2,NA
5018,1,2,NA
5018,2,2,NA
5019,1,9,NSS
5019,2,2,NA
5020,1,2,NA
5020,2,2,NA
5021,1,2,NA
5021,2,2,NA
5022,1,2,NA
5022,2,2,NA
5023,1,2,NA
5023,2,2,NA
5024,1,2,NA
5024,2,2,NA
5025,1,2,NA
5025,2,2,NA
5026,1,0,NA
5026,2,0,NA
5027,1,2,NA
5027,2,2,NA
5028,1,2,NA
5028,2,2,NA
5029,1,9,NSS
5029,2,2,NA
5030,1,2,NA
5030,2,2,NA
5031,1,2,NA
5031,2,1,1
5032,1,2,NA
5032,2,2,NA
5033,1,2,NA
5033,2,2,NA
5034,1,2,NA
5034,2,2,NA
5035,1,2,NA
5035,2,2,NA
5036,1,2,NA
5036,2,2,NA
5037,1,2,NA
5037,2,1,1
5038,1,9,NSS
5038,2,2,NA
6001,1,2,NA
6001,2,1,1
6002,1,2,NA
6002,2,2,NA
6003,1,2,NA
6003,2,2,NA
6004,1,2,NA
6004,2,2,NA
6005,1,2,NA
6005,2,2,NA
6006,1,2,NA
6006,2,2,NA
6007,1,2,NA
6007,2,2,NA
6008,1,2,NA
6008,2,2,NA
6009,1,1,1
6009,2,1,1
6010,1,2,NA
6010,2,2,NA
7001,1,2,NA
7001,2,2,NA
7002,1,2,NA
7002,2,2,NA
7003,1,2,NA
7003,2,2,NA
7004,1,1,1
7004,2,2,NA
7005,1,2,NA
7005,2,2,NA
7006,1,2,NA
7006,2,2,NA
7007,1,2,NA
7007,2,2,NA
7008,1,2,NA
7008,2,2,NA
7009,1,2,NA
7009,2,2,NA
7010,1,2,NA
7010,2,2,NA
7011,1,2,NA
7011,2,2,NA
7012,1,2,NA
7012,2,2,NA
7013,1,2,NA
7013,2,2,NA
7014,1,2,NA
7014,2,2,NA
7015,1,2,NA
7015,2,2,NA
7016,1,2,NA
7016,2,2,NA
7017,1,2,NA
7017,2,2,NA
7018,1,2,NA
7018,2,2,NA
7019,1,2,NA
7019,2,2,NA
7020,1,2,NA
7020,2,2,NA
7021,1,2,NA
7021,2,2,NA
7022,1,2,NA
7022,2,2,NA
7023,1,2,NA
7023,2,2,NA
7024,1,2,NA
7024,2,2,NA
7025,1,2,NA
7025,2,2,NA
7026,1,2,NA
7026,2,2,NA
7027,1,2,NA
7027,2,2,NA
7028,1,2,NA
7028,2,2,NA
7029,1,2,NA
7029,2,2,NA
7030,1,2,NA
7030,2,2,NA
7031,1,1,1
7031,2,2,NA
7032,1,2,NA
7032,2,2,NA
7033,1,2,NA
7033,2,2,NA
7034,1,2,NA
7034,2,2,NA
7035,1,2,NA
7035,2,2,NA
7036,1,2,NA
7036,2,2,NA
7037,1,9,NSS
7037,2,2,NA
7038,1,2,NA
7038,2,2,NA
7039,1,2,NA
7039,2,2,NA
7040,1,2,NA
7040,2,2,NA
7041,1,2,NA
7041,2,2,NA
7042,1,2,NA
7042,2,2,NA
7043,1,2,NA
7043,2,2,NA
7044,1,2,NA
7044,2,2,NA
7045,1,2,NA
7045,2,2,NA
7046,1,2,NA
7046,2,1,2
7047,1,2,NA
7047,2,2,NA
7048,1,2,NA
7048,2,2,NA
7049,1,2,NA
7049,2,2,NA
7050,1,2,NA
7050,2,2,NA
7051,1,2,NA
7051,2,2,NA
7052,1,2,NA
7052,2,2,NA
7053,1,2,NA
7053,2,2,NA
7054,1,2,NA
7054,2,2,NA
7055,1,2,NA
7055,2,2,NA
7056,1,2,NA
7056,2,2,NA
7057,1,2,NA
7057,2,2,NA
7058,1,2,NA
7058,2,2,NA
7059,1,2,NA
7059,2,2,NA
7060,1,2,NA
7060,2,2,NA
7061,1,2,NA
7061,2,2,NA
7062,1,2,NA
7062,2,2,NA
7063,1,2,NA
7063,2,2,NA
7064,1,2,NA
7064,2,1,3
7065,1,2,NA
7065,2,2,NA
7066,1,9,NSS
7066,2,2,NA
7067,1,2,NA
7067,2,2,NA
7068,1,2,NA
7068,2,2,NA
7069,1,2,NA
7069,2,2,NA
7070,1,2,NA
7070,2,2,NA
7071,1,2,NA
7071,2,2,NA
7072,1,2,NA
7072,2,2,NA
7073,1,9,NSS
7073,2,9,NSS
7074,1,2,NA
7074,2,2,NA
7075,1,2,NA
7075,2,2,NA
7076,1,2,NA
7076,2,2,NA
7077,1,2,NA
7077,2,2,NA
7078,1,2,NA
7078,2,2,NA
7079,1,2,NA
7079,2,2,NA
7080,1,9,NSS
7080,2,2,NA
7081,1,2,NA
7081,2,2,NA
7082,1,2,NA
7082,2,2,NA
7083,1,2,NA
7083,2,2,NA
7084,1,2,NA
7084,2,2,NA
7085,1,2,NA
7085,2,2,NA
7086,1,2,NA
7086,2,2,NA
7087,1,2,NA
7087,2,2,NA
7088,1,2,NA
7088,2,2,NA
7089,1,2,NA
7089,2,2,NA
7090,1,2,NA
7090,2,2,NA
7091,1,2,NA
7091,2,2,NA
7092,1,2,NA
7092,2,2,NA
7093,1,2,NA
7093,2,2,NA
7094,1,2,NA
7094,2,2,NA
7096,1,2,NA
7096,2,2,NA
7097,1,2,NA
7097,2,2,NA
7098,1,2,NA
7098,2,2,NA
7099,1,2,NA
7099,2,2,NA
7100,1,2,NA
7100,2,2,NA
7101,1,2,NA
7101,2,2,NA
7102,1,2,NA
7102,2,2,NA
7103,1,2,NA
7103,2,2,NA
7104,1,2,NA
7104,2,2,NA
7105,1,2,NA
7105,2,2,NA
7106,1,2,NA
7106,2,2,NA
7107,1,2,NA
7107,2,2,NA
7108,1,2,NA
7108,2,2,NA
7109,1,2,NA
7109,2,2,NA
7110,1,2,NA
7110,2,2,NA
7111,1,2,NA
7111,2,2,NA
7112,1,2,NA
7112,2,2,NA
7113,1,2,NA
7113,2,2,NA
7114,1,2,NA
7114,2,2,NA
7115,1,2,NA
7115,2,2,NA
7116,1,2,NA
7116,2,2,NA
7117,1,2,NA
7117,2,2,NA
7118,1,2,NA
7118,2,2,NA
7119,1,2,NA
7119,2,2,NA
7120,1,2,NA
7120,2,2,NA
7121,1,2,NA
7121,2,2,NA
7122,1,2,NA
7122,2,2,NA
7123,1,2,NA
7123,2,2,NA
7124,1,2,NA
7124,2,2,NA
7125,1,2,NA
7125,2,2,NA
8001,1,2,NA
8001,2,2,NA
8002,1,2,NA
8002,2,2,NA
8003,1,2,NA
8003,2,2,NA
8004,1,2,NA
8004,2,2,NA
8005,1,2,NA
8005,2,2,NA
8006,1,2,NA
8006,2,2,NA
8007,1,2,NA
8007,2,2,NA
8008,1,2,NA
8008,2,2,NA
8009,1,2,NA
8009,2,2,NA
8010,1,2,NA
8010,2,2,NA
8011,1,2,NA
8011,2,2,NA
8012,1,2,NA
8012,2,2,NA
8013,1,2,NA
8013,2,2,NA
8014,1,2,NA
8014,2,2,NA
8015,1,2,NA
8015,2,2,NA
8016,1,2,NA
8016,2,2,NA
8017,1,2,NA
8017,2,2,NA
8018,1,2,NA
8018,2,2,NA
8019,1,1,1
8019,2,2,NA
8020,1,2,NA
8020,2,2,NA
8021,1,2,NA
8021,2,2,NA
8022,1,2,NA
8022,2,2,NA
8023,1,2,NA
8023,2,2,NA
8024,1,2,NA
8024,2,2,NA
8025,1,2,NA
8025,2,2,NA
8026,1,2,NA
8026,2,2,NA
8027,1,2,NA
8027,2,2,NA
8028,1,2,NA
8028,2,2,NA
8029,1,2,NA
8029,2,2,NA
8030,1,2,NA
8030,2,2,NA
8031,1,2,NA
8031,2,2,NA
8032,1,2,NA
8032,2,2,NA
8033,1,2,NA
8033,2,2,NA
8034,1,2,NA
8034,2,2,NA
8035,1,2,NA
8035,2,2,NA
8036,1,2,NA
8036,2,2,NA
8037,1,2,NA
8037,2,1,7
8038,1,2,NA
8038,2,2,NA
8039,1,2,NA
8039,2,2,NA
8040,1,2,NA
8040,2,2,NA
8041,1,2,NA
8041,2,1,1
8042,1,2,NA
8042,2,2,NA
8043,1,2,NA
