ubicageo_f,enfrentt,enfren1,enfren2,enfren3
1001,NA,NA,NA,NA
1002,NA,NA,NA,NA
1003,1,1,0,0
1004,NA,NA,NA,NA
1005,NA,NA,NA,NA
1006,NA,NA,NA,NA
1007,NA,NA,NA,NA
1008,NA,NA,NA,NA
1009,NA,NA,NA,NA
1010,NA,NA,NA,NA
1011,NA,NA,NA,NA
2001,NA,NA,NA,NA
2002,15,15,0,0
2003,1,1,0,0
2004,22,22,0,0
2005,1,1,0,0
2006,NA,NA,NA,NA
2007,1,1,0,0
3001,NA,NA,NA,NA
3002,NA,NA,NA,NA
3003,NA,NA,NA,NA
3008,NA,NA,NA,NA
3009,NA,NA,NA,NA
4001,NA,NA,NA,NA
4002,NA,NA,NA,NA
4003,2,2,0,0
4004,NA,NA,NA,NA
4005,NA,NA,NA,NA
4006,NSS,NSS,NSS,NSS
4007,NA,NA,NA,NA
4008,NA,NA,NA,NA
4009,NA,NA,NA,NA
4010,NA,NA,NA,NA
4011,NA,NA,NA,NA
4012,NA,NA,NA,NA
4013,NA,NA,NA,NA
5001,NA,NA,NA,NA
5002,NA,NA,NA,NA
5003,NA,NA,NA,NA
5004,NA,NA,NA,NA
5005,NA,NA,NA,NA
5006,NA,NA,NA,NA
5007,NA,NA,NA,NA
5008,NA,NA,NA,NA
5009,NA,NA,NA,NA
5010,NA,NA,NA,NA
5011,NA,NA,NA,NA
5012,NA,NA,NA,NA
5013,NA,NA,NA,NA
5014,NA,NA,NA,NA
5015,NA,NA,NA,NA
5016,NA,NA,NA,NA
5017,NA,NA,NA,NA
5018,NA,NA,NA,NA
5019,NA,NA,NA,NA
5020,NA,NA,NA,NA
5021,NA,NA,NA,NA
5022,NA,NA,NA,NA
5023,NA,NA,NA,NA
5024,NA,NA,NA,NA
5025,NA,NA,NA,NA
5026,NA,NA,NA,NA
5027,NA,NA,NA,NA
5028,NA,NA,NA,NA
5029,NA,NA,NA,NA
5030,NA,NA,NA,NA
5031,1,0,1,0
5032,NA,NA,NA,NA
5033,NA,NA,NA,NA
5034,NA,NA,NA,NA
5035,NA,NA,NA,NA
5036,NA,NA,NA,NA
5037,1,1,0,0
5038,NA,NA,NA,NA
6001,1,1,0,0
6002,NA,NA,NA,NA
6003,NA,NA,NA,NA
6004,NA,NA,NA,NA
6005,NA,NA,NA,NA
6006,NA,NA,NA,NA
6007,NA,NA,NA,NA
6008,NA,NA,NA,NA
6009,1,1,0,0
6010,NA,NA,NA,NA
7001,NA,NA,NA,NA
7002,NA,NA,NA,NA
7003,NA,NA,NA,NA
7004,NA,NA,NA,NA
7005,NA,NA,NA,NA
7006,NA,NA,NA,NA
7007,NA,NA,NA,NA
7008,NA,NA,NA,NA
7009,NA,NA,NA,NA
7010,NA,NA,NA,NA
7011,NA,NA,NA,NA
7012,NA,NA,NA,NA
7013,NA,NA,NA,NA
7014,NA,NA,NA,NA
7015,NA,NA,NA,NA
7016,NA,NA,NA,NA
7017,NA,NA,NA,NA
7018,NA,NA,NA,NA
7019,NA,NA,NA,NA
7020,NA,NA,NA,NA
7021,NA,NA,NA,NA
7022,NA,NA,NA,NA
7023,NA,NA,NA,NA
7024,NA,NA,NA,NA
7025,NA,NA,NA,NA
7026,NA,NA,NA,NA
7027,NA,NA,NA,NA
7028,NA,NA,NA,NA
7029,NA,NA,NA,NA
7030,NA,NA,NA,NA
7031,NA,NA,NA,NA
7032,NA,NA,NA,NA
7033,NA,NA,NA,NA
7034,NA,NA,NA,NA
7035,NA,NA,NA,NA
7036,NA,NA,NA,NA
7037,NA,NA,NA,NA
7038,NA,NA,NA,NA
7039,NA,NA,NA,NA
7040,NA,NA,NA,NA
7041,NA,NA,NA,NA
7042,NA,NA,NA,NA
7043,NA,NA,NA,NA
7044,NA,NA,NA,NA
7045,NA,NA,NA,NA
7046,2,0,0,2
7047,NA,NA,NA,NA
7048,NA,NA,NA,NA
