esquprof_b,descrip
11,Formación inicial - Policía preventivo
12,"Formación inicial - Evaluadores de riesgos procesales, supervisores de medidas cautelares y suspensión condicional del proceso"
13,Formación inicial - No identificado
21,Formación continua (actualización) - Policía de tránsito
22,Formación continua (actualización) - Introducción a las metodologías de investigación cuantitativa y cualitativa en materia de seguridad pública
23,Formación continua (actualización) - No identificado
31,Formación continua (especialización) - Policía procesal
32,Formación continua (especialización) - Policía de tránsito especializado
33,Formación continua (especialización) - Integrantes de las unidades de policía cibernética
34,Formación continua (especialización) - Policía de reacción
35,Formación continua (especialización) - No identificado
40,Formación continua (alta dirección)
50,No identificado
99,No especificado
