listtema_o,descrip
101,Investigación - Técnicas de investigación del delito
102,Investigación - Criminalística
103,Investigación - Criminología
104,Investigación - Talleres en campo de actos de investigación
105,Investigación - Técnicas de entrevista
106,Investigación - Perfilación criminal
107,Investigación - Teoría del caso
108,Investigación - Prueba legal y lícita
201,Proximidad social - Mediación
202,Proximidad social - Justicia procedimental
203,"Proximidad social - Solución de problemas Metodología SARA (identificación del problema, análisis del problema, respuesta y evaluación)"
204,Proximidad social - Metodología para el trabajo con la comunidad
205,Proximidad social - IPH para faltas administrativas
206,Proximidad social - Derechos humanos y uso legítimo de la fuerza
207,Proximidad social - Comunicación asertiva
301,Inteligencia y/o análisis - Introducción a los métodos de policiamiento y análisis delictivo
302,Inteligencia y/o análisis - Análisis cualitativo aplicado a la seguridad pública
303,Inteligencia y/o análisis - Bases de datos
304,Inteligencia y/o análisis - Gestión de la información
305,Inteligencia y/o análisis - Técnicas básicas para integrar información
306,Inteligencia y/o análisis - Análisis geográfico
307,Inteligencia y/o análisis - Técnicas de análisis
308,Inteligencia y/o análisis - Redes de vínculos
309,Inteligencia y/o análisis - Patrones delictivos
310,Inteligencia y/o análisis - Estadística descriptiva o básica
400,Contención emocional y/o autocuidado
500,"Control de multitudes durante marchas, manifestaciones o protestas sociales"
600,Otro tema
700,No identificado
999,No especificado
