ARCHIVO,CONTENIDO
m3s1p16,"Personal adscrito a las corporaciones policiales de la institución encargada de la función de seguridad pública, según tipo y estatus de las evaluaciones que se encontraba obligado a acreditar y sexo, al cierre del año 2022."
m3s1p17a,"Personal adscrito a las corporaciones policiales de la institución encargada de la función de seguridad pública, según tipo de corporación policial, estatus de las evaluaciones de control de confianza y sexo, al cierre del año 2022."
m3s1p17b,"Personal adscrito a las corporaciones policiales de la institución encargada de la función de seguridad pública, según tipo de corporación policial, estatus de las evaluaciones de competencias básicas y sexo, al cierre del año 2022."
m3s1p17c,"Personal adscrito a las corporaciones policiales de la institución encargada de la función de seguridad pública, según tipo de corporación policial, estatus de las evaluaciones de desempeño y sexo, al cierre del año 2022."
m3s1p18,"Personal adscrito a la institución encargada de la función de seguridad pública que contaba con la acreditación de alguno de los esquemas de profesionalización previstos en el Programa Rector de Profesionalización correspondiente, según esquema de profesionalización y sexo, al cierre del año 2022."
m3s1p19,"Personal adscrito a la institución encargada de la función de seguridad pública que contaba con la acreditación de alguno de los esquemas de profesionalización previstos en el Programa Rector de Profesionalización correspondiente, según tipo de organización policial, esquema de profesionalización y sexo, al cierre del año 2022."
m3s1p20,"Personal adscrito a las corporaciones policiales de la institución encargada de la función de seguridad pública que contaba con el Certificado Único Policial vigente, según sexo, al cierre del año 2022."
m3s1p21,"Personal adscrito a las corporaciones policiales de la institución encargada de la función de seguridad pública que contaba con el Certificado Único Policial vigente, según tipo de corporación policial y sexo, al cierre del año 2022."
m3s1p22,"Acciones formativas impartidas y personal capacitado adscrito la institución encargada de la función de seguridad pública, según medio de presentación y sexo, durante el año 2022."
m3s1p23,"Acciones formativas impartidas y personal capacitado adscrito la institución encargada de la función de seguridad pública, según temas y sexo, durante el año 2022."
