ubicageo_f,orgapoli_k,sexostt,sexos1,sexos2
1001,1,1349,1038,311
1001,2,0,0,0
1001,3,0,0,0
1001,4,0,0,0
1001,5,0,0,0
1001,9,,,
1002,1,55,40,15
1002,2,0,0,0
1002,3,0,0,0
1002,4,0,0,0
1002,5,0,0,0
1002,9,,,
1003,1,52,41,11
1003,2,0,0,0
1003,3,0,0,0
1003,4,0,0,0
1003,5,0,0,0
1003,9,,,
1004,1,28,16,12
1004,2,0,0,0
1004,3,0,0,0
1004,4,0,0,0
1004,5,0,0,0
1004,9,,,
1005,1,167,120,47
1005,2,0,0,0
1005,3,0,0,0
1005,4,0,0,0
1005,5,0,0,0
1005,9,,,
1006,1,52,23,29
1006,2,NA,NA,NA
1006,3,NA,NA,NA
1006,4,NA,NA,NA
1006,5,NA,NA,NA
1006,9,,,
1007,1,60,45,15
1007,2,0,0,0
1007,3,0,0,0
1007,4,0,0,0
1007,5,NA,NA,NA
1007,9,,,
1008,1,26,14,12
1008,2,0,0,0
1008,3,0,0,0
1008,4,0,0,0
1008,5,0,0,0
1008,9,,,
1009,1,22,17,5
1009,2,0,0,0
1009,3,0,0,0
1009,4,0,0,0
1009,5,0,0,0
1009,9,,,
1010,1,44,31,13
1010,2,0,0,0
1010,3,0,0,0
1010,4,0,0,0
1010,5,0,0,0
1010,9,,,
1011,1,60,30,30
1011,2,0,0,0
1011,3,0,0,0
1011,4,0,0,0
1011,5,0,0,0
1011,9,,,
2001,1,528,426,102
2001,2,0,0,0
2001,3,0,0,0
2001,4,0,0,0
2001,5,0,0,0
2001,9,,,
2002,1,1794,1309,485
2002,2,0,0,0
2002,3,0,0,0
2002,4,0,0,0
2002,5,0,0,0
2002,9,,,
2003,1,136,107,29
2003,2,0,0,0
2003,3,0,0,0
2003,4,0,0,0
2003,5,0,0,0
2003,9,,,
2004,1,1811,1519,292
2004,2,0,0,0
2004,3,0,0,0
2004,4,0,0,0
2004,5,0,0,0
2004,9,,,
2005,1,168,154,14
2005,2,7,6,1
2005,3,0,0,0
2005,4,0,0,0
2005,5,0,0,0
2005,9,,,
2006,1,67,61,6
2006,2,0,0,0
2006,3,0,0,0
2006,4,0,0,0
2006,5,0,0,0
2006,9,,,
2007,1,45,29,16
2007,2,0,0,0
2007,3,0,0,0
2007,4,0,0,0
2007,5,0,0,0
2007,9,,,
3001,1,207,163,44
3001,2,39,33,6
3001,3,0,0,0
3001,4,0,0,0
3001,5,0,0,0
3001,9,,,
3002,1,52,36,16
3002,2,0,0,0
3002,3,0,0,0
3002,4,0,0,0
3002,5,0,0,0
3002,9,,,
3003,1,624,464,160
3003,2,0,0,0
3003,3,0,0,0
3003,4,0,0,0
3003,5,0,0,0
3003,9,,,
3008,1,376,280,96
3008,2,106,75,31
3008,3,0,0,0
3008,4,0,0,0
3008,5,0,0,0
3008,9,,,
3009,1,28,23,5
3009,2,8,6,2
3009,3,0,0,0
3009,4,0,0,0
3009,5,0,0,0
3009,9,,,
4001,1,0,0,0
4001,2,0,0,0
4001,3,0,0,0
4001,4,44,44,0
4001,5,0,0,0
4001,9,,,
4002,1,0,0,0
4002,2,0,0,0
4002,3,0,0,0
4002,4,0,0,0
4002,5,0,0,0
4002,9,,,
4003,1,246,208,38
4003,2,0,0,0
4003,3,0,0,0
4003,4,0,0,0
4003,5,0,0,0
4003,9,,,
4004,1,70,67,3
4004,2,0,0,0
4004,3,0,0,0
4004,4,0,0,0
4004,5,0,0,0
4004,9,,,
4005,1,64,61,3
4005,2,0,0,0
4005,3,0,0,0
4005,4,0,0,0
4005,5,0,0,0
4005,9,,,
4006,1,0,0,0
4006,2,0,0,0
4006,3,0,0,0
4006,4,37,37,0
4006,5,0,0,0
4006,9,,,
4007,1,37,32,5
4007,2,0,0,0
4007,3,0,0,0
4007,4,0,0,0
4007,5,0,0,0
4007,9,,,
4008,1,0,0,0
4008,2,0,0,0
4008,3,0,0,0
4008,4,40,39,1
4008,5,0,0,0
4008,9,,,
4009,1,54,53,1
4009,2,0,0,0
4009,3,0,0,0
4009,4,0,0,0
4009,5,0,0,0
4009,9,,,
4010,1,0,0,0
4010,2,0,0,0
4010,3,0,0,0
4010,4,0,0,0
4010,5,0,0,0
4010,9,,,
4011,1,0,0,0
4011,2,0,0,0
4011,3,0,0,0
4011,4,26,26,0
4011,5,0,0,0
4011,9,,,
4012,1,NA,NA,NA
4012,2,NA,NA,NA
4012,3,NA,NA,NA
4012,4,NA,NA,NA
4012,5,NA,NA,NA
4012,9,,,
4013,1,NA,NA,NA
4013,2,NA,NA,NA
4013,3,NA,NA,NA
4013,4,NA,NA,NA
4013,5,NA,NA,NA
4013,9,,,
5001,1,3,3,0
5001,2,0,0,0
5001,3,0,0,0
5001,4,0,0,0
5001,5,0,0,0
5001,9,,,
5002,1,111,70,41
5002,2,0,0,0
5002,3,0,0,0
5002,4,0,0,0
5002,5,0,0,0
5002,9,,,
5003,1,0,0,0
5003,2,0,0,0
5003,3,0,0,0
5003,4,0,0,0
5003,5,0,0,0
5003,9,,,
5004,1,48,36,12
5004,2,0,0,0
5004,3,0,0,0
5004,4,0,0,0
5004,5,0,0,0
5004,9,,,
5005,1,3,2,1
5005,2,0,0,0
5005,3,0,0,0
5005,4,0,0,0
5005,5,0,0,0
5005,9,,,
5006,1,15,13,2
5006,2,0,0,0
5006,3,0,0,0
5006,4,0,0,0
5006,5,0,0,0
5006,9,,,
5007,1,9,6,3
5007,2,0,0,0
5007,3,0,0,0
5007,4,0,0,0
5007,5,0,0,0
5007,9,,,
5008,1,NA,NA,NA
5008,2,NA,NA,NA
5008,3,NA,NA,NA
5008,4,NA,NA,NA
5008,5,NA,NA,NA
5008,9,,,
5009,1,69,50,19
5009,2,0,0,0
5009,3,0,0,0
5009,4,0,0,0
5009,5,0,0,0
5009,9,,,
5010,1,70,58,12
5010,2,0,0,0
5010,3,0,0,0
5010,4,0,0,0
5010,5,0,0,0
5010,9,,,
5011,1,12,7,5
5011,2,0,0,0
5011,3,0,0,0
5011,4,0,0,0
5011,5,0,0,0
5011,9,,,
5012,1,NA,NA,NA
5012,2,NA,NA,NA
5012,3,NA,NA,NA
5012,4,NA,NA,NA
5012,5,NA,NA,NA
5012,9,,,
5013,1,NA,NA,NA
5013,2,NA,NA,NA
5013,3,NA,NA,NA
5013,4,NA,NA,NA
5013,5,NA,NA,NA
5013,9,,,
5014,1,12,10,2
5014,2,0,0,0
5014,3,0,0,0
5014,4,0,0,0
5014,5,0,0,0
5014,9,,,
5015,1,NA,NA,NA
5015,2,NA,NA,NA
5015,3,NA,NA,NA
5015,4,NA,NA,NA
5015,5,NA,NA,NA
5015,9,,,
5016,1,5,5,0
5016,2,0,0,0
5016,3,0,0,0
5016,4,0,0,0
5016,5,0,0,0
5016,9,,,
5017,1,80,60,20
5017,2,0,0,0
5017,3,0,0,0
5017,4,0,0,0
5017,5,0,0,0
5017,9,,,
5018,1,115,65,50
5018,2,56,56,0
5018,3,0,0,0
5018,4,0,0,0
5018,5,0,0,0
5018,9,,,
5019,1,5,3,2
5019,2,0,0,0
5019,3,0,0,0
5019,4,0,0,0
5019,5,0,0,0
5019,9,,,
5020,1,42,29,13
5020,2,0,0,0
5020,3,0,0,0
5020,4,0,0,0
5020,5,0,0,0
5020,9,,,
5021,1,6,5,1
5021,2,0,0,0
5021,3,0,0,0
5021,4,0,0,0
5021,5,0,0,0
5021,9,,,
5022,1,0,0,0
5022,2,0,0,0
5022,3,0,0,0
5022,4,0,0,0
5022,5,16,13,3
5022,9,,,
5023,1,8,7,1
5023,2,0,0,0
5023,3,0,0,0
5023,4,0,0,0
5023,5,0,0,0
5023,9,,,
5024,1,39,31,8
5024,2,2,2,0
5024,3,0,0,0
5024,4,0,0,0
5024,5,0,0,0
5024,9,,,
5025,1,71,50,21
5025,2,0,0,0
5025,3,0,0,0
5025,4,0,0,0
5025,5,0,0,0
5025,9,,,
5026,1,NA,NA,NA
5026,2,NA,NA,NA
5026,3,NA,NA,NA
5026,4,NA,NA,NA
5026,5,NA,NA,NA
5026,9,,,
5027,1,131,89,42
