ubicageo_f,rnsnni1,acfoic1,acfoic2,acfoic3,acfoic4,acfoic6,acfoic7,acfoic8,acfoic9,sexostt,sexos1,sexos2
1001,1,3,3,0,0,3,3,0,0,1200,930,270
1002,1,13,13,0,0,13,13,0,0,13,8,5
1003,1,1,1,0,0,1,1,0,0,4,0,4
1004,1,9,9,0,0,9,9,0,0,21,12,9
1005,1,24,24,0,0,24,24,0,0,24,7,17
1006,1,13,12,0,1,13,12,0,1,41,16,25
1007,1,44,44,0,0,44,44,0,0,44,31,13
1008,1,9,9,0,0,9,9,0,0,19,13,6
1009,1,3,0,3,0,3,0,3,0,3,2,1
1010,1,8,8,0,0,8,8,0,0,28,17,11
1011,1,1,1,0,0,1,1,0,0,10,2,8
2001,1,60,60,0,0,60,60,0,0,60,30,30
2002,1,1465,0,0,1465,1465,0,0,1465,1465,1067,398
2003,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2004,1,129,73,56,0,129,73,56,0,1496,1244,252
2005,1,14,5,2,7,14,5,2,7,52,48,4
2006,1,1,1,0,0,1,1,0,0,69,62,7
2007,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3001,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3002,9,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS
3003,1,55,55,0,0,55,55,0,0,1544,1143,401
3008,1,7,3,4,0,7,3,4,0,210,136,74
3009,1,17,11,6,0,17,11,6,0,95,57,38
4001,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4002,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4003,1,3,3,0,0,3,3,0,0,246,208,38
4004,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4005,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4006,9,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS
4007,1,6,4,2,0,6,4,2,0,29,29,0
4008,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4009,1,2,0,2,0,2,0,2,0,31,30,1
