ubicageo_f,listtema_o,norealiz,accfor1,accfor2,sexostt,sexos1,sexosne
1001,101,NA,NA,NA,NA,NA,1
1001,102,NA,NA,NA,NA,NA,1
1001,103,NA,NA,NA,NA,NA,1
1001,104,NA,NA,NA,NA,NA,1
1001,105,1,1,63,49,14,
1001,106,NA,NA,NA,NA,NA,1
1001,107,NA,NA,NA,NA,NA,1
1001,108,NA,NA,NA,NA,NA,1
1001,201,NA,NA,NA,NA,NA,1
1001,202,NA,NA,NA,NA,NA,1
1001,203,NA,NA,NA,NA,NA,1
1001,204,NA,NA,NA,NA,NA,1
1001,205,1,1,120,90,30,
1001,206,1,1,1200,930,270,
1001,207,NA,NA,NA,NA,NA,1
1001,301,NA,NA,NA,NA,NA,1
1001,302,NA,NA,NA,NA,NA,1
1001,303,NA,NA,NA,NA,NA,1
1001,304,NA,NA,NA,NA,NA,1
1001,305,NA,NA,NA,NA,NA,1
1001,306,NA,NA,NA,NA,NA,1
1001,307,NA,NA,NA,NA,NA,1
1001,308,NA,NA,NA,NA,NA,1
1001,309,NA,NA,NA,NA,NA,1
1001,310,NA,NA,NA,NA,NA,1
1001,400,NA,NA,NA,NA,NA,1
1001,500,NA,NA,NA,NA,NA,1
1001,600,NA,NA,NA,NA,NA,1
1002,101,NA,NA,NA,NA,NA,1
1002,102,NA,NA,NA,NA,NA,1
1002,103,NA,NA,NA,NA,NA,1
1002,104,NA,NA,NA,NA,NA,1
1002,105,NA,NA,NA,NA,NA,1
1002,106,NA,NA,NA,NA,NA,1
1002,107,NA,NA,NA,NA,NA,1
1002,108,NA,NA,NA,NA,NA,1
1002,201,6,6,6,4,2,
1002,202,NA,NA,NA,NA,NA,1
1002,203,NA,NA,NA,NA,NA,1
1002,204,NA,NA,NA,NA,NA,1
1002,205,5,5,5,2,3,
1002,206,2,2,2,2,0,
1002,207,NA,NA,NA,NA,NA,1
1002,301,NA,NA,NA,NA,NA,1
1002,302,NA,NA,NA,NA,NA,1
1002,303,NA,NA,NA,NA,NA,1
1002,304,NA,NA,NA,NA,NA,1
1002,305,NA,NA,NA,NA,NA,1
1002,306,NA,NA,NA,NA,NA,1
1002,307,NA,NA,NA,NA,NA,1
1002,308,NA,NA,NA,NA,NA,1
1002,309,NA,NA,NA,NA,NA,1
1002,310,NA,NA,NA,NA,NA,1
1002,400,NA,NA,NA,NA,NA,1
1002,500,NA,NA,NA,NA,NA,1
1002,600,NA,NA,NA,NA,NA,1
1003,101,NA,NA,NA,NA,NA,1
1003,102,NA,NA,NA,NA,NA,1
1003,103,NA,NA,NA,NA,NA,1
1003,104,NA,NA,NA,NA,NA,1
1003,105,1,1,4,0,4,
1003,106,NA,NA,NA,NA,NA,1
1003,107,NA,NA,NA,NA,NA,1
1003,108,NA,NA,NA,NA,NA,1
1003,201,1,1,4,0,4,
1003,202,NA,NA,NA,NA,NA,1
