COLUMNA,DESCRIPCION,ORIGEN,TIPO_DATO,LONGITUD,CODIGO_VALIDO
ubicageo_f,Municipio,SECC I. 17,Numérico,5,0 al 99999
orgapoli_k,Tipo de corporación policial,SECC I. 17,Numérico,1,1 al 9
esevsett,Total,SECC I. 17,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
esevse1,Total - Hombres,SECC I. 17,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
esevse2,Total - Mujeres,SECC I. 17,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
esevses1,Con evaluaciones aprobatorias vigentes - Subtotal,SECC I. 17,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
esevse3,Con evaluaciones aprobatorias vigentes - Hombres,SECC I. 17,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
esevse4,Con evaluaciones aprobatorias vigentes - Mujeres,SECC I. 17,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
esevse5,Con evaluaciones aprobatorias vigentes - No especificado,SECC I. 17,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
esevses2,Con evaluaciones aprobatorias no vigentes - Subtotal,SECC I. 17,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
esevse6,Con evaluaciones aprobatorias no vigentes - Hombres,SECC I. 17,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
esevse7,Con evaluaciones aprobatorias no vigentes - Mujeres,SECC I. 17,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
esevses3,Con evaluaciones vigentes no aprobatorias - Subtotal,SECC I. 17,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
esevse9,Con evaluaciones vigentes no aprobatorias - Hombres,SECC I. 17,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
esevse10,Con evaluaciones vigentes no aprobatorias - Mujeres,SECC I. 17,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
esevses4,Programados a evaluaciones - Subtotal,SECC I. 17,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
esevse12,Programados a evaluaciones - Hombres,SECC I. 17,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
esevse13,Programados a evaluaciones - Mujeres,SECC I. 17,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
esevses5,Evaluados con resultados pendientes - Subtotal,SECC I. 17,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
esevse15,Evaluados con resultados pendientes - Hombres,SECC I. 17,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
esevse16,Evaluados con resultados pendientes - Mujeres,SECC I. 17,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
esevses6,Sin evaluación - Subtotal,SECC I. 17,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
esevse18,Sin evaluación - Hombres,SECC I. 17,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
esevse19,Sin evaluación - Mujeres,SECC I. 17,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
esevsenh,No especificado - Hombres,SECC I. 17,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
esevsenm,No especificado - Mujeres,SECC I. 17,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
esevsens,No especificado - Subtotal,SECC I. 17,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
