COLUMNA,DESCRIPCION,ORIGEN,TIPO_DATO,LONGITUD,CODIGO_VALIDO
ubicageo_f,Municipio,SECC I. 19,Numérico,5,0 al 99999
orgapoli_j,Tipo de organización policial,SECC I. 19,Numérico,2,11 al 99
esprott,Total,SECC I. 19,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
espro1,Total - Hombres,SECC I. 19,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
espro2,Total - Mujeres,SECC I. 19,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
espros1,Formación inicial - Policía preventivo - Subtotal,SECC I. 19,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
espro3,Formación inicial - Policía preventivo - Hombres,SECC I. 19,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
espro4,Formación inicial - Policía preventivo - Mujeres,SECC I. 19,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
espros2,"Formación inicial - Evaluadores de riesgos procesales, supervisores de medidas cautelares y suspensión condicional del proceso - Subtotal",SECC I. 19,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
espro6,"Formación inicial - Evaluadores de riesgos procesales, supervisores de medidas cautelares y suspensión condicional del proceso - Hombres",SECC I. 19,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
espro7,"Formación inicial - Evaluadores de riesgos procesales, supervisores de medidas cautelares y suspensión condicional del proceso - Mujeres",SECC I. 19,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
espros3,Formación inicial - No identificado - Subtotal,SECC I. 19,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
espro9,Formación inicial - No identificado - Hombres,SECC I. 19,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
espro10,Formación inicial - No identificado - Mujeres,SECC I. 19,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
espros4,Formación continua (actualización) - Policía de tránsito - Subtotal,SECC I. 19,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
espro12,Formación continua (actualización) - Policía de tránsito - Hombres,SECC I. 19,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
espro13,Formación continua (actualización) - Policía de tránsito - Mujeres,SECC I. 19,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
espros5,Formación continua (actualización) - Introducción a las metodologías de investigación cuantitativa y cualitativa en materia de seguridad pública - Subtotal,SECC I. 19,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
espro15,Formación continua (actualización) - Introducción a las metodologías de investigación cuantitativa y cualitativa en materia de seguridad pública - Hombres,SECC I. 19,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
espro16,Formación continua (actualización) - Introducción a las metodologías de investigación cuantitativa y cualitativa en materia de seguridad pública - Mujeres,SECC I. 19,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
espros6,Formación continua (actualización) - No identificado - Subtotal,SECC I. 19,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
espro18,Formación continua (actualización) - No identificado - Hombres,SECC I. 19,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
espro19,Formación continua (actualización) - No identificado - Mujeres,SECC I. 19,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
espros7,Formación continua (especialización) - Policía procesal - Subtotal,SECC I. 19,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
espro21,Formación continua (especialización) - Policía procesal - Hombres,SECC I. 19,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
espro22,Formación continua (especialización) - Policía procesal - Mujeres,SECC I. 19,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
espros8,Formación continua (especialización) - Policía de tránsito especializado - Subtotal,SECC I. 19,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
espro24,Formación continua (especialización) - Policía de tránsito especializado - Hombres,SECC I. 19,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
espro25,Formación continua (especialización) - Policía de tránsito especializado - Mujeres,SECC I. 19,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
