ARCHIVO,CONTENIDO
m3s1p106,"Unidades de infraestructura policial de la institución encargada de la función de seguridad pública, según tipo de infraestructura y condición de funcionamiento, al cierre del año 2022."
m3s1p107,"Comandancias, estaciones y subestaciones de policía en funcionamiento de la institución encargada de la función de seguridad pública, según áreas o espacios físicos de infraestructura con los que contaban, al cierre del año 2022."
m3s1p107cp1,"Comandancias, estaciones y subestaciones de policía en funcionamiento de la institución encargada de la función de seguridad pública, según ubicación geográfica, al cierre del año 2022."
m3s1p108,"Comandancias, estaciones y subestaciones de policía en funcionamiento de la institución encargada de la función de seguridad pública, según áreas o espacios físicos de infraestructura especializada para el personal con los que contaban, al cierre del año 2022."
m3s1p109,"Comandancias, estaciones y subestaciones de policía en funcionamiento de la institución encargada de la función de seguridad pública, según elementos del depósito de armas con los que contaban, al cierre del año 2022."
m3s1p110,"Armas reportadas como desaparecidas o perdidas y recuperadas de las comandancias, estaciones y subestaciones de policía en funcionamiento de la institución encargada de la función de seguridad pública, según tipo, durante el año 2022."
m3s1p111,"Celdas preventivas de las comandancias, estaciones y subestaciones de policía en funcionamiento de la institución encargada de la función de seguridad pública y personas detenidas en las celdas, según sexo y condición de edad, al cierre del año 2022."
m3s1p112,"Comandancias, estaciones y subestaciones de policía en funcionamiento de la institución encargada de la función de seguridad pública, según equipo y/o servicios tecnológicos con los que contaban, al cierre del año 2022."
m3s1p113,"Computadoras de las comandancias, estaciones y subestaciones de policía en funcionamiento de la institución encargada de la función de seguridad pública, al cierre del año 2022."
m3s1p114,"Cuarteles de policía en funcionamiento de la institución encargada de la función de seguridad pública, según áreas o espacios físicos de infraestructura con los que contaban, al cierre del año 2022."
m3s1p114cp2,"Cuarteles de policía en funcionamiento de la institución encargada de la función de seguridad pública, según ubicación geográfica, al cierre del año 2022."
m3s1p115,"Cuarteles de policía en funcionamiento de la institución encargada de la función de seguridad pública, según áreas o espacios físicos de infraestructura especializada para el personal con los que contaban, al cierre del año 2022."
m3s1p116,"Cámaras de vigilancia en la vía pública de la institución encargada de la función de seguridad pública y videos entregados para fines de investigación, según tipo de cámara, al cierre del año 2022."
m3s1p117,"Botones de pánico de la institución encargada de la función de seguridad pública y ocasiones en que fueron activados, según tipo de botón, al cierre del año 2022."
m3s1p118,"Equipamiento tecnológico de la institución encargada de la función de seguridad pública, según tipo, al cierre del año 2022."
m3s1p119,"Vehículos de la institución encargada de la función de seguridad pública para el despliegue policial, según tipo, al cierre del año 2022."
m3s1p120,"Líneas y aparatos telefónicos de la institución encargada de la función de seguridad pública, según tipo, al cierre del año 2022."
m3s1p121,"Equipo informático en funcionamiento de la institución encargada de la función de seguridad pública, según tipo, al cierre del año 2022."
