ubicageo_f,infrapol_b,inffuntt,inffun1,inffun2,inffunne
1001,10,9,9,0,
1001,20,0,0,0,
1001,31,0,0,0,
1001,32,0,0,0,
1001,40,0,0,0,
1002,10,1,1,0,
1002,20,1,1,0,
1002,31,0,0,0,
1002,32,0,0,0,
1002,40,0,0,0,
1003,10,1,1,0,
1003,20,0,0,0,
1003,31,3,0,3,
1003,32,0,0,0,
1003,40,0,0,0,
1004,10,1,1,0,
1004,20,0,0,0,
1004,31,0,0,0,
1004,32,0,0,0,
1004,40,0,0,0,
1005,10,1,1,0,
1005,20,0,0,0,
1005,31,0,0,0,
1005,32,0,0,0,
1005,40,0,0,0,
1006,10,1,1,0,
1006,20,0,0,0,
1006,31,4,0,4,
1006,32,0,0,0,
1006,40,0,0,0,
1007,10,1,1,0,
1007,20,0,0,0,
1007,31,5,0,5,
1007,32,0,0,0,
1007,40,NA,NA,NA,
1008,10,1,1,0,
1008,20,0,0,0,
1008,31,2,0,2,
1008,32,0,0,0,
1008,40,0,0,0,
1009,10,1,1,0,
1009,20,0,0,0,
1009,31,0,0,0,
1009,32,0,0,0,
1009,40,0,0,0,
1010,10,1,1,0,
1010,20,0,0,0,
1010,31,0,0,0,
1010,32,0,0,0,
1010,40,0,0,0,
1011,10,2,2,0,
1011,20,0,0,0,
1011,31,0,0,0,
1011,32,0,0,0,
1011,40,0,0,0,
2001,10,10,10,0,
2001,20,0,0,0,
2001,31,0,0,0,
2001,32,0,0,0,
2001,40,0,0,0,
2002,10,44,44,0,
2002,20,0,0,0,
2002,31,1,1,0,
2002,32,0,0,0,
2002,40,0,0,0,
2003,10,1,1,0,
2003,20,0,0,0,
2003,31,0,0,0,
2003,32,0,0,0,
2003,40,0,0,0,
2004,10,21,21,0,
2004,20,0,0,0,
2004,31,0,0,0,
2004,32,44,32,12,
2004,40,0,0,0,
2005,10,3,3,0,
2005,20,0,0,0,
2005,31,0,0,0,
2005,32,0,0,0,
2005,40,0,0,0,
2006,10,8,8,0,
2006,20,0,0,0,
2006,31,0,0,0,
2006,32,0,0,0,
2006,40,0,0,0,
2007,10,1,1,0,
2007,20,0,0,0,
2007,31,0,0,0,
2007,32,0,0,0,
2007,40,0,0,0,
3001,10,12,12,0,
3001,20,0,0,0,
3001,31,7,3,4,
3001,32,0,0,0,
3001,40,0,0,0,
3002,10,19,15,4,
3002,20,0,0,0,
3002,31,0,0,0,
3002,32,0,0,0,
3002,40,0,0,0,
3003,10,20,20,0,
3003,20,0,0,0,
3003,31,16,5,11,
3003,32,0,0,0,
3003,40,0,0,0,
3008,10,19,19,0,
3008,20,0,0,0,
3008,31,0,0,0,
3008,32,0,0,0,
3008,40,0,0,0,
3009,10,6,6,0,
3009,20,0,0,0,
3009,31,0,0,0,
3009,32,0,0,0,
3009,40,0,0,0,
4001,10,1,1,0,
4001,20,0,0,0,
4001,31,3,3,0,
4001,32,0,0,0,
4001,40,0,0,0,
4002,10,0,0,0,
4002,20,0,0,0,
4002,31,0,0,0,
4002,32,0,0,0,
4002,40,0,0,0,
4003,10,1,1,0,
4003,20,10,10,0,
4003,31,2,1,1,
4003,32,0,0,0,
4003,40,0,0,0,
