ubicageo_f,numeral,nombre1,rnsnni1,armrec1,armrec2,armrec3,armrec4,armrec5,armrec6,armrec7,armrec8,armrec9,armrec11,armrec12,armrec13,armrec14,armrec15,armrec16,armrec17,armrec18,armrec19
1001,1,COMPLEJO DE SEGURIDAD PUBLICA,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
1001,2,DELEGACION POCITOS,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1001,3,DELEGACION JESUS TERAN,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1001,4,DELEGACION INSURGENTES,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1001,5,GRUPO DE POLICIA MONTADA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1001,6,BINOMIO CANINO,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1001,7,POLICIA DE ATENCION A LA VIOLENCIA DE GENERO,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1001,8,UNIDAD DE ATENCION A LA VIOLENCIA DE GENERO Y FAMILIAR,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1001,9,GRUPO DE OPERACIONES Y SERVICIOS AEREOS,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1002,1,DIRECCION DE SEGURIDAD PUBLICA Y MOVILIDAD,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1003,1,SECRETARIA DE SEGURIDAD PUBLICA Y VIALIDAD DEL MUNICIPIO DE CALVILLO,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1004,1,DIRECCION DE SEGURIDAD PUBLICA Y VIALIDAD DEL MUNICIPIO DE COSIO,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1005,1,COMANDANCIA OPERATIVA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1006,1,DIRECCION DE SEGURIDAD PUBLICA Y MOVILIDAD MUNICIPAL DE PABELLON DE ARTEAGA AGUASCALIENTES,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1007,1,DIRECCION DE SEGURIDAD PUBLICA Y MOVILIDAD,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1008,1,DIRECCION DE SEGURIDAD PUBLICA Y MOVILIDAD MUNICIPAL,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1009,1,DIRECCION DE SEGURIDAD PUBLICA Y MOVILIDAD,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1010,1,DIRECCION DE SEGURIDAD PUBLICA Y VIALIDAD EL LLANO,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1011,1,DIRECCION DE SEGURIDAD PUBLICA Y MOVILIDAD MUNICIPAL,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1011,2,SUBCOMANDANCIA LA RIBERA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001,1,ESTACION CENTRAL,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001,2,SUR,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001,3,PUNTABANDA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001,4,ORIENTE,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001,5,17 DE ABRIL,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001,6,CENTRO,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
