ubicageo_f,numeral,nombre1,rnsnni1,coedsett,coedse1,coedse2,coedse3,coedses1,coedse4,coedse5,coedse6,coedses2,coedse8,coedse9,coedse10,coedse11,coedses3,coedse12,coedse13,coedse14,coedsens,coedse16,coedse18,mymenitt,mymeni1,mymeni2,mymeni3,mymenint,mymenis1,mymeni4,mymeni5,mymeni6,mymeni7,mymenis2,mymeni8,mymeni9,mymeni10,mymeni11,mymenis3,mymeni12,mymeni13,mymeni14,mymenins,mymeni16,mymeni17
1001,1,COMPLEJO DE SEGURIDAD PUBLICA,1,18,17,1,0,16,16,0,0,1,1,0,0,,1,0,1,0,,,,33640,33632,8,0,,30814,30807,7,0,,2826,2825,1,0,,0,0,0,0,,,
1001,2,DELEGACION POCITOS,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,,
1001,3,DELEGACION JESUS TERAN,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,,
1001,4,DELEGACION INSURGENTES,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,,
1001,5,GRUPO DE POLICIA MONTADA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,,
1001,6,BINOMIO CANINO,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,,
1001,7,POLICIA DE ATENCION A LA VIOLENCIA DE GENERO,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,,
1001,8,UNIDAD DE ATENCION A LA VIOLENCIA DE GENERO Y FAMILIAR,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,,
1001,9,GRUPO DE OPERACIONES Y SERVICIOS AEREOS,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,,
1002,1,DIRECCION DE SEGURIDAD PUBLICA Y MOVILIDAD,1,3,3,0,0,2,2,0,0,1,1,0,0,,0,0,0,0,,,,936,936,0,0,,886,886,0,0,,50,50,0,0,,0,0,0,0,,,
1003,1,SECRETARIA DE SEGURIDAD PUBLICA Y VIALIDAD DEL MUNICIPIO DE CALVILLO,1,5,5,0,0,4,4,0,0,1,1,0,0,,0,0,0,0,,,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,,
1004,1,DIRECCION DE SEGURIDAD PUBLICA Y VIALIDAD DEL MUNICIPIO DE COSIO,1,3,2,1,0,2,1,1,0,1,1,0,0,,0,0,0,0,,,,542,493,49,0,,524,475,49,0,,18,18,0,0,,0,0,0,0,,,
1005,1,COMANDANCIA OPERATIVA,1,14,12,2,0,11,10,1,0,3,2,1,0,,0,0,0,0,,,,5935,5000,935,0,,5555,4689,866,0,,380,311,69,0,,0,0,0,0,,,
1006,1,DIRECCION DE SEGURIDAD PUBLICA Y MOVILIDAD MUNICIPAL DE PABELLON DE ARTEAGA AGUASCALIENTES,1,4,3,1,0,2,2,0,0,1,1,0,0,,1,0,1,0,,,,3019,3019,0,0,,2813,2813,0,0,,206,206,0,0,,0,0,0,0,,,
1007,1,DIRECCION DE SEGURIDAD PUBLICA Y MOVILIDAD,1,5,4,1,0,3,3,0,0,1,1,0,0,,1,0,1,0,,,,1234,1222,12,0,,1153,1146,7,0,,81,76,5,0,,0,0,0,0,,,
1008,1,DIRECCION DE SEGURIDAD PUBLICA Y MOVILIDAD MUNICIPAL,1,4,3,1,0,2,2,0,0,1,1,0,0,,1,0,1,0,,,,362,278,84,0,,354,272,82,0,,8,6,2,0,,0,0,0,0,,,
1009,1,DIRECCION DE SEGURIDAD PUBLICA Y MOVILIDAD,1,2,0,0,2,1,0,0,1,1,0,0,1,,0,0,0,0,,,,519,469,50,0,,493,446,47,0,,26,23,3,0,,0,0,0,0,,,
1010,1,DIRECCION DE SEGURIDAD PUBLICA Y VIALIDAD EL LLANO,1,5,3,1,1,4,3,1,0,1,0,0,1,,0,0,0,0,,,,1394,1235,159,0,,1302,1151,151,0,,92,84,8,0,,0,0,0,0,,,
1011,1,DIRECCION DE SEGURIDAD PUBLICA Y MOVILIDAD MUNICIPAL,1,7,6,1,0,6,5,1,0,1,1,0,0,,0,0,0,0,,,,5625,4577,1048,0,,4685,3742,943,0,,940,835,105,0,,0,0,0,0,,,
1011,2,SUBCOMANDANCIA LA RIBERA,1,4,3,1,0,3,2,1,0,1,1,0,0,,0,0,0,0,,,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,,
2001,1,ESTACION CENTRAL,1,9,8,1,0,5,4,1,0,4,4,0,0,,0,0,0,0,,,,17217,16497,720,0,,14267,13547,720,0,,2950,2950,0,0,,0,0,0,0,,,
2001,2,SUR,1,5,4,1,0,3,3,0,0,2,1,1,0,,0,0,0,0,,,,15352,15254,98,0,,14190,14190,0,0,,1162,1064,98,0,,0,0,0,0,,,
2001,3,PUNTABANDA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,,
2001,4,ORIENTE,1,5,4,1,0,3,2,1,0,2,2,0,0,,0,0,0,0,,,,4800,4800,0,0,,3570,3570,0,0,,1230,1230,0,0,,0,0,0,0,,,
2001,5,17 DE ABRIL,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,,
2001,6,CENTRO,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,,
2001,7,NORTE,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,,
2001,8,PONIENTE,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,,
2001,9,LOMA LINDA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,,
2001,10,COP,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,,
2002,1,COMANDANCIA CENTRAL,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,,
2002,2,ESTACION CARBAJAL,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,,
2002,3,ESTACION HIDALGO,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,,
2002,4,ESTACION INDEPENDENCIA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,,
2002,5,ESTACION LOMAS ALTAS,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,,
2002,6,ESTACION VILLAS DEL SOL,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,,
2002,7,SUBCOMANDANCIA NOROESTE - ZONA CENTRO,1,4,2,2,0,2,1,1,0,2,1,1,0,,0,0,0,0,,,,NSS,NSS,NSS,NSS,,NSS,NSS,NSS,NSS,,NSS,NSS,NSS,NSS,,NSS,NSS,NSS,NSS,,,
2002,8,ESTACION INDUSTRIAL,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,,
2002,9,ESTACION BAJA CALIFORNIA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,,
