ubicageo_f,numeral,nombre1,rnsnni1,equtec1,equtec2,equtec3,equtec4,equtec5,equtec6
1001,1,COMPLEJO DE SEGURIDAD PUBLICA,1,,1,1,,,
1001,2,DELEGACION POCITOS,1,,1,,,,
1001,3,DELEGACION JESUS TERAN,1,,1,,,,
1001,4,DELEGACION INSURGENTES,1,,1,,,,
1001,5,GRUPO DE POLICIA MONTADA,1,,1,,,,
1001,6,BINOMIO CANINO,1,,1,,,,
1001,7,POLICIA DE ATENCION A LA VIOLENCIA DE GENERO,1,,1,,,,
1001,8,UNIDAD DE ATENCION A LA VIOLENCIA DE GENERO Y FAMILIAR,1,,1,,,,
1001,9,GRUPO DE OPERACIONES Y SERVICIOS AEREOS,1,,1,,,,
1002,1,DIRECCION DE SEGURIDAD PUBLICA Y MOVILIDAD,1,1,1,1,,1,
1003,1,SECRETARIA DE SEGURIDAD PUBLICA Y VIALIDAD DEL MUNICIPIO DE CALVILLO,1,1,1,1,1,,
1004,1,DIRECCION DE SEGURIDAD PUBLICA Y VIALIDAD DEL MUNICIPIO DE COSIO,1,1,1,1,,,
1005,1,COMANDANCIA OPERATIVA,1,1,1,1,1,1,
1006,1,DIRECCION DE SEGURIDAD PUBLICA Y MOVILIDAD MUNICIPAL DE PABELLON DE ARTEAGA AGUASCALIENTES,1,1,1,1,1,,
1007,1,DIRECCION DE SEGURIDAD PUBLICA Y MOVILIDAD,1,1,1,1,,,
1008,1,DIRECCION DE SEGURIDAD PUBLICA Y MOVILIDAD MUNICIPAL,1,,1,1,,,
1009,1,DIRECCION DE SEGURIDAD PUBLICA Y MOVILIDAD,1,1,1,1,1,,
1010,1,DIRECCION DE SEGURIDAD PUBLICA Y VIALIDAD EL LLANO,1,1,1,1,,,
1011,1,DIRECCION DE SEGURIDAD PUBLICA Y MOVILIDAD MUNICIPAL,1,1,1,1,1,,
1011,2,SUBCOMANDANCIA LA RIBERA,2,NA,NA,NA,NA,NA,NA
2001,1,ESTACION CENTRAL,1,1,1,1,1,,
2001,2,SUR,1,,1,1,1,,
2001,3,PUNTABANDA,1,,1,1,,,
2001,4,ORIENTE,1,,1,1,1,,
2001,5,17 DE ABRIL,1,,1,1,1,,
2001,6,CENTRO,1,1,1,1,1,,
2001,7,NORTE,1,,1,1,1,,
2001,8,PONIENTE,1,,1,1,1,,
2001,9,LOMA LINDA,2,NA,NA,NA,NA,NA,NA
2001,10,COP,1,1,1,1,1,1,
2002,1,COMANDANCIA CENTRAL,1,1,1,,,,
2002,2,ESTACION CARBAJAL,1,1,1,,,,
2002,3,ESTACION HIDALGO,1,1,1,,,,
2002,4,ESTACION INDEPENDENCIA,1,1,1,,,,
2002,5,ESTACION LOMAS ALTAS,1,1,1,,,,
2002,6,ESTACION VILLAS DEL SOL,1,1,1,,,,
2002,7,SUBCOMANDANCIA NOROESTE - ZONA CENTRO,1,1,1,1,,,
2002,8,ESTACION INDUSTRIAL,1,1,1,,,,
2002,9,ESTACION BAJA CALIFORNIA,1,1,1,,,,
2002,10,ESTACION ESPERANZA,1,1,1,,,,
2002,11,SUBCOMANDANCIA NORESTE,1,1,1,1,,,
2002,12,ESTACION PRIMERO DE DICIEMBRE,1,1,1,,,,
2002,13,ESTACION MIRAFLORES,1,1,1,,,,
2002,14,ESTACION PIMSA,1,1,1,,,,
2002,15,SUBCOMANDANCIA ESTE,1,1,1,1,,,
2002,16,ESTACION ANGELES DE PUEBLA,1,1,1,,,,
2002,17,ESTACION ROBLEDO,1,1,1,,,,
2002,18,ESTACION RIVERA CAMPESTRE,1,1,1,,,,
2002,19,ESTACION PASEOS DEL SOL,1,1,1,,,,
2002,20,ESTACION OASIS,1,1,1,,,,
2002,21,ESTACION CARRANZA,1,1,1,,,,
2002,22,ESTACION BUGAMBILIAS,1,1,1,,,,
2002,23,SUBCOMANDANCIA OESTE,1,1,1,1,,,
2002,24,ESTACION BARCELONA,1,1,1,,,,
2002,25,ESTACION LUCIO BLANCO,1,1,1,,,,
2002,26,ESTACION MAYOS,1,1,1,,,,
2002,27,ESTACION NACIONALISTA,1,1,1,,,,
2002,28,ESTACION PAPAGO,1,1,1,,,,
2002,29,ESTACION VIRREYES,1,1,1,,,,
2002,30,COMANDANCIA VALLE SUR -GUADALUPE VICTORIA,1,1,1,1,,,
2002,31,JEFATURA CARRANZA,1,1,1,,,,
2002,32,JEFATURA CERRO PRIETO,1,1,1,,,,
2002,33,JEFATURA COLONIAS NUEVAS,1,1,1,,,,
2002,34,JEFATURA DELTA,1,1,1,,,,
2002,35,JEFATURA NAYARIT,1,1,1,,,,
2002,36,JEFATURA NUEVO LEON,1,1,1,,,,
