ubicageo_f,numeral,nombre1,rnsnni1,comint1,comint2
1001,1,COMPLEJO DE SEGURIDAD PUBLICA,1,350,250
1001,2,DELEGACION POCITOS,1,4,4
1001,3,DELEGACION JESUS TERAN,1,4,4
1001,4,DELEGACION INSURGENTES,1,4,4
1001,5,GRUPO DE POLICIA MONTADA,1,4,4
1001,6,BINOMIO CANINO,1,4,4
1001,7,POLICIA DE ATENCION A LA VIOLENCIA DE GENERO,1,4,4
1001,8,UNIDAD DE ATENCION A LA VIOLENCIA DE GENERO Y FAMILIAR,1,4,4
1001,9,GRUPO DE OPERACIONES Y SERVICIOS AEREOS,1,4,4
1002,1,DIRECCION DE SEGURIDAD PUBLICA Y MOVILIDAD,1,10,10
1003,1,SECRETARIA DE SEGURIDAD PUBLICA Y VIALIDAD DEL MUNICIPIO DE CALVILLO,1,21,16
1004,1,DIRECCION DE SEGURIDAD PUBLICA Y VIALIDAD DEL MUNICIPIO DE COSIO,1,7,7
1005,1,COMANDANCIA OPERATIVA,1,53,53
1006,1,DIRECCION DE SEGURIDAD PUBLICA Y MOVILIDAD MUNICIPAL DE PABELLON DE ARTEAGA AGUASCALIENTES,1,12,12
1007,1,DIRECCION DE SEGURIDAD PUBLICA Y MOVILIDAD,1,16,16
1008,1,DIRECCION DE SEGURIDAD PUBLICA Y MOVILIDAD MUNICIPAL,1,8,8
1009,1,DIRECCION DE SEGURIDAD PUBLICA Y MOVILIDAD,1,6,6
1010,1,DIRECCION DE SEGURIDAD PUBLICA Y VIALIDAD EL LLANO,1,8,8
1011,1,DIRECCION DE SEGURIDAD PUBLICA Y MOVILIDAD MUNICIPAL,1,12,12
1011,2,SUBCOMANDANCIA LA RIBERA,2,NA,NA
2001,1,ESTACION CENTRAL,1,60,40
2001,2,SUR,1,8,8
2001,3,PUNTABANDA,1,2,2
2001,4,ORIENTE,1,7,7
2001,5,17 DE ABRIL,2,NA,NA
2001,6,CENTRO,1,3,3
2001,7,NORTE,1,3,3
2001,8,PONIENTE,1,3,3
2001,9,LOMA LINDA,1,2,2
2001,10,COP,1,18,18
2002,1,COMANDANCIA CENTRAL,1,182,167
2002,2,ESTACION CARBAJAL,1,1,1
2002,3,ESTACION HIDALGO,1,1,1
2002,4,ESTACION INDEPENDENCIA,1,1,1
2002,5,ESTACION LOMAS ALTAS,1,1,1
2002,6,ESTACION VILLAS DEL SOL,1,1,1
2002,7,SUBCOMANDANCIA NOROESTE - ZONA CENTRO,1,12,12
2002,8,ESTACION INDUSTRIAL,1,1,1
2002,9,ESTACION BAJA CALIFORNIA,1,1,1
2002,10,ESTACION ESPERANZA,1,1,1
2002,11,SUBCOMANDANCIA NORESTE,1,46,40
2002,12,ESTACION PRIMERO DE DICIEMBRE,1,1,1
2002,13,ESTACION MIRAFLORES,1,1,1
2002,14,ESTACION PIMSA,1,1,1
2002,15,SUBCOMANDANCIA ESTE,1,26,20
2002,16,ESTACION ANGELES DE PUEBLA,1,1,1
2002,17,ESTACION ROBLEDO,1,1,1
2002,18,ESTACION RIVERA CAMPESTRE,1,1,1
