ubicageo_f,numeral,nombre1,colonia1,latitud1,longitu1,correo1,telefo1
1001,1,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
1002,1,DIRECCION DE SEGURIDAD PUBLICA Y MOVILIDAD MUNICIPIO DE ASIENTOS,JUVENTUD,22.234410,-102.091600,SEG.PUB.ASIENTOSAGS@GMAIL.COM,4969674008
1003,1,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
1004,1,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
1005,1,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
1006,1,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
1007,1,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
1008,1,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
1009,1,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
1010,1,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
1011,1,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
2001,1,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
2002,1,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
2003,1,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
2004,1,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
2005,1,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
2006,1,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
2007,1,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
3001,1,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
3002,1,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
3003,1,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
3008,1,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
3009,1,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
4001,1,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
4002,1,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
4003,1,DESTACAMENTO DE ATASTA,ATASTA,18.619390,-092.101580,NO APLICA,NO APLICA
4003,2,DESTACAMENTO DE SAN ANTONIO CARDENAS,SAN ANTONIO CARDENAS,18.617800,-092.219130,NO APLICA,NO APLICA
4003,3,DESTACAMENTO DE NUEVO PROGRESO,NUEVO PROGRESO,18.623166,-092.289672,NO APLICA,NO APLICA
4003,4,DESTACAMENTO DE ISLA AGUADA,ISLA AGUADA,18.785061,-091.495044,NO APLICA,NO APLICA
4003,5,DESTACAMENTO DE SABANCUY,SABANCUY,18.967771,-091.174602,NO APLICA,NO APLICA
4003,6,DESTACAMENTO DE CHICBUL,CHICBUL,18.776718,-090.923390,NO APLICA,NO APLICA
4003,7,DESTACAMENTO DE CHEKUBUL,CHEKUBUL,18.825109,-091.010469,NO APLICA,NO APLICA
4003,8,DESTACAMENTO DE MAMANTEL,MAMANTEL,18.525058,-091.089331,NO APLICA,NO APLICA
