ubicageo_f,vehicttt,vehict1,vehict2,vehict3,vehict4,vehict5,vehict6,vehict7,vehict8,vehict9,vehictne
1001,531,NSS,NSS,NSS,NSS,1,0,NSS,NSS,NSS,530
1002,37,2,29,0,6,0,0,0,0,0,
1003,17,0,7,9,0,0,0,0,0,1,
1004,18,3,10,5,0,0,0,0,0,0,
1005,98,26,31,20,21,0,0,0,0,0,
1006,39,1,17,7,12,0,0,0,1,1,
1007,96,4,36,6,43,0,0,0,3,4,
1008,41,4,13,14,10,0,0,0,0,0,
1009,22,1,14,7,0,0,0,0,0,0,
1010,31,3,25,3,0,0,0,0,0,0,
1011,48,14,26,2,6,0,0,0,0,0,
2001,232,52,129,41,10,0,0,0,0,0,
2002,411,179,13,66,16,1,0,0,2,134,
2003,68,2,48,8,10,0,0,0,0,0,
2004,1241,437,619,173,0,0,0,0,6,6,
2005,112,28,60,22,0,0,0,0,1,1,
2006,22,0,22,0,0,0,0,0,0,0,
2007,19,0,15,4,0,0,0,0,0,0,
3001,15,12,0,3,0,0,0,0,0,0,
3002,17,0,14,3,0,0,0,0,0,0,
3003,211,26,119,53,13,0,0,0,0,0,
3008,118,5,85,17,0,0,0,0,2,9,
3009,22,3,15,4,0,0,0,0,0,0,
4001,9,0,7,2,0,0,0,0,0,0,
4002,0,0,0,0,0,0,0,0,0,0,
4003,40,7,23,10,0,0,0,0,0,0,
4004,13,1,11,1,0,0,0,0,0,0,
4005,9,0,6,3,0,0,0,0,0,0,
4006,9,0,8,1,0,0,0,0,0,0,
4007,4,0,0,4,0,0,0,0,0,0,
4008,5,0,5,0,0,0,0,0,0,0,
4009,10,0,7,3,0,0,0,0,0,0,
4010,7,0,3,4,0,0,0,0,0,0,
4011,6,2,2,2,0,0,0,0,0,0,
4012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
4013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
5001,2,0,2,0,0,0,0,0,0,0,
5002,28,0,28,0,0,0,0,0,0,0,
5003,4,1,3,0,0,0,0,0,0,0,
5004,14,1,13,0,0,0,0,0,0,0,
5005,5,1,4,0,0,0,0,0,0,0,
5006,8,0,8,0,0,0,0,0,0,0,
5007,9,0,5,0,4,0,0,0,0,0,
5008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
5009,8,2,6,0,0,0,0,0,0,0,
5010,10,0,10,0,0,0,0,0,0,0,
5011,3,0,3,0,0,0,0,0,0,0,
5012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
5013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
5014,3,0,3,0,0,0,0,0,0,0,
5015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
5016,3,0,3,0,0,0,0,0,0,0,
5017,14,1,9,0,0,0,0,0,0,0,4
5018,38,4,32,2,0,0,0,0,0,0,
5019,2,2,0,0,0,0,0,0,0,0,
5020,11,2,7,2,0,0,0,0,0,0,
5021,4,1,3,0,0,0,0,0,0,0,
5022,12,0,12,0,0,0,0,0,0,0,
5023,4,0,4,0,0,0,0,0,0,0,
5024,20,0,10,0,10,0,0,0,0,0,
5025,60,13,42,1,0,0,0,0,0,4,
5026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
5027,39,0,39,0,0,0,0,0,0,0,
5028,6,2,4,0,0,0,0,0,0,0,
5029,3,0,3,0,0,0,0,0,0,0,
5030,370,46,276,32,0,0,0,0,2,14,
5031,4,0,4,0,0,0,0,0,0,0,
5032,9,1,7,0,0,0,0,0,1,0,
5033,13,3,10,0,0,0,0,0,0,0,
5034,2,0,2,0,0,0,0,0,0,0,
5035,296,78,132,18,35,0,0,0,0,33,
5036,9,0,7,0,2,0,0,0,0,0,
5037,4,4,0,0,0,0,0,0,0,0,
5038,6,0,2,0,4,0,0,0,0,0,
6001,12,1,11,0,0,0,0,0,0,0,
6002,34,15,1,8,10,0,0,0,0,0,
6003,10,1,7,2,0,0,0,0,0,0,
6004,14,2,10,2,0,0,0,0,0,0,
6005,19,0,19,0,0,0,0,0,0,0,
6006,11,1,7,3,0,0,0,0,0,0,
6007,66,4,34,13,10,0,0,0,1,4,
6008,9,2,4,3,0,0,0,0,0,0,
6009,52,3,40,9,0,0,0,0,0,0,
6010,53,5,39,9,0,0,0,0,0,0,
7001,14,0,9,5,0,0,0,0,0,0,
7002,4,0,3,1,0,0,0,0,0,0,
7003,10,0,0,8,0,0,0,0,0,2,
7004,3,1,2,0,0,0,0,0,0,0,
7005,4,0,2,2,0,0,0,0,0,0,
7006,11,0,5,6,0,0,0,0,0,0,
7007,8,1,3,4,0,0,0,0,0,0,
7008,14,1,4,9,0,0,0,0,0,0,
7009,6,0,5,1,0,0,0,0,0,0,
7010,7,4,0,3,0,0,0,0,0,0,
7011,2,0,1,1,0,0,0,0,0,0,
7012,14,1,9,4,0,0,0,0,0,0,
7013,8,1,4,3,0,0,0,0,0,0,
7014,3,0,2,1,0,0,0,0,0,0,
7015,13,3,6,4,0,0,0,0,0,0,
7016,3,0,1,2,0,0,0,0,0,0,
7017,28,1,9,18,0,0,0,0,0,0,
7018,2,0,2,0,0,0,0,0,0,0,
7019,93,11,26,45,8,0,0,0,0,3,
7020,13,0,3,9,0,0,0,1,0,0,
7021,10,0,5,5,0,0,0,0,0,0,
7022,4,0,3,1,0,0,0,0,0,0,
7023,2,1,1,0,0,0,0,0,0,0,
