ubicageo_f,eqinfo9,eqinfo10,eqinfo11,eqinfo1,eqinfo2,eqinfo3,eqinfo4,eqinfo5,eqinfo6,eqinfo7,rnsnni1
1001,25,14,0,382,350,32,,30,10,20,2
1002,2,0,0,10,8,2,,5,5,0,2
1003,2,0,0,21,21,0,,5,0,5,2
1004,6,1,0,11,7,4,,6,6,0,2
1005,0,0,0,56,53,3,,13,0,13,1
1006,1,0,0,12,12,0,,6,5,1,1
1007,1,0,1,16,14,2,,7,7,0,2
1008,6,1,0,10,8,2,,8,8,0,1
1009,4,0,0,6,6,0,,4,4,0,2
1010,3,1,0,12,8,4,,2,2,0,2
1011,12,1,0,12,12,0,,0,0,0,2
2001,10,8,0,120,105,15,,25,10,15,1
2002,0,21,2,350,340,10,,83,39,44,2
2003,5,1,0,17,17,0,,13,0,13,2
2004,52,24,672,569,507,62,,166,30,136,1
2005,4,0,10,68,66,2,,4,4,0,2
2006,6,4,0,11,9,2,,6,6,0,1
2007,0,0,0,13,13,0,,1,0,1,1
3001,31,0,0,31,31,0,,14,0,14,2
3002,NSS,NSS,NSS,NSS,NSS,NSS,,NSS,NSS,NSS,2
3003,22,0,0,92,91,1,,56,0,56,1
3008,NA,1,NA,49,49,0,,4,0,4,2
3009,0,1,0,11,11,0,,2,0,2,2
4001,1,0,0,9,9,0,,0,0,0,2
4002,0,0,0,0,0,0,,0,0,0,2
4003,7,3,0,60,57,3,,16,0,16,2
4004,0,0,0,7,7,0,,1,0,1,1
4005,0,0,0,3,3,0,,1,0,1,2
4006,3,0,0,4,4,0,,3,3,0,2
4007,2,0,0,2,2,0,,1,0,1,2
4008,0,0,0,1,1,0,,0,0,0,2
4009,0,0,0,8,8,0,,2,0,2,2
4010,0,0,0,2,2,0,,1,0,1,1
4011,0,0,0,6,6,0,,5,5,0,2
4012,NA,NA,NA,NA,NA,NA,,NA,NA,NA,0
4013,NA,NA,NA,NA,NA,NA,,NA,NA,NA,0
5001,0,1,0,3,3,0,,1,1,0,1
5002,0,0,0,17,15,2,,5,2,3,2
5003,1,0,0,3,3,0,,2,2,0,9
5004,1,0,0,4,4,0,,4,0,4,1
5005,1,0,0,2,2,0,,1,0,1,1
5006,1,0,0,4,4,0,,1,0,1,2
5007,1,0,0,2,2,0,,1,0,1,1
5008,NA,NA,NA,NA,NA,NA,,NA,NA,NA,0
5009,1,0,0,10,10,0,,3,0,3,2
5010,6,0,0,7,7,0,,0,0,0,2
5011,3,0,0,5,5,0,,0,0,0,2
5012,NA,NA,NA,NA,NA,NA,,NA,NA,NA,0
5013,NA,NA,NA,NA,NA,NA,,NA,NA,NA,0
5014,0,1,0,2,2,0,,0,0,0,1
5015,NA,NA,NA,NA,NA,NA,,NA,NA,NA,0
5016,0,0,0,2,2,0,,1,0,1,2
5017,1,1,0,4,4,0,,2,0,2,1
5018,2,0,0,25,25,0,,25,24,1,2
5019,1,0,0,2,2,0,,1,0,1,2
5020,2,0,0,2,2,0,,1,0,1,2
5021,1,1,0,1,1,0,,1,0,1,1
5022,4,0,0,7,6,1,,0,0,0,2
5023,0,0,0,4,4,0,,2,0,2,1
5024,0,0,0,7,7,0,,1,0,1,2
5025,2,0,0,25,25,0,,2,2,0,1
5026,NA,NA,NA,NA,NA,NA,,NA,NA,NA,0
5027,2,1,0,22,22,0,,4,0,4,2
5028,2,0,0,10,10,0,,3,0,3,1
5029,0,0,0,1,1,0,,1,1,0,1
5030,0,2,0,62,42,20,,15,0,15,1
5031,1,1,0,5,4,1,,3,3,0,1
5032,1,1,0,6,6,0,,3,0,3,2
5033,1,1,0,10,10,0,,4,3,1,2
5034,1,0,0,2,2,0,,1,1,0,1
5035,5,5,100,92,87,5,,18,16,2,2
5036,0,1,0,2,2,0,,1,0,1,1
5037,0,0,0,2,2,0,,1,0,1,2
5038,1,1,0,3,3,0,,2,1,1,2
6001,0,0,7,17,15,2,,2,1,1,1
6002,5,1,15,31,27,4,,2,2,0,2
6003,0,1,7,14,14,0,,5,0,5,1
6004,2,4,5,16,14,2,,3,0,3,1
6005,2,0,0,12,12,0,,2,0,2,2
6006,0,1,2,9,8,1,,3,2,1,1
6007,2,1,0,47,38,9,,5,0,5,1
6008,4,1,3,15,13,2,,6,5,1,1
6009,17,0,0,18,17,1,,12,11,1,2
6010,0,0,0,55,53,2,,7,0,7,1
7001,0,0,0,1,1,0,,6,2,4,1
7002,0,0,0,1,1,0,,1,0,1,2
7003,1,0,0,1,1,0,,1,0,1,1
7004,0,0,0,2,1,1,,1,1,0,2
7005,0,0,0,3,3,0,,1,0,1,2
7006,0,0,0,0,0,0,,1,1,0,2
7007,0,0,0,0,0,0,,0,0,0,2
7008,0,0,0,3,3,0,,2,2,0,1
7009,0,0,0,6,6,0,,3,0,3,2
7010,0,0,0,1,1,0,,0,0,0,1
7011,0,0,0,1,1,0,,0,0,0,2
7012,1,0,0,4,3,1,,1,0,1,1
7013,0,0,0,0,0,0,,0,0,0,2
7014,0,0,0,0,0,0,,0,0,0,2
7015,0,0,0,2,2,0,,2,1,1,2
7016,0,0,0,1,1,0,,1,1,0,2
7017,4,0,0,11,11,0,,14,3,11,1
7018,0,0,0,1,1,0,,1,1,0,2
7019,2,0,0,18,18,0,,18,18,0,1
7020,0,1,0,1,1,0,,1,0,1,2
7021,0,1,0,3,3,0,,3,3,0,1
7022,0,0,0,1,1,0,,1,1,0,2
7023,2,0,0,2,2,0,,2,2,0,2
7024,0,0,0,3,3,0,,2,2,0,2
7025,1,0,0,3,3,0,,1,1,0,1
7026,0,0,0,0,0,0,,0,0,0,2
7027,5,1,0,5,5,0,,5,5,0,2
7028,0,0,0,1,1,0,,0,0,0,2
7029,0,0,0,0,0,0,,0,0,0,2
7030,0,0,0,1,1,0,,1,1,0,2
7031,1,0,0,23,21,2,,21,21,0,2
7032,3,0,0,11,8,3,,3,0,3,1
7033,0,0,0,0,0,0,,0,0,0,2
7034,0,0,0,1,1,0,,1,1,0,2
7035,1,1,0,1,1,0,,1,0,1,2
7036,0,0,0,0,0,0,,0,0,0,9
7037,2,0,0,2,2,0,,0,0,0,2
7038,0,0,0,1,1,0,,0,0,0,2
7039,2,0,0,3,3,0,,0,0,0,2
7040,1,0,0,2,2,0,,0,0,0,2
7041,0,0,0,1,1,0,,1,1,0,1
7042,0,1,0,0,0,0,,0,0,0,2
7043,0,0,0,2,2,0,,1,1,0,1
7044,0,0,0,1,1,0,,0,0,0,2
7045,0,0,0,1,1,0,,1,1,0,1
7046,1,0,0,5,5,0,,1,1,0,2
7047,0,0,0,1,1,0,,1,0,1,2
7048,0,0,0,2,2,0,,2,0,2,2
7049,0,0,0,1,1,0,,1,1,0,2
7050,1,1,0,1,1,0,,1,1,0,2
7051,1,0,0,6,6,0,,0,0,0,2
7052,7,1,0,7,6,1,,1,1,0,2
7053,4,0,0,4,3,1,,0,0,0,2
7054,1,0,0,1,1,0,,1,0,1,1
7055,0,0,0,3,2,1,,1,0,1,2
7056,0,0,0,0,0,0,,0,0,0,2
7057,16,0,0,16,16,0,,7,0,7,2
7058,0,0,0,2,2,0,,1,0,1,2
7059,0,0,0,25,25,0,,20,0,20,1
7060,1,0,0,1,1,0,,0,0,0,1
7061,10,1,0,10,10,0,,5,0,5,1
7062,0,0,0,1,1,0,,1,1,0,1
7063,0,0,0,1,0,1,,2,2,0,2
7064,0,0,0,0,0,0,,0,0,0,2
7065,1,0,0,10,10,0,,8,8,0,1
7066,0,0,0,3,3,0,,2,2,0,2
7067,1,0,0,1,1,0,,0,0,0,2
7068,0,0,0,0,0,0,,0,0,0,2
7069,4,8,0,5,4,1,,2,1,1,1
7070,0,0,0,1,1,0,,0,0,0,2
7071,0,0,0,1,1,0,,1,1,0,2
7072,4,0,0,4,1,3,,0,0,0,1
7073,0,0,0,4,4,0,,1,0,1,2
7074,0,0,0,2,2,0,,2,2,0,1
7075,0,0,0,1,1,0,,1,1,0,2
7076,0,0,0,4,4,0,,2,2,0,2
7077,0,0,0,4,2,2,,2,2,0,2
7078,5,0,0,26,25,1,,6,0,6,1
7079,0,0,0,1,1,0,,1,0,1,2
7080,0,0,0,1,0,1,,1,0,1,2
7081,0,0,0,2,2,0,,1,0,1,2
7082,0,0,0,4,4,0,,0,0,0,2
7083,1,0,0,1,1,0,,1,1,0,1
7084,1,0,0,1,1,0,,1,0,1,1
7085,0,0,0,1,1,0,,1,1,0,1
7086,0,0,0,6,6,0,,3,0,3,9
7087,0,0,0,2,2,0,,1,0,1,2
7088,0,0,0,0,0,0,,0,0,0,2
7089,0,0,0,99,74,25,,15,0,15,1
7090,1,0,0,1,1,0,,0,0,0,1
7091,0,0,0,1,1,0,,1,0,1,2
7092,0,0,0,2,1,1,,1,0,1,2
7093,1,0,0,1,1,0,,0,0,0,2
7094,0,0,0,1,1,0,,1,1,0,1
7096,1,0,0,12,8,4,,7,7,0,2
7097,4,5,0,7,7,0,,4,3,1,1
7098,0,0,0,0,0,0,,0,0,0,9
7099,0,0,0,2,2,0,,1,0,1,1
7100,0,0,0,2,2,0,,2,0,2,2
7101,8,0,38,66,55,11,,26,24,2,2
7102,1,0,0,2,2,0,,0,0,0,2
7103,0,0,0,2,2,0,,1,1,0,2
7104,0,0,0,3,3,0,,1,0,1,2
7105,0,1,0,1,1,0,,1,0,1,1
7106,1,0,0,1,1,0,,1,1,0,2
7107,2,0,0,7,5,2,,4,0,4,1
7108,0,0,0,9,8,1,,4,0,4,1
7109,0,0,0,1,1,0,,1,1,0,2
7110,0,0,0,1,1,0,,0,0,0,2
7111,2,0,0,2,2,0,,2,2,0,2
7112,0,0,0,3,3,0,,2,2,0,2
7113,0,0,0,0,0,0,,0,0,0,2
7114,0,0,0,2,2,0,,2,2,0,1
7115,1,0,0,2,2,0,,0,0,0,2
7116,3,4,0,4,0,4,,3,2,1,2
7117,0,0,0,0,0,0,,0,0,0,2
7118,0,0,0,0,0,0,,0,0,0,2
7119,0,0,0,0,0,0,,0,0,0,2
7120,1,0,0,1,0,1,,0,0,0,2
7121,0,0,0,0,0,0,,0,0,0,2
7122,1,0,0,1,1,0,,1,0,1,1
7123,0,0,0,1,1,0,,1,0,1,2
7124,0,0,0,1,1,0,,1,1,0,2
7125,0,0,0,1,1,0,,1,0,1,1
8001,2,0,0,2,2,0,,2,1,1,2
8002,0,0,0,8,8,0,,2,1,1,2
8003,0,0,0,1,1,0,,1,1,0,2
8004,0,1,0,1,1,0,,1,1,0,2
8005,0,0,0,6,6,0,,3,1,2,2
8006,0,0,0,3,3,0,,0,0,0,2
8007,1,1,0,1,1,0,,1,0,1,1
8008,0,0,0,0,0,0,,0,0,0,2
8009,0,0,0,0,0,0,,0,0,0,2
8010,0,0,0,3,3,0,,3,0,3,2
8011,0,2,0,16,14,2,,6,5,1,2
8012,0,0,0,1,1,0,,1,0,1,2
8013,0,0,0,3,3,0,,1,0,1,1
8014,0,0,0,2,2,0,,1,1,0,9
8015,0,0,0,1,1,0,,1,0,1,1
8016,0,0,0,2,2,0,,0,0,0,2
8017,24,3,0,46,42,4,,7,7,0,2
8018,1,1,0,1,1,0,,1,1,0,1
