COLUMNA,DESCRIPCION,ORIGEN,TIPO_DATO,LONGITUD,CODIGO_VALIDO
ubicageo_f,Municipio,SECC I. 111,Numérico,5,0 al 99999
numeral,Identificador o numeral del orden que guarda cada registro capturado dentro de la lista,SECC I. 111,Carácter,4,0-5000
nombre1,"Nombre de las comandancias, estaciones o subestaciones de policía",SECC I. 111,Carácter,2500,
rnsnni1,Existencia de celdas preventivas,SECC I. 111,Numérico,2,0 al 98
coedsett,Celdas preventivas - Total,SECC I. 111,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
coedse1,Celdas preventivas - Total - Mayores de edad,SECC I. 111,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
coedse2,Celdas preventivas - Total - Menores de edad,SECC I. 111,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
coedse3,Celdas preventivas - Total - Mayores y menores de edad,SECC I. 111,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
coedses1,Celdas preventivas - Para hombres - Subtotal,SECC I. 111,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
coedse4,Celdas preventivas - Para hombres - Mayores de edad,SECC I. 111,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
coedse5,Celdas preventivas - Para hombres - Menores de edad,SECC I. 111,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
coedse6,Celdas preventivas - Para hombres - Mayores y menores de edad,SECC I. 111,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
coedses2,Celdas preventivas - Para mujeres - Subtotal,SECC I. 111,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
coedse8,Celdas preventivas - Para mujeres - Mayores de edad,SECC I. 111,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
coedse9,Celdas preventivas - Para mujeres - Menores de edad,SECC I. 111,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
coedse10,Celdas preventivas - Para mujeres - Mayores y menores de edad,SECC I. 111,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
coedse11,Celdas preventivas - Para mujeres - No especificado,SECC I. 111,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
coedses3,Celdas preventivas - Mixtas (para hombres y para mujeres) - Subtotal,SECC I. 111,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
coedse12,Celdas preventivas - Mixtas (para hombres y para mujeres) - Mayores de edad,SECC I. 111,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
coedse13,Celdas preventivas - Mixtas (para hombres y para mujeres) - Menores de edad,SECC I. 111,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
coedse14,Celdas preventivas - Mixtas (para hombres y para mujeres) - Mayores y menores de edad,SECC I. 111,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
coedsens,Celdas preventivas - No especificado - Subtotal,SECC I. 111,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
coedse16,Celdas preventivas - No especificado - Mayores de edad,SECC I. 111,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
coedse18,Celdas preventivas - No especificado - Mayores y menores de edad,SECC I. 111,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
mymenitt,Personas detenidas en las celdas preventivas - Total,SECC I. 111,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
